System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-07,23:41:04.268,4.61,89.25,0.00,4.61,89.25,0.00,0.73,0.11,0.49,1.53,92.13,0.00,1.46,29.21,0.78,0.08,0.47,1.68,91.90,0.00,1.57,31.37,0.76,0.18,1.01,3.44,90.01,0.00,1.53,30.54,3.27,0.05,0.61,6.31,88.42,0.00,6.54,130.78,3.62,0.06,0.79,12.80,80.86,0.00,7.24,144.84,2.98,0.04,0.41,3.85,89.73,0.00,5.96,119.29,0.76,0.13,1.32,4.86,88.59,0.00,1.51,30.21,0.67,0.06,0.80,2.37,92.36,0.00,1.34,26.89
2025-07-07,23:41:09.268,4.15,95.84,0.00,4.15,95.84,0.00,0.84,0.07,0.47,1.96,98.04,0.00,1.68,33.57,0.68,0.11,0.92,1.98,97.98,0.00,1.36,27.27,0.69,0.17,1.36,4.17,95.83,0.00,1.39,27.77,0.65,0.06,0.49,1.65,98.35,0.00,1.31,26.12,0.74,0.08,0.56,2.64,97.36,0.00,1.48,29.70,3.88,0.03,0.51,12.92,87.04,0.00,7.75,155.01,0.71,0.15,1.67,5.31,94.69,0.00,1.41,28.22,0.73,0.07,0.78,2.55,97.45,0.00,1.45,29.06
2025-07-07,23:41:14.268,4.08,95.92,0.00,4.08,95.92,0.00,0.85,0.08,0.39,1.55,98.45,0.00,1.69,33.84,0.51,0.10,0.64,1.53,98.46,0.00,1.01,20.22,0.83,0.16,0.83,2.93,97.07,0.00,1.66,33.13,0.66,0.06,0.60,2.08,97.92,0.00,1.33,26.50,0.77,0.10,0.90,3.84,96.16,0.00,1.54,30.78,3.87,0.03,0.54,13.09,86.90,0.00,7.75,154.98,0.77,0.13,1.45,5.08,94.92,0.00,1.53,30.62,0.68,0.06,0.76,2.53,97.47,0.00,1.35,27.06
2025-07-07,23:41:19.269,4.13,95.87,0.00,4.13,95.87,0.00,0.87,0.08,0.47,1.98,98.02,0.00,1.73,34.62,0.69,0.11,0.92,2.00,98.00,0.00,1.38,27.62,0.73,0.17,1.30,4.05,95.95,0.00,1.45,29.01,0.66,0.06,0.47,1.60,98.40,0.00,1.33,26.55,0.72,0.07,0.59,2.66,97.34,0.00,1.43,28.67,3.88,0.03,0.51,12.91,87.09,0.00,7.76,155.28,0.71,0.14,1.64,5.28,94.72,0.00,1.42,28.47,0.73,0.07,0.75,2.53,97.47,0.00,1.47,29.40
2025-07-07,23:41:24.269,4.06,95.94,0.00,4.06,95.94,0.00,0.96,0.06,0.40,1.78,98.22,0.00,1.91,38.21,0.64,0.10,0.80,1.73,98.26,0.00,1.28,25.70,0.72,0.15,1.13,3.66,96.34,0.00,1.44,28.70,0.65,0.06,0.49,1.69,98.31,0.00,1.31,26.18,0.79,0.08,0.62,2.84,97.16,0.00,1.58,31.68,3.89,0.03,0.52,12.99,87.01,0.00,7.77,155.45,0.73,0.14,1.59,5.21,94.79,0.00,1.45,29.03,0.74,0.06,0.75,2.56,97.44,0.00,1.48,29.54
2025-07-07,23:41:29.269,3.94,96.06,0.00,3.94,96.06,0.00,0.91,0.07,0.26,1.15,98.85,0.00,1.82,36.43,0.59,0.08,0.51,1.21,98.78,0.00,1.18,23.55,0.83,0.11,0.56,2.19,97.81,0.00,1.67,33.36,3.04,0.05,0.63,5.52,94.48,0.00,6.08,121.67,0.82,0.11,0.93,4.07,95.93,0.00,1.64,32.72,3.68,0.04,0.57,9.80,90.20,0.00,7.35,147.04,0.81,0.14,1.35,4.99,95.01,0.00,1.63,32.60,0.64,0.06,0.96,2.60,97.40,0.00,1.27,25.49
2025-07-07,23:41:34.269,4.07,95.93,0.00,4.07,95.93,0.00,0.90,0.07,0.46,1.98,98.02,0.00,1.81,36.17,0.61,0.10,0.86,1.95,98.05,0.00,1.22,24.44,0.77,0.17,1.09,3.75,96.25,0.00,1.53,30.70,3.08,0.05,0.49,4.28,95.72,0.00,6.16,123.16,0.75,0.08,0.62,2.80,97.20,0.00,1.50,30.10,3.75,0.04,0.48,9.91,90.09,0.00,7.50,149.97,0.74,0.15,1.58,5.29,94.71,0.00,1.47,29.50,0.69,0.07,0.91,2.57,97.43,0.00,1.39,27.71
2025-07-07,23:41:39.270,4.01,95.99,0.00,4.01,95.99,0.00,0.86,0.08,0.53,2.28,97.72,0.00,1.72,34.44,0.83,0.06,0.49,2.32,97.68,0.00,1.67,33.30,0.72,0.15,1.23,4.28,95.72,0.00,1.44,28.80,3.91,0.02,0.53,12.80,87.20,0.00,7.82,156.44,0.71,0.06,0.33,1.59,98.41,0.00,1.42,28.43,0.70,0.02,0.15,0.73,99.27,0.00,1.39,27.80,0.75,0.16,1.64,5.41,94.59,0.00,1.50,30.05,0.62,0.07,1.46,2.70,97.30,0.00,1.24,24.76
2025-07-07,23:41:44.270,3.99,96.01,0.00,3.99,96.01,0.00,0.85,0.07,0.44,1.82,98.18,0.00,1.70,33.98,0.78,0.06,0.49,1.77,98.23,0.00,1.55,31.03,0.80,0.13,0.93,3.33,96.67,0.00,1.61,32.12,3.71,0.04,0.60,9.98,90.02,0.00,7.42,148.40,0.75,0.09,0.67,2.90,97.10,0.00,1.49,29.87,3.36,0.03,0.38,4.45,95.55,0.00,6.73,134.57,0.77,0.15,1.52,5.05,94.95,0.00,1.54,30.84,0.62,0.06,1.27,2.61,97.39,0.00,1.24,24.74
2025-07-07,23:41:49.270,3.98,96.02,0.00,3.98,96.02,0.00,0.89,0.08,0.48,2.03,97.97,0.00,1.78,35.69,0.70,0.10,0.86,1.89,98.11,0.00,1.40,28.00,0.70,0.15,1.27,4.02,95.98,0.00,1.41,28.11,0.66,0.04,0.37,1.33,98.67,0.00,1.33,26.53,0.76,0.08,0.51,2.34,97.66,0.00,1.53,30.58,3.88,0.03,0.50,12.46,87.54,0.00,7.76,155.21,0.71,0.13,1.58,5.27,94.73,0.00,1.43,28.54,0.76,0.06,0.69,2.49,97.51,0.00,1.53,30.57
