System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-08,04:36:01.802,5.09,88.43,0.00,5.09,88.43,0.00,0.94,0.11,1.16,4.51,89.15,0.00,1.87,37.40,0.94,0.11,1.17,4.75,90.05,0.00,1.88,37.53,0.79,0.04,0.72,2.17,91.08,0.00,1.59,31.71,1.53,0.01,0.11,6.81,85.58,0.00,3.06,61.19,0.92,0.06,0.44,2.20,91.46,0.00,1.85,36.97,1.53,0.02,0.20,13.36,81.44,0.00,3.06,61.16,0.79,0.04,1.40,4.88,88.37,0.00,1.58,31.61,0.89,0.02,0.49,2.08,90.31,0.00,1.78,35.63
2025-07-08,04:36:06.803,4.96,95.04,0.00,4.96,95.04,0.00,0.88,0.07,1.03,3.72,96.28,0.00,1.77,35.34,0.88,0.07,0.84,3.32,96.68,0.00,1.76,35.16,0.76,0.04,0.61,1.74,98.26,0.00,1.52,30.31,1.49,0.01,0.23,6.43,93.57,0.00,2.99,59.71,1.10,0.03,0.71,3.83,96.17,0.00,2.20,44.04,1.52,0.02,0.35,13.95,86.05,0.00,3.04,60.81,0.82,0.03,1.50,4.52,95.48,0.00,1.65,32.92,0.86,0.01,0.63,2.20,97.80,0.00,1.72,34.36
2025-07-08,04:36:11.803,4.91,95.08,0.00,4.91,95.08,0.00,0.79,0.07,0.85,3.55,96.44,0.00,1.58,31.63,0.90,0.08,0.91,3.66,96.33,0.00,1.81,36.14,0.80,0.05,0.61,1.82,98.18,0.00,1.60,31.94,1.49,0.01,0.23,6.57,93.43,0.00,2.98,59.68,0.97,0.07,0.76,3.26,96.72,0.00,1.94,38.78,1.53,0.01,0.32,13.85,86.13,0.00,3.05,61.05,0.82,0.03,1.48,4.50,95.50,0.00,1.63,32.67,0.85,0.01,0.59,2.10,97.90,0.00,1.70,34.06
2025-07-08,04:36:16.804,5.60,94.40,0.00,5.60,94.40,0.00,0.84,0.09,0.72,3.02,96.97,0.00,1.67,33.42,0.90,0.08,0.75,3.15,96.83,0.00,1.79,35.88,0.75,0.03,0.58,1.70,98.30,0.00,1.50,29.95,0.78,0.02,0.69,1.97,98.03,0.00,1.56,31.27,1.52,0.02,0.37,14.27,85.73,0.00,3.05,60.98,1.52,0.01,0.34,13.82,86.17,0.00,3.05,61.00,0.85,0.03,1.49,4.62,95.38,0.00,1.71,34.10,0.78,0.01,0.76,2.21,97.79,0.00,1.57,31.37
2025-07-08,04:36:21.804,5.41,94.58,0.00,5.41,94.58,0.00,0.89,0.09,1.08,4.10,95.90,0.00,1.78,35.51,0.92,0.09,1.08,3.98,96.01,0.00,1.84,36.76,0.81,0.04,0.69,1.96,98.04,0.00,1.63,32.58,1.36,0.02,0.32,3.13,96.87,0.00,2.72,54.49,1.53,0.03,0.30,13.58,86.41,0.00,3.06,61.19,1.48,0.03,0.46,9.91,90.09,0.00,2.95,59.01,0.80,0.03,1.55,4.50,95.50,0.00,1.59,31.87,0.87,0.01,0.66,2.14,97.86,0.00,1.74,34.81
2025-07-08,04:36:26.803,4.84,95.16,0.00,4.84,95.16,0.00,0.90,0.09,1.22,4.49,95.51,0.00,1.80,36.01,0.94,0.08,1.24,4.40,95.60,0.00,1.88,37.70,0.79,0.05,0.81,2.18,97.82,0.00,1.58,31.52,1.54,0.01,0.08,6.57,93.43,0.00,3.08,61.58,1.55,0.01,0.13,13.00,87.00,0.00,3.10,62.09,0.82,0.04,0.32,1.40,98.60,0.00,1.64,32.81,0.78,0.02,1.58,4.54,95.46,0.00,1.55,31.02,0.92,0.01,0.58,2.12,97.88,0.00,1.83,36.61
2025-07-08,04:36:31.804,4.81,95.19,0.00,4.81,95.19,0.00,0.90,0.10,1.09,4.00,96.00,0.00,1.79,35.83,0.97,0.08,1.07,3.90,96.10,0.00,1.94,38.79,0.79,0.04,0.71,1.94,98.06,0.00,1.57,31.41,1.52,0.01,0.12,6.70,93.30,0.00,3.05,60.97,1.54,0.01,0.23,13.39,86.61,0.00,3.08,61.57,0.90,0.04,0.41,1.84,98.16,0.00,1.79,35.86,0.80,0.03,1.53,4.54,95.46,0.00,1.60,31.98,0.89,0.02,0.60,2.14,97.86,0.00,1.78,35.53
2025-07-08,04:36:36.804,4.86,95.13,0.00,4.86,95.13,0.00,0.85,0.07,1.08,4.49,95.48,0.00,1.70,33.93,0.92,0.07,1.22,4.33,95.67,0.00,1.85,36.95,0.74,0.04,0.72,2.00,98.00,0.00,1.49,29.78,1.54,0.01,0.10,6.65,93.35,0.00,3.07,61.45,1.54,0.01,0.15,13.09,86.89,0.00,3.08,61.56,0.77,0.03,0.38,1.60,98.40,0.00,1.54,30.85,0.80,0.02,1.55,4.60,95.40,0.00,1.59,31.86,0.91,0.01,0.57,2.13,97.87,0.00,1.82,36.36
2025-07-08,04:36:41.804,5.41,94.59,0.00,5.41,94.59,0.00,0.93,0.09,1.01,4.30,95.70,0.00,1.86,37.26,0.96,0.10,1.14,4.51,95.49,0.00,1.92,38.37,0.78,0.06,0.71,2.13,97.87,0.00,1.57,31.39,1.44,0.02,0.27,4.47,95.53,0.00,2.88,57.69,1.53,0.02,0.24,13.49,86.51,0.00,3.07,61.34,1.42,0.04,0.43,7.05,92.95,0.00,2.83,56.69,0.80,0.03,1.59,5.00,95.00,0.00,1.60,32.10,0.87,0.01,0.65,2.36,97.64,0.00,1.74,34.88
2025-07-08,04:36:46.805,4.87,95.13,0.00,4.87,95.13,0.00,0.86,0.07,0.83,3.41,96.57,0.00,1.72,34.38,0.92,0.07,0.89,3.34,96.66,0.00,1.85,36.95,0.83,0.04,0.55,1.62,98.38,0.00,1.66,33.29,1.50,0.01,0.21,6.95,93.05,0.00,3.00,60.03,1.53,0.02,0.34,13.86,86.12,0.00,3.06,61.13,0.92,0.05,0.82,3.22,96.78,0.00,1.83,36.65,0.84,0.03,1.46,4.44,95.56,0.00,1.67,33.48,0.84,0.01,0.60,2.10,97.90,0.00,1.68,33.57
