System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-07,23:49:20.228,1.45,1.87,8.26,18.47,21.83,2.91,58.13,8.81,86.71,0.00,99.90,0.00
2025-07-07,23:49:25.229,1.36,2.03,9.75,18.79,21.49,2.71,54.29,9.65,90.34,0.00,100.00,0.00
2025-07-07,23:49:30.228,1.27,2.31,10.60,19.23,21.42,2.55,50.93,10.29,89.71,0.00,100.00,0.00
2025-07-07,23:49:35.229,1.31,2.08,9.90,19.02,21.88,2.61,52.28,9.81,90.17,0.00,100.00,0.00
2025-07-07,23:49:40.228,1.24,2.32,10.77,19.26,21.63,2.49,49.73,10.28,89.72,0.00,100.00,0.00
2025-07-07,23:49:45.228,1.35,2.08,9.74,18.59,21.11,2.69,53.89,9.85,90.14,0.00,100.00,0.00
2025-07-07,23:49:50.229,1.27,2.23,10.52,18.99,21.41,2.55,50.93,10.12,89.88,0.00,100.00,0.00
2025-07-07,23:49:55.229,1.29,2.18,10.23,18.66,21.23,2.59,51.75,10.17,89.83,0.00,100.00,0.00
2025-07-07,23:50:00.230,1.35,2.15,9.81,19.31,22.01,2.70,53.99,9.76,90.23,0.00,100.00,0.00
2025-07-07,23:50:05.229,1.33,2.16,10.16,18.82,21.33,2.66,53.16,10.08,89.92,0.00,100.00,0.00
2025-07-07,23:50:10.230,1.35,2.18,9.84,19.15,21.69,2.70,54.04,9.70,90.30,0.00,100.00,0.00
2025-07-07,23:50:15.230,1.34,2.19,10.34,18.89,21.48,2.68,53.51,9.97,90.03,0.00,100.00,0.00
2025-07-07,23:50:20.230,1.35,2.15,9.81,19.18,21.92,2.71,54.17,9.80,90.19,0.00,100.00,0.00
2025-07-07,23:50:25.231,1.38,2.11,9.74,18.84,21.42,2.75,55.02,9.73,90.25,0.00,100.00,0.00
2025-07-07,23:50:30.230,1.36,2.23,9.96,19.05,21.49,2.71,54.29,9.80,90.19,0.00,100.00,0.00
2025-07-07,23:50:35.231,1.48,1.89,8.69,18.88,22.05,2.96,59.25,9.00,90.99,0.00,100.00,0.00
2025-07-07,23:50:40.230,1.31,2.25,10.64,19.08,21.63,2.63,52.58,10.04,89.94,0.00,100.00,0.00
2025-07-07,23:50:45.231,1.35,2.16,10.39,18.82,21.20,2.69,53.87,9.82,90.16,0.00,100.00,0.00
2025-07-07,23:50:50.231,1.34,2.22,10.24,19.02,21.46,2.67,53.48,9.83,90.16,0.00,100.00,0.00
2025-07-07,23:50:55.232,1.37,2.13,9.91,18.98,21.57,2.74,54.77,9.79,90.21,0.00,100.00,0.00
2025-07-07,23:51:00.232,1.32,2.24,10.28,19.06,21.52,2.64,52.72,10.01,89.98,0.00,100.00,0.00
2025-07-07,23:51:05.231,1.40,2.17,9.85,19.08,21.63,2.81,56.19,9.67,90.31,0.00,100.00,0.00
2025-07-07,23:51:10.232,1.36,2.22,9.89,19.07,21.43,2.73,54.57,9.87,90.12,0.00,100.00,0.00
2025-07-07,23:51:15.232,1.37,2.11,10.08,18.64,21.07,2.74,54.85,9.97,90.03,0.00,100.00,0.00
2025-07-07,23:51:20.231,1.41,2.06,9.46,18.73,21.26,2.81,56.21,9.65,90.33,0.00,100.00,0.00
2025-07-07,23:51:25.232,1.45,2.02,9.38,18.82,21.65,2.90,58.01,9.41,90.58,0.00,100.00,0.00
2025-07-07,23:51:30.231,1.35,2.26,10.56,19.04,21.26,2.69,53.88,9.89,90.11,0.00,100.00,0.00
2025-07-07,23:51:35.232,1.38,2.19,10.59,18.71,20.96,2.77,55.33,9.85,90.15,0.00,100.00,0.00
2025-07-07,23:51:40.232,1.37,2.18,10.50,18.93,21.37,2.74,54.88,9.72,90.26,0.00,100.00,0.00
2025-07-07,23:51:45.232,1.36,2.12,9.84,18.78,21.07,2.72,54.34,9.76,90.23,0.00,100.00,0.00
2025-07-07,23:51:50.232,1.44,1.94,8.94,18.58,21.28,2.89,57.71,9.21,90.78,0.00,100.00,0.00
2025-07-07,23:51:55.232,1.51,1.85,8.84,18.41,21.41,3.02,60.35,8.93,91.05,0.00,100.00,0.00
2025-07-07,23:52:00.232,1.47,2.04,9.33,18.48,20.87,2.95,58.97,9.37,90.62,0.00,100.00,0.00
2025-07-07,23:52:05.232,1.49,1.95,9.24,18.50,21.23,2.97,59.46,9.22,90.77,0.00,100.00,0.00
2025-07-07,23:52:10.232,1.36,2.17,10.37,18.75,21.18,2.72,54.41,9.82,90.17,0.00,100.00,0.00
2025-07-07,23:52:15.232,1.40,2.08,10.25,18.36,21.03,2.79,55.85,9.67,90.32,0.00,100.00,0.00
2025-07-07,23:52:20.232,2.02,1.27,5.07,16.20,21.10,4.05,80.94,8.04,77.55,0.00,100.00,0.00
