System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-08,05:13:13.867,1.37,0.61,7.05,25.30,12.38,2.75,54.90,4.93,88.99,0.00,99.71,0.00
2025-07-08,05:13:18.867,1.32,0.59,8.70,25.60,12.49,2.65,52.95,5.43,94.57,0.00,100.00,0.00
2025-07-08,05:13:23.870,1.34,0.56,7.95,25.71,12.56,2.68,53.57,5.24,94.76,0.00,100.00,0.00
2025-07-08,05:13:28.867,1.30,0.61,8.85,25.42,12.37,2.60,52.08,5.44,94.56,0.00,100.00,0.00
2025-07-08,05:13:33.869,1.30,0.63,8.59,25.47,12.39,2.60,51.97,5.41,94.59,0.00,100.00,0.00
2025-07-08,05:13:38.870,1.30,0.62,8.60,25.49,12.39,2.59,51.88,5.38,94.61,0.00,100.00,0.00
2025-07-08,05:13:43.870,1.29,0.58,8.93,25.34,12.35,2.57,51.43,5.46,94.53,0.00,100.00,0.00
2025-07-08,05:13:48.869,1.29,0.59,9.04,25.27,12.35,2.59,51.79,5.43,94.56,0.00,100.00,0.00
2025-07-08,05:13:53.870,1.30,0.61,8.67,25.46,12.39,2.60,52.05,5.40,94.59,0.00,100.00,0.00
2025-07-08,05:13:58.870,1.31,0.55,8.23,25.30,12.37,2.62,52.47,5.29,94.70,0.00,100.00,0.00
2025-07-08,05:14:03.870,1.34,0.59,7.67,25.58,12.45,2.67,53.45,5.17,94.82,0.00,100.00,0.00
2025-07-08,05:14:08.869,1.27,0.70,9.12,25.03,12.09,2.54,50.76,5.59,94.40,0.00,100.00,0.00
2025-07-08,05:14:13.869,1.30,0.62,8.89,25.38,12.38,2.60,52.00,5.40,94.60,0.00,100.00,0.00
2025-07-08,05:14:18.870,1.32,0.59,7.94,25.46,12.42,2.64,52.88,5.26,94.72,0.00,100.00,0.00
2025-07-08,05:14:23.869,1.30,0.59,8.55,25.03,12.19,2.59,51.87,5.44,94.54,0.00,100.00,0.00
2025-07-08,05:14:28.871,1.32,0.56,7.67,25.49,12.44,2.63,52.69,5.15,94.84,0.00,100.00,0.00
2025-07-08,05:14:33.871,1.31,0.58,8.39,25.45,12.40,2.62,52.33,5.35,94.65,0.00,100.00,0.00
2025-07-08,05:14:38.868,1.28,0.61,8.62,25.37,12.37,2.57,51.39,5.40,94.58,0.00,100.00,0.00
2025-07-08,05:14:43.870,1.30,0.62,8.53,25.50,12.41,2.60,52.10,5.42,94.57,0.00,100.00,0.00
2025-07-08,05:14:48.871,1.30,0.58,8.59,25.32,12.37,2.61,52.11,5.35,94.63,0.00,100.00,0.00
2025-07-08,05:14:53.870,1.29,0.61,8.70,25.31,12.34,2.58,51.66,5.51,94.48,0.00,100.00,0.00
2025-07-08,05:14:58.870,1.29,0.60,8.73,25.25,12.32,2.59,51.78,5.43,94.56,0.00,100.00,0.00
2025-07-08,05:15:03.871,1.30,0.58,8.75,25.38,12.38,2.60,51.97,5.36,94.64,0.00,100.00,0.00
2025-07-08,05:15:08.868,1.29,0.56,8.93,25.11,12.25,2.58,51.70,5.41,94.59,0.00,100.00,0.00
2025-07-08,05:15:13.868,1.29,0.59,8.50,25.20,12.32,2.59,51.75,5.40,94.59,0.00,100.00,0.00
2025-07-08,05:15:18.868,1.32,0.56,8.14,25.39,12.42,2.64,52.72,5.20,94.80,0.00,100.00,0.00
2025-07-08,05:15:23.870,1.30,0.61,8.78,25.18,12.26,2.60,52.03,5.44,94.56,0.00,100.00,0.00
2025-07-08,05:15:28.870,1.29,0.63,8.72,25.44,12.37,2.59,51.77,5.48,94.50,0.00,100.00,0.00
2025-07-08,05:15:33.870,1.31,0.57,8.38,25.37,12.38,2.63,52.58,5.26,94.72,0.00,100.00,0.00
2025-07-08,05:15:38.870,1.28,0.63,8.85,25.26,12.33,2.55,51.10,5.47,94.53,0.00,100.00,0.00
2025-07-08,05:15:43.868,1.31,0.56,8.83,25.10,12.30,2.62,52.34,5.53,94.47,0.00,100.00,0.00
2025-07-08,05:15:48.867,1.31,0.62,8.47,25.31,12.33,2.63,52.57,5.54,94.46,0.00,100.00,0.00
2025-07-08,05:15:53.869,1.35,0.54,7.80,25.45,12.43,2.69,53.84,5.33,94.65,0.00,100.00,0.00
2025-07-08,05:15:58.869,1.34,0.53,7.52,25.44,12.44,2.67,53.49,5.19,94.81,0.00,100.00,0.00
2025-07-08,05:16:03.869,1.31,0.62,8.39,25.62,12.45,2.62,52.33,5.26,94.73,0.00,100.00,0.00
2025-07-08,05:16:08.869,1.30,0.64,8.26,25.11,12.16,2.59,51.88,5.29,94.71,0.00,100.00,0.00
2025-07-08,05:16:13.870,1.85,0.59,3.70,22.76,11.49,3.70,73.98,5.19,72.96,0.00,98.87,0.01
