Test_ID,Replicas,Interference_Name,Interference_ID,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Errors
weighted_2_1replicas_scenario0_1500rps,weighted_2_1,Baseline0,0,1500,1500.0043270458154,0.094,0.092,0.0,0.112,0.121,0.152,3.193,0
weighted_2_1replicas_scenario1_1500rps,weighted_2_1,Baseline1,1,1500,1500.0050386788193,0.094,0.092,0.0,0.112,0.121,0.153,3.561,0
weighted_2_1replicas_scenario2_1500rps,weighted_2_1,Baseline2,2,1500,1500.0048094654205,0.094,0.092,0.0,0.112,0.121,0.153,12.392,0
weighted_2_1replicas_scenario11_1500rps,weighted_2_1,1_iBench_CPU_pod,11,1500,1500.0059620736974,0.1,0.093,0.0,0.115,0.129,0.21,5.233,0
weighted_2_1replicas_scenario12_1500rps,weighted_2_1,2_iBench_CPU_pods,12,1500,1500.004026702476,0.102,0.093,0.0,0.114,0.125,0.192,5.894,0
weighted_2_1replicas_scenario13_1500rps,weighted_2_1,3_iBench_CPU_pods,13,1500,1500.0057608896775,0.11,0.094,0.0,0.118,0.139,0.289,4.436,0
weighted_2_1replicas_scenario14_1500rps,weighted_2_1,4_iBench_CPU_pods,14,1500,1500.0043879461693,0.174,0.117,0.0,0.231,0.268,1.677,6.372,0
weighted_2_1replicas_scenario21_1500rps,weighted_2_1,1_stress-ng_l3_pod,21,1500,1500.0056287711218,0.117,0.11,0.0,0.158,0.173,0.23,3.564,0
weighted_2_1replicas_scenario22_1500rps,weighted_2_1,2_stress-ng_l3_pods,22,1500,1499.9999827472861,0.246,0.168,0.0,0.51,0.589,0.767,4.618,0
weighted_2_1replicas_scenario23_1500rps,weighted_2_1,3_stress-ng_l3_pods,23,1500,1500.0012386686574,0.338,0.244,0.0,0.639,0.781,1.457,6.976,0
weighted_2_1replicas_scenario24_1500rps,weighted_2_1,4_stress-ng_l3_pods,24,1500,1499.9938624117342,0.479,0.428,0.0,0.794,1.004,2.064,7.746,0
weighted_2_1replicas_scenario31_1500rps,weighted_2_1,1_iBench_memBW_pod,31,1500,1500.0047743864025,0.099,0.095,0.0,0.123,0.134,0.174,4.026,0
weighted_2_1replicas_scenario32_1500rps,weighted_2_1,2_iBench_memBW_pods,32,1500,1500.0032599338997,0.111,0.099,0.0,0.157,0.185,0.252,4.126,0
weighted_2_1replicas_scenario33_1500rps,weighted_2_1,3_iBench_memBW_pods,33,1500,1500.0026877381492,0.11,0.102,0.0,0.144,0.168,0.223,5.238,0
weighted_2_1replicas_scenario34_1500rps,weighted_2_1,4_iBench_memBW_pods,34,1500,1500.000791242084,0.195,0.165,0.0,0.279,0.323,0.988,7.906,0
weighted_3_1replicas_scenario0_1500rps,weighted_3_1,Baseline0,0,1500,1500.001606827117,0.096,0.093,0.0,0.113,0.121,0.154,3.537,0
weighted_3_1replicas_scenario1_1500rps,weighted_3_1,Baseline1,1,1500,1500.002313936903,0.096,0.094,0.0,0.114,0.122,0.155,3.599,0
weighted_3_1replicas_scenario2_1500rps,weighted_3_1,Baseline2,2,1500,1500.0019204857922,0.097,0.094,0.0,0.115,0.124,0.166,3.307,0
weighted_3_1replicas_scenario11_1500rps,weighted_3_1,1_iBench_CPU_pod,11,1500,1500.0059780071576,0.099,0.094,0.0,0.114,0.123,0.159,3.993,0
weighted_3_1replicas_scenario12_1500rps,weighted_3_1,2_iBench_CPU_pods,12,1500,1500.0022457450289,0.101,0.093,0.0,0.114,0.125,0.21,6.056,0
weighted_3_1replicas_scenario13_1500rps,weighted_3_1,3_iBench_CPU_pods,13,1500,1500.002706026015,0.175,0.167,0.0,0.241,0.27,0.472,7.512,0
weighted_3_1replicas_scenario14_1500rps,weighted_3_1,4_iBench_CPU_pods,14,1500,1500.0032992655902,0.149,0.103,0.0,0.221,0.249,0.58,6.579,0
weighted_3_1replicas_scenario21_1500rps,weighted_3_1,1_stress-ng_l3_pod,21,1500,1500.0053007187316,0.119,0.112,0.0,0.161,0.176,0.233,3.729,0
weighted_3_1replicas_scenario22_1500rps,weighted_3_1,2_stress-ng_l3_pods,22,1500,1500.0024393623003,0.237,0.161,0.0,0.495,0.567,0.724,4.576,0
weighted_3_1replicas_scenario23_1500rps,weighted_3_1,3_stress-ng_l3_pods,23,1500,1499.9968132824617,0.347,0.332,0.0,0.603,0.689,1.002,5.393,0
weighted_3_1replicas_scenario24_1500rps,weighted_3_1,4_stress-ng_l3_pods,24,1500,1499.9995056584962,0.479,0.448,0.0,0.754,0.876,1.529,5.485,0
weighted_3_1replicas_scenario31_1500rps,weighted_3_1,1_iBench_memBW_pod,31,1500,1500.0063559256137,0.101,0.097,0.0,0.124,0.135,0.18,3.723,0
weighted_3_1replicas_scenario32_1500rps,weighted_3_1,2_iBench_memBW_pods,32,1500,1500.0036714839866,0.105,0.1,0.0,0.131,0.144,0.2,3.128,0
weighted_3_1replicas_scenario33_1500rps,weighted_3_1,3_iBench_memBW_pods,33,1500,1500.0035538667532,0.132,0.106,0.0,0.197,0.265,0.433,6.446,0
weighted_3_1replicas_scenario34_1500rps,weighted_3_1,4_iBench_memBW_pods,34,1500,1500.004561847207,0.123,0.112,0.0,0.172,0.194,0.256,4.34,0
node1_rep3replicas_scenario0_1500rps,node1_rep3,Baseline0,0,1500,1500.0036731089945,0.098,0.095,0.0,0.116,0.125,0.158,3.587,0
node1_rep3replicas_scenario1_1500rps,node1_rep3,Baseline1,1,1500,1500.00276836814,0.099,0.096,0.0,0.116,0.125,0.16,3.714,0
node1_rep3replicas_scenario2_1500rps,node1_rep3,Baseline2,2,1500,1500.0017542270514,0.098,0.096,0.0,0.116,0.125,0.157,3.618,0
node1_rep3replicas_scenario11_1500rps,node1_rep3,1_iBench_CPU_pod,11,1500,1500.0030804563262,0.1,0.096,0.0,0.117,0.129,0.199,2.816,0
node1_rep3replicas_scenario12_1500rps,node1_rep3,2_iBench_CPU_pods,12,1500,1500.0033296641675,0.099,0.096,0.0,0.116,0.126,0.159,3.49,0
node1_rep3replicas_scenario13_1500rps,node1_rep3,3_iBench_CPU_pods,13,1500,1500.0011198341692,0.1,0.096,0.0,0.118,0.13,0.201,4.928,0
node1_rep3replicas_scenario14_1500rps,node1_rep3,4_iBench_CPU_pods,14,1500,1500.0037568594093,0.159,0.156,0.0,0.237,0.263,0.336,3.377,0
node1_rep3replicas_scenario21_1500rps,node1_rep3,1_stress-ng_l3_pod,21,1500,1500.004590735936,0.123,0.114,0.0,0.163,0.179,0.251,3.969,0
node1_rep3replicas_scenario22_1500rps,node1_rep3,2_stress-ng_l3_pods,22,1500,1500.0030108560434,0.212,0.148,0.0,0.472,0.541,0.709,3.942,0
node1_rep3replicas_scenario23_1500rps,node1_rep3,3_stress-ng_l3_pods,23,1500,1500.0001434283226,0.348,0.278,0.0,0.644,0.769,1.019,11.797,0
node1_rep3replicas_scenario24_1500rps,node1_rep3,4_stress-ng_l3_pods,24,1500,1500.0053076380116,0.459,0.437,0.0,0.819,0.916,1.261,9.768,0
node1_rep3replicas_scenario31_1500rps,node1_rep3,1_iBench_memBW_pod,31,1500,1500.0031600566572,0.104,0.1,0.0,0.128,0.141,0.2,3.221,0
node1_rep3replicas_scenario32_1500rps,node1_rep3,2_iBench_memBW_pods,32,1500,1500.0051043206868,0.112,0.103,0.0,0.153,0.178,0.236,3.802,0
node1_rep3replicas_scenario33_1500rps,node1_rep3,3_iBench_memBW_pods,33,1500,1500.0018082199879,0.117,0.107,0.0,0.16,0.183,0.244,3.595,0
node1_rep3replicas_scenario34_1500rps,node1_rep3,4_iBench_memBW_pods,34,1500,1500.0039431846503,0.128,0.114,0.0,0.184,0.214,0.299,4.267,0
node1_rep4replicas_scenario0_1500rps,node1_rep4,Baseline0,0,1500,1500.0017720104265,0.099,0.096,0.0,0.116,0.124,0.157,3.555,0
node1_rep4replicas_scenario1_1500rps,node1_rep4,Baseline1,1,1500,1500.0054932451171,0.098,0.096,0.0,0.116,0.124,0.157,3.408,0
node1_rep4replicas_scenario2_1500rps,node1_rep4,Baseline2,2,1500,1500.004034477518,0.098,0.096,0.0,0.116,0.124,0.157,3.996,0
node1_rep4replicas_scenario11_1500rps,node1_rep4,1_iBench_CPU_pod,11,1500,1500.0073152523416,0.1,0.096,0.0,0.117,0.129,0.204,3.724,0
node1_rep4replicas_scenario12_1500rps,node1_rep4,2_iBench_CPU_pods,12,1500,1500.000737800363,0.157,0.159,0.0,0.235,0.256,0.323,3.94,0
node1_rep4replicas_scenario13_1500rps,node1_rep4,3_iBench_CPU_pods,13,1500,1500.0031165814753,0.106,0.097,0.0,0.13,0.189,0.254,3.367,0
node1_rep4replicas_scenario14_1500rps,node1_rep4,4_iBench_CPU_pods,14,1500,1500.004890090942,0.156,0.155,0.0,0.232,0.252,0.321,3.6,0
node1_rep4replicas_scenario21_1500rps,node1_rep4,1_stress-ng_l3_pod,21,1500,1500.0051697928177,0.126,0.117,0.0,0.168,0.185,0.259,3.628,0
node1_rep4replicas_scenario22_1500rps,node1_rep4,2_stress-ng_l3_pods,22,1500,1500.0039788855543,0.203,0.148,0.0,0.46,0.551,0.711,4.201,0
node1_rep4replicas_scenario23_1500rps,node1_rep4,3_stress-ng_l3_pods,23,1500,1499.9998072979606,0.437,0.355,0.0,0.78,0.898,1.224,7.151,0
node1_rep4replicas_scenario24_1500rps,node1_rep4,4_stress-ng_l3_pods,24,1500,1499.9994268328974,0.469,0.449,0.0,0.783,0.887,1.214,6.932,0
node1_rep4replicas_scenario31_1500rps,node1_rep4,1_iBench_memBW_pod,31,1500,1500.00123834172,0.103,0.099,0.0,0.126,0.137,0.179,3.484,0
node1_rep4replicas_scenario32_1500rps,node1_rep4,2_iBench_memBW_pods,32,1500,1500.004460863266,0.108,0.103,0.0,0.132,0.144,0.199,3.653,0
node1_rep4replicas_scenario33_1500rps,node1_rep4,3_iBench_memBW_pods,33,1500,1500.0058413816685,0.115,0.108,0.0,0.15,0.173,0.235,4.132,0
node1_rep4replicas_scenario34_1500rps,node1_rep4,4_iBench_memBW_pods,34,1500,1500.0013547095568,0.132,0.115,0.0,0.197,0.236,0.31,3.794,0
