System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-08,18:02:02.703,3.17,90.27,0.00,3.17,90.27,0.00,0.93,0.03,0.36,1.40,93.57,0.00,1.86,37.11,0.94,0.02,0.35,1.36,93.02,0.00,1.89,37.76,0.79,0.05,0.91,2.72,89.77,0.00,1.59,31.74,1.46,0.01,0.04,4.37,87.53,0.00,2.93,58.54,1.56,0.01,0.07,8.63,86.35,0.00,3.11,62.21,1.55,0.01,0.03,4.16,90.22,0.00,3.11,62.16,0.76,0.01,0.47,1.41,91.08,0.00,1.53,30.57,0.93,0.01,0.35,1.31,90.60,0.00,1.86,37.18
2025-07-08,18:02:07.703,3.31,96.69,0.00,3.31,96.69,0.00,0.91,0.02,0.44,1.56,98.44,0.00,1.82,36.31,0.99,0.03,0.39,1.48,98.52,0.00,1.99,39.72,0.78,0.05,1.19,3.14,96.86,0.00,1.56,31.29,1.46,0.01,0.05,3.68,96.32,0.00,2.91,58.21,1.55,0.02,0.07,8.63,91.37,0.00,3.10,62.05,1.55,0.00,0.02,4.86,95.14,0.00,3.10,62.03,0.76,0.01,0.57,1.61,98.39,0.00,1.51,30.28,0.97,0.01,0.41,1.51,98.49,0.00,1.94,38.78
2025-07-08,18:02:12.702,3.34,96.66,0.00,3.34,96.66,0.00,0.94,0.03,0.46,1.62,98.38,0.00,1.88,37.53,0.89,0.02,0.44,1.58,98.42,0.00,1.78,35.61,0.77,0.05,1.22,3.12,96.88,0.00,1.55,30.96,0.69,0.01,0.06,0.25,99.75,0.00,1.37,27.42,1.56,0.04,0.10,8.69,91.31,0.00,3.11,62.29,1.52,0.00,0.02,8.30,91.70,0.00,3.05,60.97,0.74,0.01,0.59,1.61,98.39,0.00,1.48,29.52,1.02,0.01,0.44,1.56,98.44,0.00,2.04,40.86
2025-07-08,18:02:17.703,3.33,96.67,0.00,3.33,96.67,0.00,0.92,0.03,0.44,1.59,98.41,0.00,1.84,36.87,0.83,0.03,0.43,1.60,98.39,0.00,1.66,33.17,0.79,0.05,1.19,3.13,96.87,0.00,1.58,31.61,0.63,0.01,0.05,0.26,99.74,0.00,1.26,25.25,1.55,0.01,0.05,8.55,91.45,0.00,3.11,62.19,1.52,0.00,0.02,8.31,91.67,0.00,3.04,60.71,0.75,0.01,0.58,1.61,98.39,0.00,1.50,29.90,1.03,0.01,0.44,1.56,98.44,0.00,2.06,41.27
2025-07-08,18:02:22.703,3.35,96.64,0.00,3.35,96.64,0.00,0.92,0.03,0.46,1.62,98.36,0.00,1.83,36.63,0.89,0.04,0.45,1.60,98.40,0.00,1.78,35.56,0.80,0.05,1.22,3.19,96.81,0.00,1.61,32.13,1.00,0.02,0.07,0.33,99.67,0.00,2.00,40.00,1.56,0.01,0.05,8.57,91.41,0.00,3.11,62.20,1.52,0.00,0.02,8.32,91.68,0.00,3.05,60.94,0.74,0.01,0.59,1.63,98.37,0.00,1.48,29.54,1.02,0.01,0.44,1.56,98.44,0.00,2.04,40.87
2025-07-08,18:02:27.703,3.31,96.69,0.00,3.31,96.69,0.00,0.96,0.03,0.40,1.47,98.53,0.00,1.92,38.39,0.89,0.03,0.43,1.55,98.43,0.00,1.78,35.60,0.76,0.06,1.15,3.07,96.93,0.00,1.52,30.48,0.68,0.01,0.06,0.30,99.70,0.00,1.36,27.27,1.56,0.01,0.04,8.61,91.39,0.00,3.12,62.31,1.53,0.00,0.02,8.31,91.67,0.00,3.05,61.01,0.75,0.01,0.57,1.61,98.39,0.00,1.50,29.97,1.02,0.01,0.43,1.54,98.46,0.00,2.05,41.00
2025-07-08,18:02:32.703,2.88,97.12,0.00,2.88,97.12,0.00,0.98,0.03,0.45,1.62,98.38,0.00,1.96,39.17,0.86,0.03,0.41,1.53,98.46,0.00,1.72,34.47,0.78,0.06,1.20,3.25,96.75,0.00,1.55,31.00,1.55,0.01,0.04,3.98,96.02,0.00,3.10,62.03,1.28,0.02,0.09,1.04,98.96,0.00,2.56,51.22,1.53,0.01,0.04,8.36,91.63,0.00,3.05,61.02,0.76,0.01,0.59,1.67,98.33,0.00,1.53,30.57,0.96,0.01,0.43,1.57,98.43,0.00,1.93,38.56
2025-07-08,18:02:37.703,2.82,97.18,0.00,2.82,97.18,0.00,0.99,0.02,0.40,1.54,98.46,0.00,1.98,39.56,0.90,0.02,0.40,1.54,98.43,0.00,1.80,36.03,0.79,0.05,1.05,3.00,97.00,0.00,1.58,31.63,1.55,0.01,0.04,4.26,95.74,0.00,3.10,61.96,0.79,0.04,0.12,0.62,99.38,0.00,1.57,31.46,1.52,0.01,0.02,8.34,91.64,0.00,3.05,60.99,0.78,0.01,0.58,1.68,98.32,0.00,1.56,31.29,0.96,0.01,0.41,1.54,98.46,0.00,1.92,38.44
2025-07-08,18:02:42.703,2.82,97.18,0.00,2.82,97.18,0.00,1.00,0.03,0.49,1.76,98.24,0.00,1.99,39.85,0.80,0.02,0.37,1.48,98.52,0.00,1.61,32.19,0.77,0.07,1.16,3.08,96.92,0.00,1.54,30.76,1.55,0.01,0.03,4.27,95.73,0.00,3.09,61.90,0.65,0.02,0.09,0.51,99.49,0.00,1.31,26.19,1.52,0.01,0.03,8.34,91.65,0.00,3.03,60.64,0.76,0.01,0.58,1.62,98.38,0.00,1.52,30.48,0.95,0.01,0.42,1.53,98.47,0.00,1.90,38.08
2025-07-08,18:02:47.703,2.79,97.19,0.00,2.79,97.19,0.00,1.03,0.03,0.41,1.58,98.42,0.00,2.06,41.15,0.85,0.02,0.38,1.41,98.52,0.00,1.71,34.17,0.80,0.05,1.15,3.15,96.85,0.00,1.61,32.20,1.55,0.00,0.02,4.22,95.78,0.00,3.11,62.13,0.75,0.02,0.08,0.49,99.51,0.00,1.49,29.87,1.52,0.01,0.03,8.34,91.59,0.00,3.05,60.97,0.76,0.01,0.57,1.63,98.37,0.00,1.53,30.57,0.97,0.01,0.41,1.52,98.48,0.00,1.93,38.63
