System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-08,18:06:10.644,1.41,0.22,3.27,0.97,0.17,2.81,56.25,4.98,88.87,0.00,99.54,0.01
2025-07-08,18:06:15.646,1.39,0.18,3.48,0.82,0.15,2.78,55.60,5.13,94.85,0.00,100.00,0.00
2025-07-08,18:06:20.644,1.40,0.23,3.44,0.95,0.17,2.79,55.82,5.10,94.90,0.00,100.00,0.00
2025-07-08,18:06:25.646,1.37,0.19,3.43,0.87,0.16,2.75,54.96,4.74,95.24,0.00,100.00,0.00
2025-07-08,18:06:30.644,1.39,0.22,3.38,0.95,0.17,2.78,55.62,4.96,95.03,0.00,100.00,0.00
2025-07-08,18:06:35.646,1.40,0.16,3.41,0.74,0.15,2.80,55.96,5.06,94.92,0.00,100.00,0.00
2025-07-08,18:06:40.644,1.39,0.23,3.67,1.06,0.19,2.78,55.59,5.21,94.78,0.00,100.00,0.00
2025-07-08,18:06:45.645,1.39,0.20,3.45,0.88,0.17,2.78,55.56,5.14,94.85,0.00,100.00,0.00
2025-07-08,18:06:50.644,1.38,0.23,3.74,0.96,0.18,2.75,55.01,5.22,94.77,0.00,100.00,0.00
2025-07-08,18:06:55.645,1.39,0.27,3.64,1.16,0.18,2.77,55.45,5.23,94.77,0.00,100.00,0.00
2025-07-08,18:07:00.644,1.39,0.24,3.64,0.99,0.18,2.78,55.51,5.19,94.81,0.00,100.00,0.00
2025-07-08,18:07:05.648,1.39,0.17,3.46,0.83,0.16,2.79,55.76,5.13,94.87,0.00,100.00,0.00
2025-07-08,18:07:10.644,1.38,0.21,3.47,1.02,0.18,2.77,55.33,5.32,94.68,0.00,100.00,0.00
2025-07-08,18:07:15.645,1.32,0.18,3.46,0.80,0.16,2.65,52.90,5.64,94.35,0.00,100.00,0.00
2025-07-08,18:07:20.646,1.27,0.24,3.87,1.04,0.19,2.54,50.74,6.01,93.99,0.00,100.00,0.00
2025-07-08,18:07:25.644,1.29,0.19,3.75,0.86,0.17,2.58,51.67,5.76,94.23,0.00,100.00,0.00
2025-07-08,18:07:30.646,1.28,0.24,3.74,1.07,0.19,2.55,51.06,6.02,93.97,0.00,100.00,0.00
2025-07-08,18:07:35.644,1.26,0.18,3.64,0.79,0.16,2.53,50.60,5.96,94.04,0.00,100.00,0.00
2025-07-08,18:07:40.645,1.32,0.21,3.76,0.99,0.19,2.64,52.74,6.00,93.99,0.00,100.00,0.00
2025-07-08,18:07:45.646,1.27,0.20,3.69,0.90,0.17,2.54,50.87,6.08,93.92,0.00,100.00,0.00
2025-07-08,18:07:50.647,1.27,0.22,3.72,0.98,0.18,2.55,50.96,5.94,94.05,0.00,100.00,0.00
2025-07-08,18:07:55.646,1.30,0.17,3.38,0.76,0.15,2.59,51.82,5.60,94.40,0.00,100.00,0.00
2025-07-08,18:08:00.645,1.32,0.22,3.83,1.02,0.19,2.65,52.98,5.73,94.26,0.00,100.00,0.00
2025-07-08,18:08:05.646,1.31,0.19,3.58,0.83,0.16,2.62,52.45,6.10,93.89,0.00,100.00,0.00
2025-07-08,18:08:10.647,1.32,0.24,3.99,1.03,0.19,2.64,52.73,5.85,94.14,0.00,100.00,0.00
2025-07-08,18:08:15.646,1.30,0.15,3.48,0.82,0.16,2.59,51.86,5.64,94.35,0.00,100.00,0.00
2025-07-08,18:08:20.647,1.26,0.25,3.89,1.01,0.19,2.51,50.30,6.08,93.92,0.00,100.00,0.00
2025-07-08,18:08:25.647,1.27,0.21,3.75,0.88,0.17,2.55,50.99,6.10,93.89,0.00,100.00,0.00
2025-07-08,18:08:30.647,1.27,0.24,3.94,0.99,0.19,2.54,50.89,6.19,93.81,0.00,100.00,0.00
2025-07-08,18:08:35.647,1.26,0.19,3.99,0.83,0.16,2.51,50.26,6.14,93.86,0.00,100.00,0.00
2025-07-08,18:08:40.647,1.34,0.23,3.77,1.02,0.19,2.68,53.52,5.48,94.51,0.00,100.00,0.00
2025-07-08,18:08:45.647,1.26,0.19,3.77,0.79,0.16,2.53,50.58,6.03,93.97,0.00,100.00,0.00
2025-07-08,18:08:50.648,1.33,0.24,3.79,1.02,0.19,2.66,53.24,5.53,94.45,0.00,100.00,0.00
2025-07-08,18:08:55.647,1.30,0.26,4.00,1.07,0.18,2.60,52.04,5.82,94.17,0.00,100.00,0.00
2025-07-08,18:09:00.648,1.31,0.24,3.83,1.04,0.19,2.63,52.57,5.85,94.15,0.00,100.00,0.00
2025-07-08,18:09:05.647,1.28,0.16,3.75,0.78,0.16,2.56,51.21,5.84,94.14,0.00,100.00,0.00
2025-07-08,18:09:10.652,1.56,0.29,1.92,1.56,0.50,3.13,62.51,5.01,77.63,0.00,98.17,0.07
