System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-13,21:59:20.543,1.24,78.82,0.00,1.24,78.82,0.00,1.50,0.02,0.09,2.29,81.04,0.00,3.00,60.04,3.37,0.02,0.14,3.39,79.53,0.00,6.74,134.87,3.21,0.02,0.14,3.42,82.05,0.00,6.43,128.57,0.35,0.01,0.04,0.13,68.43,0.00,0.71,14.14,0.38,0.01,0.04,0.17,83.16,0.00,0.75,15.06,0.37,0.01,0.05,0.15,82.77,0.00,0.73,14.68,0.41,0.02,0.09,0.28,85.19,0.00,0.81,16.22,0.41,0.01,0.03,0.13,68.43,0.00,0.83,16.51
2025-07-13,21:59:25.544,1.31,81.24,0.00,1.31,81.24,0.00,2.22,0.02,0.09,2.64,81.89,0.00,4.43,88.68,2.39,0.02,0.09,2.78,82.79,0.00,4.77,95.44,3.38,0.02,0.14,3.71,83.98,0.00,6.77,135.36,0.60,0.01,0.05,0.17,72.25,0.00,1.20,24.00,0.48,0.03,0.09,0.33,84.19,0.00,0.95,19.03,0.56,0.02,0.08,0.29,85.28,0.00,1.11,22.25,0.38,0.02,0.11,0.36,87.34,0.00,0.76,15.25,0.48,0.01,0.04,0.17,72.24,0.00,0.96,19.16
2025-07-13,21:59:30.548,1.26,81.61,0.00,1.26,81.61,0.00,3.27,0.01,0.11,3.50,82.73,0.00,6.54,130.74,2.92,0.01,0.09,3.17,82.50,0.00,5.85,116.94,1.84,0.02,0.07,2.21,84.91,0.00,3.68,73.62,0.37,0.01,0.03,0.10,72.33,0.00,0.73,14.68,0.36,0.02,0.08,0.24,85.98,0.00,0.72,14.31,0.35,0.02,0.08,0.29,85.38,0.00,0.71,14.19,0.50,0.02,0.08,0.35,86.77,0.00,0.99,19.83,0.47,0.01,0.05,0.20,72.23,0.00,0.94,18.80
2025-07-13,21:59:35.544,1.31,80.96,0.00,1.31,80.96,0.00,3.63,0.01,0.13,4.07,83.89,0.00,7.26,145.19,2.28,0.02,0.09,2.84,79.17,0.00,4.57,91.31,1.92,0.02,0.07,2.34,83.73,0.00,3.85,76.98,0.41,0.01,0.02,0.10,72.93,0.00,0.81,16.28,0.28,0.03,0.13,0.36,87.61,0.00,0.56,11.27,0.57,0.02,0.06,0.27,81.74,0.00,1.13,22.61,0.47,0.02,0.08,0.35,85.73,0.00,0.93,18.63,0.44,0.01,0.04,0.16,72.87,0.00,0.88,17.55
2025-07-13,21:59:40.545,1.26,82.06,0.00,1.26,82.06,0.00,1.75,0.03,0.09,2.32,81.63,0.00,3.50,70.04,3.71,0.02,0.15,3.91,85.07,0.00,7.43,148.58,2.21,0.03,0.10,2.83,82.68,0.00,4.42,88.33,0.42,0.01,0.03,0.10,74.75,0.00,0.83,16.64,0.41,0.01,0.06,0.22,83.74,0.00,0.81,16.28,0.33,0.02,0.10,0.30,88.68,0.00,0.66,13.21,0.45,0.02,0.07,0.29,85.22,0.00,0.89,17.87,0.46,0.01,0.04,0.14,74.71,0.00,0.91,18.22
2025-07-13,21:59:45.545,1.27,80.86,0.00,1.27,80.86,0.00,2.76,0.02,0.10,3.15,83.32,0.00,5.51,110.28,1.71,0.03,0.08,2.45,78.73,0.00,3.41,68.30,3.50,0.02,0.13,3.45,84.55,0.00,7.00,139.92,0.53,0.01,0.04,0.16,72.71,0.00,1.05,21.01,0.42,0.02,0.07,0.22,86.26,0.00,0.85,16.90,0.44,0.02,0.06,0.25,80.94,0.00,0.89,17.77,0.39,0.02,0.10,0.31,87.69,0.00,0.78,15.59,0.49,0.01,0.04,0.16,72.71,0.00,0.99,19.76
2025-07-13,21:59:50.546,1.27,81.23,0.00,1.27,81.23,0.00,3.92,0.02,0.17,4.34,84.01,0.00,7.84,156.80,1.51,0.02,0.06,2.40,79.20,0.00,3.01,60.25,1.95,0.02,0.07,2.38,84.74,0.00,3.91,78.11,0.37,0.01,0.05,0.16,72.75,0.00,0.74,14.80,0.35,0.02,0.08,0.20,88.15,0.00,0.71,14.10,0.38,0.01,0.04,0.19,81.41,0.00,0.75,15.09,0.42,0.02,0.07,0.28,86.84,0.00,0.85,16.96,0.49,0.01,0.04,0.18,72.73,0.00,0.97,19.47
2025-07-13,21:59:55.546,1.26,82.08,0.00,1.26,82.08,0.00,1.89,0.03,0.11,2.30,81.20,0.00,3.78,75.53,3.76,0.02,0.16,3.98,84.91,0.00,7.52,150.39,2.00,0.02,0.10,2.75,84.24,0.00,4.00,79.92,0.37,0.01,0.04,0.13,73.82,0.00,0.75,14.95,0.48,0.02,0.06,0.22,83.28,0.00,0.95,19.06,0.38,0.01,0.07,0.18,88.70,0.00,0.75,15.03,0.44,0.02,0.08,0.31,86.68,0.00,0.87,17.47,0.44,0.01,0.04,0.17,73.79,0.00,0.89,17.74
2025-07-13,22:00:00.546,1.26,81.91,0.00,1.26,81.91,0.00,1.50,0.03,0.09,2.37,83.73,0.00,3.01,60.17,1.94,0.03,0.09,2.43,81.96,0.00,3.88,77.67,3.89,0.02,0.18,4.21,84.19,0.00,7.79,155.74,0.36,0.01,0.03,0.11,73.67,0.00,0.71,14.27,0.33,0.02,0.07,0.28,85.81,0.00,0.67,13.38,0.37,0.01,0.05,0.18,84.21,0.00,0.73,14.64,0.37,0.02,0.12,0.32,88.08,0.00,0.74,14.89,0.49,0.01,0.05,0.17,73.61,0.00,0.97,19.42
2025-07-13,22:00:05.546,1.29,81.72,0.00,1.29,81.72,0.00,1.92,0.03,0.09,2.50,83.96,0.00,3.84,76.87,2.82,0.02,0.11,3.16,83.62,0.00,5.64,112.88,3.28,0.02,0.12,3.56,83.32,0.00,6.57,131.32,0.40,0.00,0.02,0.09,71.82,0.00,0.80,16.01,0.32,0.03,0.09,0.32,86.14,0.00,0.63,12.60,0.36,0.01,0.06,0.21,86.58,0.00,0.72,14.46,0.40,0.02,0.11,0.33,86.55,0.00,0.81,16.12,0.45,0.01,0.04,0.16,71.75,0.00,0.91,18.18
