System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-13,22:47:25.559,1.36,0.07,0.63,9.28,4.32,2.72,54.35,0.56,92.86,0.00,99.23,0.02
2025-07-13,22:47:30.560,1.37,0.04,0.61,9.64,4.56,2.74,54.81,0.56,99.43,0.00,100.00,0.00
2025-07-13,22:47:35.560,1.36,0.05,0.66,9.59,4.54,2.71,54.27,0.60,99.39,0.00,100.00,0.00
2025-07-13,22:47:40.561,1.35,0.05,0.63,9.93,4.57,2.71,54.14,0.61,99.39,0.00,100.00,0.00
2025-07-13,22:47:45.561,1.36,0.05,0.65,9.77,4.58,2.72,54.38,0.60,99.40,0.00,100.00,0.00
2025-07-13,22:47:50.561,1.37,0.04,0.60,9.66,4.55,2.73,54.62,0.57,99.42,0.00,100.00,0.00
2025-07-13,22:47:55.562,1.36,0.05,0.67,9.60,4.52,2.72,54.33,0.58,99.42,0.00,100.00,0.00
2025-07-13,22:48:00.561,1.36,0.04,0.62,9.64,4.54,2.72,54.39,0.57,99.42,0.00,100.00,0.00
2025-07-13,22:48:05.561,1.37,0.04,0.62,9.61,4.55,2.74,54.78,0.58,99.42,0.00,100.00,0.00
2025-07-13,22:48:10.562,1.36,0.05,0.64,9.68,4.57,2.73,54.57,0.58,99.40,0.00,100.00,0.00
2025-07-13,22:48:15.561,1.35,0.05,0.68,9.59,4.55,2.70,54.06,0.59,99.40,0.00,100.00,0.00
2025-07-13,22:48:20.561,1.36,0.06,0.66,9.73,4.56,2.72,54.36,0.58,99.41,0.00,100.00,0.00
2025-07-13,22:48:25.562,1.34,0.05,0.66,8.51,3.94,2.68,53.54,0.65,99.34,0.00,100.00,0.00
2025-07-13,22:48:30.561,1.32,0.05,0.73,7.73,3.55,2.63,52.62,0.72,99.27,0.00,100.00,0.00
2025-07-13,22:48:35.562,1.33,0.04,0.71,7.85,3.62,2.66,53.21,0.71,99.27,0.00,100.00,0.00
2025-07-13,22:48:40.562,1.33,0.05,0.70,7.22,3.29,2.65,53.08,0.75,99.25,0.00,100.00,0.00
2025-07-13,22:48:45.562,1.34,0.04,0.69,7.77,3.58,2.67,53.44,0.72,99.27,0.00,100.00,0.00
2025-07-13,22:48:50.563,1.34,0.04,0.68,8.23,3.82,2.67,53.47,0.65,99.34,0.00,100.00,0.00
2025-07-13,22:48:55.562,1.35,0.04,0.68,8.07,3.75,2.71,54.13,0.69,99.31,0.00,100.00,0.00
2025-07-13,22:49:00.562,1.31,0.06,0.74,8.28,3.80,2.61,52.24,0.69,99.30,0.00,100.00,0.00
2025-07-13,22:49:05.563,1.34,0.04,0.67,8.02,3.76,2.68,53.59,0.66,99.33,0.00,100.00,0.00
2025-07-13,22:49:10.563,1.31,0.06,0.72,8.61,4.02,2.63,52.55,0.66,99.33,0.00,100.00,0.00
2025-07-13,22:49:15.563,1.33,0.06,0.72,7.87,3.62,2.65,53.06,0.72,99.27,0.00,100.00,0.00
2025-07-13,22:49:20.564,1.35,0.05,0.67,9.00,4.20,2.70,54.07,0.62,99.35,0.00,100.00,0.00
2025-07-13,22:49:25.564,1.35,0.05,0.71,7.99,3.67,2.70,53.93,0.71,99.28,0.00,100.00,0.00
2025-07-13,22:49:30.563,1.34,0.05,0.70,8.10,3.76,2.68,53.67,0.70,99.30,0.00,100.00,0.00
2025-07-13,22:49:35.564,1.33,0.06,0.69,8.51,3.98,2.66,53.14,0.66,99.31,0.00,100.00,0.00
2025-07-13,22:49:40.564,1.32,0.05,0.69,8.57,3.87,2.64,52.75,0.66,99.32,0.00,100.00,0.00
2025-07-13,22:49:45.564,1.34,0.03,0.64,8.32,3.86,2.68,53.65,0.64,99.35,0.00,100.00,0.00
2025-07-13,22:49:50.565,1.34,0.04,0.66,8.35,3.87,2.69,53.71,0.66,99.32,0.00,100.00,0.00
2025-07-13,22:49:55.565,1.37,0.04,0.67,8.10,3.70,2.73,54.60,0.71,99.27,0.00,100.00,0.00
2025-07-13,22:50:00.565,1.38,0.05,0.68,8.59,3.99,2.76,55.11,0.66,99.31,0.00,100.00,0.00
2025-07-13,22:50:05.564,1.32,0.05,0.70,8.50,3.93,2.64,52.75,0.65,99.34,0.00,100.00,0.00
2025-07-13,22:50:10.565,1.36,0.04,0.68,8.49,3.95,2.72,54.45,0.65,99.34,0.00,100.00,0.00
2025-07-13,22:50:15.565,1.33,0.04,0.67,8.31,3.86,2.66,53.25,0.69,99.30,0.00,100.00,0.00
2025-07-13,22:50:20.566,1.33,0.05,0.75,7.76,3.54,2.66,53.27,0.71,99.28,0.00,100.00,0.00
2025-07-13,22:50:25.566,1.76,0.05,0.39,7.82,3.64,3.52,70.30,0.59,75.64,0.00,97.00,0.07
