System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-06-30,23:27:45.982,1.03,91.91,0.00,1.03,91.91,0.00,0.70,0.02,0.07,0.24,94.18,0.00,1.40,27.92,0.76,0.01,0.08,0.25,93.85,0.00,1.52,30.42,0.82,0.03,0.15,0.49,93.16,0.00,1.63,32.65,0.71,0.01,0.52,1.45,88.12,0.00,1.42,28.45,1.06,0.01,0.46,1.37,93.05,0.00,2.11,42.25,1.06,0.01,0.45,1.36,92.75,0.00,2.12,42.36,1.29,0.02,0.51,1.53,92.13,0.00,2.59,51.78,0.82,0.01,0.57,1.57,87.99,0.00,1.64,32.75
2025-06-30,23:27:50.983,1.22,98.78,0.00,1.22,98.78,0.00,0.58,0.02,0.07,0.21,99.79,0.00,1.15,23.04,0.58,0.02,0.08,0.22,99.78,0.00,1.17,23.39,0.82,0.04,0.15,0.48,99.52,0.00,1.64,32.70,0.70,0.01,0.61,1.74,98.26,0.00,1.39,27.86,1.06,0.01,0.51,1.63,98.37,0.00,2.13,42.53,1.08,0.01,0.50,1.66,98.34,0.00,2.16,43.12,1.31,0.02,0.62,1.91,98.09,0.00,2.62,52.40,0.87,0.02,0.69,1.95,98.05,0.00,1.73,34.62
2025-06-30,23:27:55.982,1.24,98.76,0.00,1.24,98.76,0.00,0.95,0.02,0.09,0.29,99.71,0.00,1.90,38.01,0.68,0.02,0.08,0.24,99.76,0.00,1.36,27.20,0.65,0.03,0.15,0.43,99.57,0.00,1.29,25.88,0.69,0.01,0.63,1.72,98.28,0.00,1.37,27.48,1.06,0.01,0.53,1.61,98.39,0.00,2.12,42.30,1.05,0.01,0.54,1.63,98.37,0.00,2.10,42.09,1.31,0.02,0.62,1.88,98.12,0.00,2.63,52.56,0.85,0.02,0.78,2.15,97.85,0.00,1.69,33.85
2025-06-30,23:28:00.983,1.22,98.78,0.00,1.22,98.78,0.00,0.94,0.01,0.06,0.20,99.80,0.00,1.88,37.59,0.60,0.01,0.07,0.20,99.80,0.00,1.21,24.17,0.62,0.02,0.14,0.38,99.62,0.00,1.24,24.71,0.69,0.01,0.64,1.81,98.19,0.00,1.38,27.63,1.05,0.01,0.55,1.67,98.33,0.00,2.09,41.89,1.04,0.01,0.54,1.65,98.35,0.00,2.08,41.53,1.33,0.02,0.64,1.91,98.09,0.00,2.66,53.29,0.84,0.01,0.71,1.96,98.04,0.00,1.68,33.61
2025-06-30,23:28:05.983,1.23,98.77,0.00,1.23,98.77,0.00,0.73,0.02,0.07,0.21,99.79,0.00,1.45,29.05,0.89,0.01,0.07,0.22,99.78,0.00,1.77,35.49,0.66,0.04,0.17,0.46,99.54,0.00,1.33,26.60,0.69,0.01,0.63,1.80,98.20,0.00,1.39,27.75,1.05,0.01,0.53,1.65,98.35,0.00,2.09,41.83,1.05,0.01,0.50,1.56,98.44,0.00,2.10,41.96,1.33,0.02,0.65,1.95,98.05,0.00,2.65,53.09,0.83,0.01,0.71,1.98,98.02,0.00,1.67,33.40
2025-06-30,23:28:10.983,1.22,98.78,0.00,1.22,98.78,0.00,1.05,0.02,0.07,0.23,99.77,0.00,2.11,42.14,0.69,0.02,0.08,0.23,99.77,0.00,1.37,27.50,0.78,0.03,0.15,0.43,99.57,0.00,1.55,31.00,0.70,0.01,0.58,1.67,98.33,0.00,1.39,27.87,1.06,0.01,0.50,1.58,98.42,0.00,2.11,42.23,1.05,0.01,0.56,1.78,98.22,0.00,2.10,42.10,1.32,0.02,0.61,1.83,98.17,0.00,2.63,52.68,0.85,0.02,0.72,1.99,98.01,0.00,1.69,33.81
2025-06-30,23:28:15.984,1.23,98.77,0.00,1.23,98.77,0.00,0.95,0.02,0.07,0.23,99.77,0.00,1.90,37.99,0.78,0.02,0.07,0.23,99.77,0.00,1.56,31.27,0.81,0.03,0.14,0.42,99.58,0.00,1.62,32.40,0.71,0.01,0.62,1.75,98.25,0.00,1.42,28.37,1.05,0.01,0.53,1.61,98.39,0.00,2.10,42.01,1.06,0.01,0.52,1.63,98.37,0.00,2.12,42.46,1.32,0.02,0.61,1.85,98.15,0.00,2.65,52.95,0.88,0.02,0.78,2.14,97.86,0.00,1.76,35.24
2025-06-30,23:28:20.983,1.25,98.75,0.00,1.25,98.75,0.00,0.94,0.02,0.07,0.22,99.78,0.00,1.88,37.70,0.63,0.01,0.06,0.17,99.83,0.00,1.26,25.22,0.76,0.03,0.15,0.40,99.60,0.00,1.52,30.38,0.70,0.01,0.64,1.78,98.22,0.00,1.40,28.09,1.17,0.01,0.54,1.75,98.25,0.00,2.33,46.64,1.04,0.01,0.52,1.69,98.31,0.00,2.08,41.57,1.31,0.02,0.63,1.91,98.09,0.00,2.63,52.50,0.87,0.02,0.77,2.10,97.90,0.00,1.73,34.63
2025-06-30,23:28:25.984,1.21,98.79,0.00,1.21,98.79,0.00,0.64,0.01,0.07,0.19,99.81,0.00,1.29,25.71,0.62,0.02,0.07,0.21,99.79,0.00,1.24,24.85,0.66,0.03,0.15,0.40,99.60,0.00,1.33,26.54,0.70,0.01,0.63,1.77,98.23,0.00,1.39,27.82,1.07,0.01,0.54,1.65,98.35,0.00,2.13,42.64,1.08,0.01,0.52,1.64,98.36,0.00,2.17,43.33,1.33,0.02,0.64,1.90,98.10,0.00,2.67,53.34,0.84,0.01,0.71,1.95,98.05,0.00,1.67,33.42
2025-06-30,23:28:30.984,1.24,98.76,0.00,1.24,98.76,0.00,0.66,0.02,0.07,0.21,99.79,0.00,1.32,26.44,0.58,0.02,0.08,0.22,99.78,0.00,1.17,23.35,0.80,0.03,0.15,0.46,99.54,0.00,1.60,31.98,0.70,0.01,0.61,1.75,98.25,0.00,1.40,28.08,1.07,0.01,0.52,1.63,98.37,0.00,2.14,42.72,1.23,0.01,0.53,1.69,98.31,0.00,2.46,49.11,1.30,0.02,0.61,1.85,98.15,0.00,2.60,52.03,0.86,0.02,0.76,2.09,97.91,0.00,1.71,34.27
