System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-06-30,23:51:35.343,0.82,0.10,1.52,1.22,0.23,1.65,32.91,0.58,91.87,0.00,98.42,0.05
2025-06-30,23:51:40.344,0.81,0.10,1.69,1.12,0.23,1.61,32.20,0.65,99.35,0.00,100.00,0.00
2025-06-30,23:51:45.344,0.89,0.09,1.47,1.15,0.23,1.78,35.67,0.61,99.39,0.00,100.00,0.00
2025-06-30,23:51:50.344,0.84,0.08,1.56,1.15,0.23,1.69,33.73,0.60,99.40,0.00,100.00,0.00
2025-06-30,23:51:55.345,0.85,0.09,1.73,1.10,0.23,1.70,33.99,0.64,99.36,0.00,100.00,0.00
2025-06-30,23:52:00.344,0.84,0.07,1.48,1.09,0.22,1.68,33.63,0.62,99.38,0.00,100.00,0.00
2025-06-30,23:52:05.345,0.87,0.09,1.65,1.12,0.22,1.74,34.85,0.65,99.35,0.00,100.00,0.00
2025-06-30,23:52:10.345,0.87,0.08,1.43,1.03,0.21,1.74,34.80,0.60,99.40,0.00,100.00,0.00
2025-06-30,23:52:15.344,0.83,0.08,1.42,1.07,0.22,1.66,33.24,0.59,99.41,0.00,100.00,0.00
2025-06-30,23:52:20.345,0.86,0.08,1.52,1.01,0.21,1.71,34.25,0.60,99.40,0.00,100.00,0.00
2025-06-30,23:52:25.345,0.86,0.09,1.60,1.14,0.23,1.73,34.56,0.63,99.37,0.00,100.00,0.00
2025-06-30,23:52:30.344,0.84,0.08,1.49,1.14,0.22,1.67,33.47,0.60,99.40,0.00,100.00,0.00
2025-06-30,23:52:35.345,0.83,0.10,1.59,1.09,0.22,1.67,33.31,0.62,99.38,0.00,100.00,0.00
2025-06-30,23:52:40.345,0.84,0.08,1.56,1.06,0.22,1.67,33.44,0.61,99.39,0.00,100.00,0.00
2025-06-30,23:52:45.345,0.84,0.09,1.51,1.09,0.23,1.67,33.43,0.62,99.38,0.00,100.00,0.00
2025-06-30,23:52:50.345,0.83,0.07,1.54,1.07,0.22,1.66,33.14,0.59,99.41,0.00,100.00,0.00
2025-06-30,23:52:55.345,0.88,0.09,1.58,1.19,0.23,1.75,35.04,0.62,99.38,0.00,100.00,0.00
2025-06-30,23:53:00.345,0.86,0.09,1.61,1.14,0.23,1.71,34.27,0.63,99.37,0.00,100.00,0.00
2025-06-30,23:53:05.345,0.90,0.08,1.47,1.05,0.21,1.80,35.92,0.61,99.39,0.00,100.00,0.00
2025-06-30,23:53:10.345,0.84,0.08,1.55,1.08,0.21,1.67,33.47,0.63,99.37,0.00,100.00,0.00
2025-06-30,23:53:15.345,0.84,0.09,1.53,1.15,0.23,1.67,33.47,0.61,99.39,0.00,100.00,0.00
2025-06-30,23:53:20.345,0.87,0.08,1.47,1.16,0.22,1.75,34.94,0.60,99.40,0.00,100.00,0.00
2025-06-30,23:53:25.345,0.84,0.09,1.59,1.12,0.22,1.67,33.47,0.61,99.39,0.00,100.00,0.00
2025-06-30,23:53:30.346,0.86,0.12,1.59,1.28,0.23,1.72,34.30,0.65,99.35,0.00,100.00,0.00
2025-06-30,23:53:35.346,0.86,0.09,1.60,1.14,0.22,1.72,34.33,0.64,99.36,0.00,100.00,0.00
2025-06-30,23:53:40.347,0.84,0.09,1.80,1.12,0.23,1.68,33.54,0.65,99.35,0.00,100.00,0.00
2025-06-30,23:53:45.347,0.83,0.10,1.80,1.26,0.25,1.67,33.33,0.66,99.34,0.00,100.00,0.00
2025-06-30,23:53:50.347,0.86,0.08,1.55,1.11,0.23,1.72,34.45,0.60,99.40,0.00,100.00,0.00
2025-06-30,23:53:55.347,0.84,0.07,1.56,1.14,0.23,1.68,33.51,0.63,99.37,0.00,100.00,0.00
2025-06-30,23:54:00.347,0.83,0.07,1.42,1.04,0.21,1.66,33.29,0.58,99.42,0.00,100.00,0.00
2025-06-30,23:54:05.347,0.88,0.11,1.67,1.07,0.22,1.77,35.30,0.66,99.34,0.00,100.00,0.00
2025-06-30,23:54:10.348,0.89,0.08,1.29,1.01,0.20,1.78,35.65,0.59,99.41,0.00,100.00,0.00
2025-06-30,23:54:15.348,0.83,0.10,1.65,1.13,0.23,1.66,33.14,0.66,99.34,0.00,100.00,0.00
2025-06-30,23:54:20.348,0.86,0.06,1.51,1.03,0.21,1.72,34.38,0.60,99.40,0.00,100.00,0.00
2025-06-30,23:54:25.348,0.86,0.12,1.75,1.27,0.24,1.72,34.45,0.66,99.34,0.00,100.00,0.00
2025-06-30,23:54:30.348,0.84,0.07,1.47,0.99,0.21,1.69,33.80,0.60,99.40,0.00,100.00,0.00
2025-06-30,23:54:35.349,1.77,0.14,0.89,2.20,0.74,3.55,70.98,0.65,74.94,0.00,96.27,0.22
