Test_ID,Replicas,Interference_Name,Interference_ID,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Errors
1replicas_scenario100_500rps,1,BaselineB0,100,500,500.00542883949953,0.087,0.083,0.0,0.1,0.108,0.156,5.831,0
1replicas_scenario111_500rps,1,1_iBench_CPU_pod,111,500,500.004443197817,0.089,0.085,0.0,0.104,0.123,0.177,2.652,0
1replicas_scenario112_500rps,1,2_iBench_CPU_pods,112,500,500.00400437095857,0.096,0.087,0.0,0.138,0.16,0.205,4.041,0
1replicas_scenario113_500rps,1,3_iBench_CPU_pods,113,500,500.0050159558746,0.093,0.086,0.0,0.121,0.153,0.194,2.562,0
1replicas_scenario114_500rps,1,4_iBench_CPU_pods,114,500,500.00295108130655,0.098,0.088,0.0,0.143,0.162,0.204,3.254,0
1replicas_scenario121_500rps,1,1_stress-ng_l3_pod,121,500,500.00374412525895,0.11,0.104,0.0,0.144,0.159,0.227,4.073,0
1replicas_scenario122_500rps,1,2_stress-ng_l3_pods,122,500,500.00163314422315,0.199,0.135,0.0,0.436,0.499,0.581,3.098,0
1replicas_scenario123_500rps,1,3_stress-ng_l3_pods,123,500,500.0036899494534,0.319,0.296,0.0,0.568,0.71,0.919,4.344,0
1replicas_scenario124_500rps,1,4_stress-ng_l3_pods,124,500,500.0026988756789,0.456,0.425,0.0,0.792,0.876,1.054,4.182,0
1replicas_scenario131_500rps,1,1_iBench_memBW_pod,131,500,500.00295528135615,0.096,0.09,0.0,0.122,0.135,0.184,3.243,0
1replicas_scenario132_500rps,1,2_iBench_memBW_pods,132,500,500.0045922227322,0.107,0.094,0.0,0.154,0.178,0.249,2.721,0
1replicas_scenario133_500rps,1,3_iBench_memBW_pods,133,500,500.0049261624226,0.112,0.105,0.0,0.149,0.175,0.23,3.272,0
1replicas_scenario134_500rps,1,4_iBench_memBW_pods,134,500,500.00390923611957,0.124,0.109,0.0,0.183,0.214,0.308,3.435,0
1replicas_scenario100_1500rps,1,BaselineB0,100,1500,1500.004294878964,0.084,0.082,0.0,0.1,0.108,0.133,3.4,0
1replicas_scenario111_1500rps,1,1_iBench_CPU_pod,111,1500,1500.0055231304361,0.085,0.082,0.0,0.101,0.109,0.144,3.316,0
1replicas_scenario112_1500rps,1,2_iBench_CPU_pods,112,1500,1500.004672336138,0.131,0.125,0.0,0.195,0.214,0.273,4.154,0
1replicas_scenario113_1500rps,1,3_iBench_CPU_pods,113,1500,1500.0046419226983,0.153,0.158,0.0,0.208,0.231,0.285,4.227,0
1replicas_scenario114_1500rps,1,4_iBench_CPU_pods,114,1500,1500.0047345566106,0.143,0.15,0.0,0.205,0.229,0.288,3.743,0
1replicas_scenario121_1500rps,1,1_stress-ng_l3_pod,121,1500,1500.0033601908606,0.104,0.098,0.0,0.138,0.152,0.21,3.117,0
1replicas_scenario122_1500rps,1,2_stress-ng_l3_pods,122,1500,1500.0014428345094,0.208,0.139,0.0,0.438,0.499,0.672,4.867,0
1replicas_scenario123_1500rps,1,3_stress-ng_l3_pods,123,1500,1500.0063484185348,0.275,0.223,0.0,0.497,0.584,0.743,4.645,0
1replicas_scenario124_1500rps,1,4_stress-ng_l3_pods,124,1500,1499.9997118333886,0.407,0.388,0.0,0.702,0.798,1.014,5.966,0
