System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-05,07:01:19.359,3.99,88.92,0.00,3.99,88.92,0.00,1.27,0.05,0.21,1.76,93.04,0.00,2.54,50.80,1.31,0.04,0.23,1.87,91.62,0.00,2.63,52.56,1.52,0.03,0.15,10.42,83.71,0.00,3.04,60.87,0.68,0.03,1.88,4.50,84.75,0.00,1.36,27.14,0.89,0.02,0.75,2.22,92.58,0.00,1.78,35.57,0.88,0.01,0.71,2.18,91.31,0.00,1.76,35.12,0.91,0.03,1.34,4.36,89.78,0.00,1.81,36.28,0.74,0.03,1.79,4.65,84.59,0.00,1.49,29.79
2025-07-05,07:01:24.359,4.32,95.68,0.00,4.32,95.68,0.00,1.53,0.03,0.14,7.49,92.51,0.00,3.07,61.38,0.94,0.05,0.23,0.91,99.09,0.00,1.89,37.72,1.52,0.03,0.17,5.10,94.90,0.00,3.04,60.73,0.70,0.03,1.84,5.10,94.90,0.00,1.40,27.95,0.89,0.01,0.71,2.45,97.55,0.00,1.78,35.57,0.94,0.01,0.70,2.52,97.48,0.00,1.88,37.60,1.00,0.03,1.62,5.28,94.72,0.00,1.99,39.86,0.75,0.03,2.06,5.70,94.30,0.00,1.50,30.06
2025-07-05,07:01:29.359,4.32,95.67,0.00,4.32,95.67,0.00,1.53,0.04,0.18,7.06,92.93,0.00,3.05,61.00,1.31,0.06,0.26,2.24,97.76,0.00,2.63,52.54,1.46,0.05,0.22,3.86,96.14,0.00,2.93,58.57,0.70,0.05,2.16,5.28,94.72,0.00,1.40,28.00,0.89,0.02,0.84,2.60,97.40,0.00,1.77,35.42,0.91,0.02,0.85,2.66,97.34,0.00,1.82,36.35,1.00,0.04,1.67,5.24,94.76,0.00,2.00,40.07,0.74,0.03,2.15,5.66,94.34,0.00,1.48,29.58
2025-07-05,07:01:34.359,4.28,95.72,0.00,4.28,95.72,0.00,1.53,0.03,0.14,7.49,92.51,0.00,3.07,61.35,1.43,0.04,0.19,2.52,97.48,0.00,2.87,57.36,1.42,0.05,0.20,2.84,97.16,0.00,2.84,56.81,0.69,0.04,2.21,5.25,94.75,0.00,1.38,27.57,0.87,0.02,0.86,2.61,97.39,0.00,1.73,34.64,0.92,0.02,0.83,2.57,97.43,0.00,1.83,36.65,1.02,0.04,1.65,5.23,94.77,0.00,2.04,40.70,0.74,0.04,2.17,5.69,94.31,0.00,1.48,29.56
2025-07-05,07:01:39.359,4.35,95.65,0.00,4.35,95.65,0.00,1.53,0.03,0.15,5.96,94.04,0.00,3.07,61.34,1.52,0.03,0.15,6.56,93.44,0.00,3.05,60.90,0.75,0.05,0.25,0.85,99.15,0.00,1.50,29.93,0.70,0.03,2.11,5.34,94.66,0.00,1.40,28.06,0.91,0.02,0.85,2.57,97.42,0.00,1.82,36.32,0.89,0.01,0.82,2.60,97.40,0.00,1.78,35.63,1.04,0.03,1.70,5.25,94.75,0.00,2.09,41.76,0.73,0.03,2.15,5.66,94.34,0.00,1.46,29.27
2025-07-05,07:01:44.360,4.34,95.66,0.00,4.34,95.66,0.00,1.51,0.03,0.15,4.03,95.97,0.00,3.02,60.39,1.54,0.03,0.12,8.11,91.88,0.00,3.08,61.56,0.96,0.04,0.21,1.25,98.75,0.00,1.92,38.50,0.69,0.04,2.08,5.14,94.86,0.00,1.39,27.78,0.92,0.02,0.82,2.58,97.42,0.00,1.84,36.86,0.87,0.02,0.80,2.58,97.41,0.00,1.75,34.93,1.02,0.04,1.66,5.31,94.69,0.00,2.04,40.80,0.75,0.03,2.11,5.69,94.31,0.00,1.49,29.83
2025-07-05,07:01:49.359,4.34,95.66,0.00,4.34,95.66,0.00,1.42,0.05,0.22,2.88,97.12,0.00,2.83,56.68,1.52,0.03,0.16,6.60,93.40,0.00,3.05,60.91,1.47,0.04,0.19,3.80,96.20,0.00,2.95,58.92,0.69,0.03,2.13,5.25,94.75,0.00,1.38,27.60,0.92,0.02,0.84,2.59,97.41,0.00,1.84,36.82,0.87,0.02,0.83,2.59,97.41,0.00,1.74,34.81,1.01,0.04,1.69,5.28,94.72,0.00,2.02,40.50,0.75,0.03,2.15,5.68,94.32,0.00,1.49,29.81
2025-07-05,07:01:54.359,4.34,95.66,0.00,4.34,95.66,0.00,1.41,0.05,0.21,2.46,97.54,0.00,2.82,56.44,1.55,0.02,0.11,9.81,90.19,0.00,3.10,62.05,0.87,0.06,0.26,0.96,99.04,0.00,1.74,34.80,0.70,0.03,2.27,5.33,94.67,0.00,1.40,27.98,0.93,0.01,0.91,2.65,97.35,0.00,1.86,37.17,0.86,0.01,0.86,2.56,97.43,0.00,1.71,34.24,1.04,0.04,1.72,5.29,94.71,0.00,2.08,41.62,0.73,0.03,2.19,5.68,94.32,0.00,1.46,29.27
2025-07-05,07:01:59.359,4.34,95.66,0.00,4.34,95.66,0.00,1.55,0.02,0.12,9.01,90.98,0.00,3.09,61.86,1.45,0.05,0.19,3.35,96.65,0.00,2.90,57.93,0.85,0.06,0.26,0.94,99.06,0.00,1.70,33.93,0.70,0.03,2.17,5.37,94.63,0.00,1.40,27.92,0.86,0.02,0.83,2.55,97.44,0.00,1.73,34.58,0.93,0.02,0.86,2.61,97.39,0.00,1.86,37.27,1.04,0.04,1.70,5.24,94.76,0.00,2.09,41.80,0.73,0.03,2.17,5.64,94.36,0.00,1.45,29.10
2025-07-05,07:02:04.359,4.36,95.64,0.00,4.36,95.64,0.00,1.56,0.02,0.09,11.73,88.27,0.00,3.11,62.21,1.01,0.04,0.21,0.83,99.17,0.00,2.03,40.51,0.65,0.04,0.21,0.92,99.08,0.00,1.29,25.81,0.70,0.03,2.22,5.23,94.77,0.00,1.39,27.85,0.85,0.02,0.83,2.54,97.45,0.00,1.71,34.13,0.94,0.02,0.89,2.64,97.36,0.00,1.87,37.46,1.03,0.04,1.69,5.33,94.67,0.00,2.06,41.20,0.73,0.03,2.16,5.67,94.33,0.00,1.47,29.35
