System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-05,10:11:24.976,1.48,0.66,7.02,23.84,11.65,2.96,59.25,7.23,85.85,0.00,99.41,0.02
2025-07-05,10:11:29.980,1.42,0.68,8.07,23.41,11.39,2.83,56.67,7.34,92.66,0.00,100.00,0.00
2025-07-05,10:11:34.978,1.41,0.70,8.04,24.23,11.83,2.83,56.56,6.98,93.02,0.00,100.00,0.00
2025-07-05,10:11:39.981,1.43,0.69,7.95,24.29,11.84,2.86,57.14,7.31,92.68,0.00,100.00,0.00
2025-07-05,10:11:44.979,1.42,0.72,7.96,24.30,11.82,2.83,56.64,6.99,93.00,0.00,100.00,0.00
2025-07-05,10:11:49.980,1.42,0.66,7.66,24.22,11.83,2.84,56.81,6.82,93.18,0.00,100.00,0.00
2025-07-05,10:11:54.978,1.42,0.69,7.71,24.19,11.80,2.84,56.80,6.91,93.08,0.00,100.00,0.00
2025-07-05,10:11:59.979,1.42,0.65,7.86,24.12,11.80,2.83,56.65,6.90,93.10,0.00,100.00,0.00
2025-07-05,10:12:04.979,1.44,0.70,7.78,24.28,11.82,2.89,57.78,7.46,92.54,0.00,100.00,0.00
2025-07-05,10:12:09.978,1.45,0.69,7.90,24.24,11.81,2.89,57.86,7.38,92.62,0.00,100.00,0.00
2025-07-05,10:12:14.979,1.44,0.67,7.93,24.21,11.81,2.88,57.54,7.36,92.63,0.00,100.00,0.00
2025-07-05,10:12:19.982,1.43,0.65,7.99,24.06,11.78,2.86,57.19,7.26,92.73,0.00,100.00,0.00
2025-07-05,10:12:24.985,1.40,0.72,8.16,24.26,11.80,2.81,56.14,6.93,93.05,0.00,100.00,0.00
2025-07-05,10:12:29.985,1.42,0.66,7.94,24.19,11.81,2.83,56.65,7.13,92.87,0.00,100.00,0.00
2025-07-05,10:12:34.982,1.42,0.72,8.18,24.28,11.83,2.85,56.99,7.03,92.97,0.00,100.00,0.00
2025-07-05,10:12:39.984,1.43,0.66,7.87,24.19,11.82,2.87,57.38,7.11,92.89,0.00,100.00,0.00
2025-07-05,10:12:44.983,1.44,0.68,8.06,24.26,11.81,2.89,57.77,7.50,92.48,0.00,100.00,0.00
2025-07-05,10:12:49.986,1.41,0.64,7.70,24.12,11.80,2.82,56.32,6.90,93.10,0.00,100.00,0.00
2025-07-05,10:12:54.985,1.37,0.67,7.68,24.26,11.84,2.74,54.73,6.40,93.60,0.00,100.00,0.00
2025-07-05,10:12:59.987,1.34,0.64,7.83,24.18,11.80,2.68,53.51,6.20,93.80,0.00,100.00,0.00
2025-07-05,10:13:04.987,1.33,0.76,8.20,24.43,11.81,2.65,53.08,6.35,93.65,0.00,100.00,0.00
2025-07-05,10:13:09.988,1.37,0.70,8.00,24.36,11.85,2.74,54.86,6.52,93.47,0.00,100.00,0.00
2025-07-05,10:13:14.989,1.42,0.68,8.11,24.30,11.86,2.85,56.99,7.17,92.83,0.00,100.00,0.00
2025-07-05,10:13:19.988,1.45,0.63,7.51,24.12,11.81,2.90,58.08,7.20,92.80,0.00,100.00,0.00
2025-07-05,10:13:24.988,1.39,0.70,7.96,24.20,11.79,2.79,55.74,6.80,93.20,0.00,100.00,0.00
2025-07-05,10:13:29.988,1.37,0.66,7.74,24.16,11.78,2.74,54.85,6.50,93.49,0.00,100.00,0.00
2025-07-05,10:13:34.989,1.37,0.67,7.87,24.24,11.82,2.75,54.98,6.60,93.40,0.00,100.00,0.00
2025-07-05,10:13:39.988,1.34,0.70,8.03,24.21,11.78,2.68,53.69,6.41,93.58,0.00,100.00,0.00
2025-07-05,10:13:44.988,1.33,0.72,8.09,24.29,11.82,2.65,53.08,6.28,93.72,0.00,100.00,0.00
2025-07-05,10:13:49.989,1.37,0.62,7.73,24.14,11.81,2.73,54.64,6.38,93.62,0.00,100.00,0.00
2025-07-05,10:13:54.988,1.35,0.67,7.88,24.24,11.81,2.70,53.92,6.31,93.69,0.00,100.00,0.00
2025-07-05,10:13:59.988,1.39,0.63,7.81,24.16,11.82,2.78,55.64,6.71,93.29,0.00,100.00,0.00
2025-07-05,10:14:04.989,1.39,0.70,7.92,24.26,11.80,2.77,55.48,6.72,93.28,0.00,100.00,0.00
2025-07-05,10:14:09.988,1.37,0.67,7.65,24.21,11.82,2.75,54.91,6.50,93.50,0.00,100.00,0.00
2025-07-05,10:14:14.988,1.35,0.72,7.93,24.23,11.80,2.70,53.99,6.47,93.53,0.00,100.00,0.00
2025-07-05,10:14:19.989,1.42,0.65,7.93,24.10,11.79,2.84,56.71,7.08,92.92,0.00,100.00,0.00
2025-07-05,10:14:24.988,1.80,0.67,3.83,22.93,11.51,3.59,71.89,7.19,70.59,0.00,98.10,0.03
