System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-25,04:24:36.536,0.99,83.85,0.00,0.99,83.85,0.00,1.78,0.01,0.04,2.27,86.86,0.00,3.56,71.16,1.46,0.01,0.02,2.18,85.86,0.00,2.91,58.21,1.69,0.00,0.02,1.00,85.74,0.00,3.38,67.62,0.60,0.00,0.05,0.39,75.07,0.00,1.20,24.03,0.68,0.00,0.06,0.40,88.71,0.00,1.36,27.24,0.83,0.00,0.04,0.38,87.67,0.00,1.66,33.13,0.75,0.00,0.06,0.48,86.26,0.00,1.51,30.11,0.71,0.00,0.09,0.82,74.64,0.00,1.43,28.58
2025-07-25,04:24:38.536,1.27,98.73,0.00,1.27,98.73,0.00,1.75,0.01,0.05,2.44,97.56,0.00,3.50,70.09,1.39,0.01,0.04,2.29,97.68,0.00,2.78,55.60,1.76,0.00,0.02,1.09,98.91,0.00,3.52,70.49,0.65,0.00,0.09,0.71,99.29,0.00,1.29,25.87,0.76,0.00,0.08,0.68,99.32,0.00,1.52,30.38,0.83,0.00,0.07,0.66,99.31,0.00,1.65,33.04,0.90,0.00,0.08,0.73,99.27,0.00,1.81,36.14,0.75,0.00,0.16,1.53,98.47,0.00,1.50,29.95
2025-07-25,04:24:40.536,1.30,98.69,0.00,1.30,98.69,0.00,1.36,0.01,0.04,2.14,97.86,0.00,2.71,54.29,1.78,0.01,0.04,2.35,97.60,0.00,3.56,71.24,1.80,0.00,0.02,1.07,98.93,0.00,3.59,71.84,0.69,0.00,0.09,0.76,99.24,0.00,1.37,27.45,0.88,0.00,0.08,0.74,99.26,0.00,1.75,35.08,0.85,0.00,0.09,0.73,99.22,0.00,1.70,33.93,0.95,0.00,0.09,0.81,99.19,0.00,1.90,37.91,0.79,0.00,0.18,1.81,98.19,0.00,1.57,31.47
2025-07-25,04:24:42.532,1.27,98.73,0.00,1.27,98.73,0.00,1.42,0.01,0.03,2.21,97.79,0.00,2.84,56.74,1.71,0.01,0.03,2.21,97.79,0.00,3.42,68.38,1.76,0.00,0.01,1.01,98.99,0.00,3.51,70.30,0.70,0.00,0.08,0.76,99.24,0.00,1.39,27.81,0.88,0.00,0.06,0.71,99.29,0.00,1.76,35.15,0.86,0.00,0.07,0.68,99.32,0.00,1.72,34.46,0.95,0.00,0.08,0.75,99.25,0.00,1.89,37.90,0.77,0.00,0.17,1.80,98.20,0.00,1.54,30.78
2025-07-25,04:24:44.533,1.46,98.54,0.00,1.46,98.54,0.00,1.40,0.01,0.03,2.32,97.68,0.00,2.80,56.01,1.79,0.01,0.04,2.29,97.71,0.00,3.59,71.72,1.81,0.00,0.02,1.03,98.97,0.00,3.62,72.37,0.73,0.00,0.10,0.99,99.01,0.00,1.45,29.03,0.90,0.00,0.08,0.95,99.05,0.00,1.81,36.11,0.86,0.00,0.10,0.94,99.06,0.00,1.72,34.44,0.98,0.00,0.09,1.00,99.00,0.00,1.96,39.29,0.80,0.01,0.19,2.19,97.81,0.00,1.61,32.18
2025-07-25,04:24:46.532,1.29,98.71,0.00,1.29,98.71,0.00,1.72,0.01,0.04,2.21,97.79,0.00,3.44,68.84,1.46,0.01,0.03,2.18,97.82,0.00,2.93,58.55,1.71,0.00,0.02,1.09,98.91,0.00,3.43,68.56,0.66,0.00,0.10,0.81,99.19,0.00,1.32,26.39,0.81,0.00,0.10,0.79,99.21,0.00,1.62,32.34,0.86,0.00,0.08,0.78,99.22,0.00,1.72,34.48,0.95,0.00,0.08,0.81,99.19,0.00,1.90,38.03,0.76,0.01,0.17,1.61,98.39,0.00,1.53,30.53
2025-07-25,04:24:48.533,1.27,98.72,0.00,1.27,98.72,0.00,1.78,0.01,0.04,2.41,97.59,0.00,3.56,71.25,1.44,0.01,0.03,2.25,97.73,0.00,2.88,57.56,1.71,0.01,0.02,1.04,98.96,0.00,3.42,68.31,0.67,0.00,0.09,0.70,99.30,0.00,1.33,26.64,0.78,0.00,0.09,0.70,99.30,0.00,1.56,31.11,0.88,0.00,0.06,0.64,99.35,0.00,1.77,35.32,0.95,0.00,0.08,0.79,99.21,0.00,1.90,37.92,0.76,0.00,0.17,1.66,98.34,0.00,1.52,30.39
2025-07-25,04:24:50.533,1.36,98.64,0.00,1.36,98.64,0.00,1.69,0.01,0.04,2.45,97.54,0.00,3.37,67.44,1.42,0.01,0.04,2.63,97.37,0.00,2.85,57.00,1.73,0.00,0.02,1.14,98.86,0.00,3.47,69.35,0.68,0.00,0.07,0.68,99.32,0.00,1.37,27.32,0.85,0.00,0.06,0.68,99.31,0.00,1.70,33.96,0.88,0.00,0.06,0.65,99.35,0.00,1.76,35.22,0.94,0.00,0.07,0.81,99.19,0.00,1.89,37.70,0.79,0.01,0.16,1.80,98.20,0.00,1.59,31.73
2025-07-25,04:24:52.534,1.05,98.93,0.00,1.05,98.93,0.00,1.60,0.01,0.03,2.05,97.93,0.00,3.20,63.98,1.61,0.01,0.03,2.17,97.78,0.00,3.21,64.24,1.71,0.00,0.02,0.99,99.01,0.00,3.43,68.56,0.64,0.00,0.08,0.50,99.50,0.00,1.28,25.68,0.81,0.00,0.07,0.49,99.50,0.00,1.61,32.21,0.79,0.00,0.06,0.49,99.46,0.00,1.57,31.49,0.88,0.00,0.07,0.54,99.46,0.00,1.76,35.28,0.75,0.00,0.15,1.18,98.82,0.00,1.49,29.86
2025-07-25,04:24:54.536,1.19,98.80,0.00,1.19,98.80,0.00,1.60,0.01,0.03,2.36,97.64,0.00,3.21,64.17,1.66,0.01,0.03,2.28,97.70,0.00,3.32,66.44,1.64,0.01,0.02,1.03,98.97,0.00,3.28,65.64,0.65,0.00,0.08,0.63,99.37,0.00,1.30,25.95,0.79,0.00,0.06,0.55,99.45,0.00,1.58,31.60,0.76,0.01,0.07,0.59,99.38,0.00,1.52,30.47,0.88,0.00,0.07,0.65,99.35,0.00,1.77,35.35,0.72,0.00,0.16,1.44,98.56,0.00,1.44,28.77
