System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-25,06:35:57.305,1.67,0.03,0.12,3.85,1.82,3.35,66.94,0.66,84.27,0.00,99.26,0.02
2025-07-25,06:35:59.306,1.65,0.03,0.13,3.86,1.82,3.30,66.07,0.65,98.52,0.00,100.00,0.00
2025-07-25,06:36:01.306,1.62,0.03,0.14,3.81,1.81,3.23,64.68,0.63,98.79,0.00,100.00,0.00
2025-07-25,06:36:03.307,1.62,0.03,0.14,3.92,1.83,3.25,64.95,0.65,98.78,0.00,100.00,0.00
2025-07-25,06:36:05.307,1.58,0.03,0.16,3.96,1.85,3.16,63.17,0.72,98.57,0.00,100.00,0.00
2025-07-25,06:36:07.307,1.63,0.02,0.11,3.89,1.83,3.25,65.05,0.76,98.52,0.00,100.00,0.00
2025-07-25,06:36:09.311,1.65,0.02,0.10,3.85,1.82,3.30,65.97,0.86,98.77,0.00,100.00,0.00
2025-07-25,06:36:11.307,1.57,0.02,0.11,3.85,1.81,3.15,62.91,0.75,98.76,0.00,100.00,0.00
2025-07-25,06:36:13.311,1.58,0.02,0.10,3.85,1.82,3.16,63.23,0.75,98.68,0.00,100.00,0.00
2025-07-25,06:36:15.307,1.56,0.02,0.10,3.93,1.82,3.12,62.30,0.73,98.67,0.00,100.00,0.00
2025-07-25,06:36:17.311,1.59,0.02,0.09,3.86,1.82,3.17,63.50,0.74,98.80,0.00,100.00,0.00
2025-07-25,06:36:19.307,1.57,0.02,0.09,3.82,1.81,3.13,62.60,0.72,98.63,0.00,100.00,0.00
2025-07-25,06:36:21.307,1.56,0.02,0.11,3.85,1.82,3.11,62.28,0.75,98.75,0.00,100.00,0.00
2025-07-25,06:36:23.311,1.54,0.02,0.12,3.88,1.83,3.08,61.63,0.75,98.77,0.00,100.00,0.00
2025-07-25,06:36:25.307,1.58,0.02,0.10,3.82,1.82,3.16,63.24,0.74,98.76,0.00,100.00,0.00
2025-07-25,06:36:27.307,1.56,0.02,0.10,3.88,1.82,3.13,62.54,0.73,98.78,0.00,100.00,0.00
2025-07-25,06:36:29.307,1.57,0.02,0.14,3.87,1.82,3.13,62.67,0.72,98.79,0.00,100.00,0.00
2025-07-25,06:36:31.307,1.69,0.02,0.09,3.81,1.82,3.38,67.69,0.58,99.26,0.00,100.00,0.00
2025-07-25,06:36:33.311,1.70,0.01,0.10,3.86,1.82,3.39,67.82,0.64,98.59,0.00,100.00,0.00
2025-07-25,06:36:35.314,1.59,0.03,0.18,3.96,1.86,3.19,63.78,0.72,98.78,0.00,100.00,0.00
2025-07-25,06:36:37.314,1.63,0.02,0.13,3.85,1.81,3.25,65.08,0.76,98.60,0.00,100.00,0.00
2025-07-25,06:36:39.311,1.66,0.02,0.11,3.89,1.82,3.32,66.30,0.84,98.61,0.00,100.00,0.00
2025-07-25,06:36:41.311,1.64,0.02,0.16,3.88,1.82,3.28,65.64,0.89,98.48,0.00,100.00,0.00
2025-07-25,06:36:43.311,1.54,0.02,0.14,3.75,1.77,3.08,61.53,0.79,98.81,0.00,100.00,0.00
2025-07-25,06:36:45.314,1.56,0.02,0.11,3.87,1.81,3.12,62.47,0.75,98.62,0.00,100.00,0.00
2025-07-25,06:36:47.314,1.53,0.03,0.13,3.81,1.80,3.06,61.18,0.66,99.19,0.00,100.00,0.00
2025-07-25,06:36:49.314,1.54,0.02,0.13,3.84,1.82,3.09,61.80,0.75,98.73,0.00,100.00,0.00
