Test_ID,Replicas,Interference_Name,Interference_ID,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Errors
1replicas_scenario0_100rps,1,Baseline0,0,100,100.00509739593231,0.295,0.31,0.0,0.442,0.539,0.606,2.918,0
1replicas_scenario1_100rps,1,Baseline1,1,100,100.00493687482641,0.3,0.317,0.0,0.454,0.542,0.603,2.399,0
1replicas_scenario2_100rps,1,Baseline2,2,100,100.00493030584495,0.3,0.312,0.0,0.466,0.543,0.605,2.407,0
1replicas_scenario11_100rps,1,1_iBench_CPU_pod,11,100,100.00531807558201,0.29,0.301,0.0,0.415,0.522,0.594,2.238,0
1replicas_scenario12_100rps,1,2_iBench_CPU_pods,12,100,100.00511698793336,0.283,0.291,0.0,0.395,0.484,0.581,1.903,0
1replicas_scenario13_100rps,1,3_iBench_CPU_pods,13,100,100.00494410498521,0.269,0.267,0.0,0.382,0.434,0.561,3.931,0
1replicas_scenario14_100rps,1,4_iBench_CPU_pods,14,100,100.00495262693966,0.224,0.191,0.0,0.354,0.389,0.517,1.23,0
1replicas_scenario21_100rps,1,1_stress-ng_l3_pod,21,100,100.00535978225726,0.304,0.301,0.0,0.412,0.488,0.571,1.5,0
1replicas_scenario22_100rps,1,2_stress-ng_l3_pods,22,100,100.00508142208427,0.467,0.386,0.0,0.793,0.841,0.922,2.752,0
1replicas_scenario23_100rps,1,3_stress-ng_l3_pods,23,100,100.00552040862118,0.641,0.425,0.0,1.302,1.386,1.499,2.678,0
1replicas_scenario24_100rps,1,4_stress-ng_l3_pods,24,100,100.00440267604925,0.864,0.806,0.0,1.408,1.496,1.697,6.157,0
1replicas_scenario31_100rps,1,1_iBench_memBW_pod,31,100,100.00540875975321,0.301,0.303,0.0,0.429,0.522,0.598,1.62,0
1replicas_scenario32_100rps,1,2_iBench_memBW_pods,32,100,100.00550457798711,0.323,0.324,0.0,0.46,0.521,0.604,1.345,0
1replicas_scenario33_100rps,1,3_iBench_memBW_pods,33,100,100.00507720887852,0.341,0.307,0.0,0.534,0.613,0.788,1.736,0
1replicas_scenario34_100rps,1,4_iBench_memBW_pods,34,100,100.00540636560542,0.374,0.363,0.0,0.54,0.584,0.692,3.758,0
1replicas_scenario0_500rps,1,Baseline0,0,500,500.00485644161404,0.091,0.087,0.0,0.105,0.116,0.165,2.64,0
1replicas_scenario1_500rps,1,Baseline1,1,500,500.0042961230241,0.091,0.088,0.0,0.106,0.117,0.167,2.343,0
1replicas_scenario2_500rps,1,Baseline2,2,500,500.00325311005423,0.091,0.087,0.0,0.105,0.116,0.165,3.129,0
1replicas_scenario11_500rps,1,1_iBench_CPU_pod,11,500,500.0051957984365,0.093,0.087,0.0,0.109,0.129,0.193,3.754,0
1replicas_scenario12_500rps,1,2_iBench_CPU_pods,12,500,500.0033428112375,0.104,0.091,0.0,0.159,0.18,0.233,2.532,0
1replicas_scenario13_500rps,1,3_iBench_CPU_pods,13,500,500.00490946764967,0.096,0.089,0.0,0.119,0.156,0.208,2.956,0
1replicas_scenario14_500rps,1,4_iBench_CPU_pods,14,500,500.0055575367718,0.102,0.09,0.0,0.154,0.175,0.227,2.602,0
1replicas_scenario21_500rps,1,1_stress-ng_l3_pod,21,500,500.0055303833919,0.122,0.117,0.0,0.162,0.183,0.255,4.76,0
1replicas_scenario22_500rps,1,2_stress-ng_l3_pods,22,500,500.003632012494,0.169,0.137,0.0,0.258,0.415,0.599,4.172,0
1replicas_scenario23_500rps,1,3_stress-ng_l3_pods,23,500,500.00261996928396,0.348,0.3,0.0,0.63,0.735,0.981,3.902,0
1replicas_scenario24_500rps,1,4_stress-ng_l3_pods,24,500,500.00523856044,0.516,0.512,0.0,0.885,0.978,1.232,8.007,0
1replicas_scenario31_500rps,1,1_iBench_memBW_pod,31,500,500.0042208689645,0.1,0.093,0.0,0.128,0.144,0.205,3.628,0
1replicas_scenario32_500rps,1,2_iBench_memBW_pods,32,500,500.00425459175835,0.111,0.1,0.0,0.152,0.187,0.26,2.818,0
1replicas_scenario33_500rps,1,3_iBench_memBW_pods,33,500,500.0047562285763,0.123,0.107,0.0,0.183,0.206,0.279,4.368,0
1replicas_scenario34_500rps,1,4_iBench_memBW_pods,34,500,500.00277532929374,0.128,0.116,0.0,0.179,0.204,0.267,3.712,0
1replicas_scenario0_1000rps,1,Baseline0,0,1000,1000.003594024028,0.088,0.085,0.0,0.102,0.111,0.146,3.211,0
1replicas_scenario1_1000rps,1,Baseline1,1,1000,1000.0053899012731,0.089,0.086,0.0,0.104,0.112,0.146,2.579,0
1replicas_scenario2_1000rps,1,Baseline2,2,1000,1000.002440000398,0.089,0.086,0.0,0.103,0.112,0.146,2.668,0
1replicas_scenario11_1000rps,1,1_iBench_CPU_pod,11,1000,1000.0029161418372,0.089,0.086,0.0,0.103,0.111,0.145,3.252,0
1replicas_scenario12_1000rps,1,2_iBench_CPU_pods,12,1000,1000.0043495300295,0.089,0.085,0.0,0.104,0.116,0.178,3.578,0
1replicas_scenario13_1000rps,1,3_iBench_CPU_pods,13,1000,1000.0034706231563,0.089,0.085,0.0,0.104,0.115,0.175,3.589,0
1replicas_scenario14_1000rps,1,4_iBench_CPU_pods,14,1000,1000.0023433388245,0.125,0.098,0.0,0.198,0.218,0.267,3.187,0
1replicas_scenario21_1000rps,1,1_stress-ng_l3_pod,21,1000,999.9997108889723,0.113,0.106,0.0,0.152,0.168,0.222,3.052,0
1replicas_scenario22_1000rps,1,2_stress-ng_l3_pods,22,1000,1000.0017928032142,0.212,0.142,0.0,0.461,0.534,0.632,3.022,0
1replicas_scenario23_1000rps,1,3_stress-ng_l3_pods,23,1000,999.9999217444506,0.309,0.216,0.0,0.624,0.754,0.952,4.276,0
1replicas_scenario24_1000rps,1,4_stress-ng_l3_pods,24,1000,999.9975058339986,0.422,0.405,0.0,0.673,0.782,0.984,5.715,0
1replicas_scenario31_1000rps,1,1_iBench_memBW_pod,31,1000,1000.0051144817133,0.096,0.09,0.0,0.119,0.134,0.19,3.891,0
1replicas_scenario32_1000rps,1,2_iBench_memBW_pods,32,1000,1000.0024366837152,0.107,0.094,0.0,0.159,0.181,0.229,3.456,0
1replicas_scenario33_1000rps,1,3_iBench_memBW_pods,33,1000,1000.0053126004458,0.109,0.1,0.0,0.153,0.176,0.235,3.618,0
1replicas_scenario34_1000rps,1,4_iBench_memBW_pods,34,1000,1000.0012555349098,0.121,0.107,0.0,0.18,0.21,0.284,4.132,0
1replicas_scenario0_1500rps,1,Baseline0,0,1500,1500.0037512343813,0.087,0.085,0.0,0.104,0.112,0.142,3.641,0
1replicas_scenario1_1500rps,1,Baseline1,1,1500,1500.0024230455806,0.087,0.085,0.0,0.105,0.113,0.142,3.001,0
1replicas_scenario2_1500rps,1,Baseline2,2,1500,1500.0058183142353,0.087,0.085,0.0,0.105,0.113,0.142,4.273,0
1replicas_scenario11_1500rps,1,1_iBench_CPU_pod,11,1500,1500.0052737212313,0.088,0.085,0.0,0.105,0.114,0.157,3.595,0
1replicas_scenario12_1500rps,1,2_iBench_CPU_pods,12,1500,1500.0023608819045,0.089,0.085,0.0,0.107,0.117,0.174,3.704,0
1replicas_scenario13_1500rps,1,3_iBench_CPU_pods,13,1500,1500.0042948289636,0.144,0.149,0.0,0.214,0.245,0.304,4.4,0
1replicas_scenario14_1500rps,1,4_iBench_CPU_pods,14,1500,1500.0005306501878,0.131,0.112,0.0,0.201,0.228,0.286,3.094,0
1replicas_scenario21_1500rps,1,1_stress-ng_l3_pod,21,1500,1500.0042040534493,0.112,0.105,0.0,0.15,0.167,0.235,3.939,0
1replicas_scenario22_1500rps,1,2_stress-ng_l3_pods,22,1500,1500.0027400754125,0.23,0.154,0.0,0.479,0.555,0.732,5.396,0
1replicas_scenario23_1500rps,1,3_stress-ng_l3_pods,23,1500,1499.999377675731,0.337,0.286,0.0,0.645,0.751,0.982,4.837,0
1replicas_scenario24_1500rps,1,4_stress-ng_l3_pods,24,1500,1499.998523909786,0.442,0.425,0.0,0.736,0.83,1.085,6.499,0
1replicas_scenario31_1500rps,1,1_iBench_memBW_pod,31,1500,1500.003710634325,0.092,0.088,0.0,0.114,0.126,0.17,3.214,0
