System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-16,16:43:07.013,0.25,83.63,0.00,0.25,83.63,0.00,0.74,0.01,0.02,0.20,83.93,0.00,1.49,29.79,4.02,0.00,0.02,1.33,89.86,0.00,8.04,160.88,0.45,0.00,0.01,0.06,83.28,0.00,0.90,17.92,0.53,0.00,0.01,0.06,76.81,0.00,1.05,21.06,0.58,0.00,0.00,0.03,84.09,0.00,1.17,23.32,0.46,0.00,0.02,0.11,91.08,0.00,0.93,18.53,0.67,0.00,0.01,0.13,83.21,0.00,1.35,26.95,0.62,0.00,0.01,0.06,76.81,0.00,1.23,24.64
2025-07-16,16:43:09.012,0.24,99.06,0.00,0.24,99.06,0.00,0.75,0.00,0.01,0.12,98.22,0.00,1.51,30.10,4.06,0.00,0.02,1.34,97.52,0.00,8.13,162.50,0.55,0.00,0.00,0.03,99.97,0.00,1.11,22.13,0.58,0.00,0.00,0.05,99.95,0.00,1.15,23.03,0.79,0.00,0.00,0.04,98.29,0.00,1.58,31.69,0.58,0.00,0.02,0.12,98.74,0.00,1.15,23.10,0.73,0.00,0.02,0.17,99.83,0.00,1.45,29.04,0.62,0.00,0.01,0.08,99.92,0.00,1.24,24.81
2025-07-16,16:43:11.013,0.26,98.98,0.00,0.26,98.98,0.00,3.42,0.00,0.01,0.29,98.63,0.00,6.85,136.94,4.11,0.00,0.02,1.23,96.82,0.00,8.21,164.22,0.79,0.00,0.00,0.04,99.96,0.00,1.58,31.58,0.62,0.00,0.01,0.07,99.93,0.00,1.23,24.68,0.70,0.00,0.01,0.06,98.85,0.00,1.39,27.81,0.55,0.00,0.02,0.12,97.92,0.00,1.09,21.81,0.78,0.00,0.02,0.19,99.81,0.00,1.56,31.14,0.66,0.00,0.01,0.09,99.91,0.00,1.33,26.59
2025-07-16,16:43:13.012,0.26,99.15,0.00,0.26,99.15,0.00,3.98,0.00,0.02,1.37,96.26,0.00,7.97,159.37,0.57,0.00,0.01,0.13,99.87,0.00,1.15,22.90,0.55,0.00,0.01,0.06,99.94,0.00,1.11,22.14,0.62,0.00,0.01,0.06,99.93,0.00,1.24,24.77,0.51,0.00,0.01,0.04,97.58,0.00,1.01,20.27,0.69,0.00,0.01,0.14,99.86,0.00,1.38,27.54,0.70,0.00,0.02,0.17,99.83,0.00,1.40,27.96,0.65,0.00,0.01,0.08,99.91,0.00,1.30,25.90
2025-07-16,16:43:15.012,0.24,99.07,0.00,0.24,99.07,0.00,4.08,0.00,0.02,1.32,97.16,0.00,8.17,163.37,0.71,0.00,0.01,0.07,98.71,0.00,1.42,28.39,0.55,0.00,0.00,0.05,99.95,0.00,1.10,21.92,0.58,0.00,0.00,0.04,99.96,0.00,1.16,23.10,0.52,0.00,0.01,0.04,98.45,0.00,1.04,20.86,0.70,0.00,0.01,0.16,98.61,0.00,1.39,27.86,0.82,0.00,0.02,0.19,99.81,0.00,1.65,32.90,0.62,0.00,0.01,0.08,99.92,0.00,1.24,24.71
2025-07-16,16:43:17.013,0.25,99.08,0.00,0.25,99.08,0.00,4.09,0.00,0.02,1.41,96.43,0.00,8.18,163.63,0.57,0.00,0.01,0.08,99.39,0.00,1.14,22.77,0.69,0.00,0.00,0.04,99.94,0.00,1.38,27.60,0.58,0.00,0.00,0.05,99.95,0.00,1.16,23.29,0.49,0.00,0.01,0.05,97.79,0.00,0.97,19.40,0.72,0.00,0.01,0.13,99.34,0.00,1.44,28.74,0.73,0.00,0.02,0.17,99.81,0.00,1.45,29.01,0.69,0.00,0.00,0.06,99.94,0.00,1.38,27.66
2025-07-16,16:43:19.013,0.25,99.09,0.00,0.25,99.09,0.00,4.07,0.00,0.02,1.31,96.86,0.00,8.15,162.97,0.70,0.00,0.01,0.11,99.06,0.00,1.39,27.83,0.58,0.00,0.01,0.07,99.93,0.00,1.15,23.01,0.66,0.00,0.01,0.06,99.94,0.00,1.31,26.26,0.50,0.00,0.01,0.05,98.12,0.00,1.00,20.01,0.85,0.00,0.01,0.12,99.05,0.00,1.69,33.88,0.72,0.00,0.02,0.18,99.82,0.00,1.44,28.83,0.65,0.00,0.01,0.07,99.93,0.00,1.29,25.82
2025-07-16,16:43:21.013,0.24,99.38,0.00,0.24,99.38,0.00,4.05,0.00,0.02,1.33,98.03,0.00,8.10,162.02,0.60,0.00,0.01,0.11,99.01,0.00,1.20,23.93,0.80,0.00,0.00,0.05,99.95,0.00,1.61,32.10,0.55,0.00,0.00,0.04,99.96,0.00,1.10,21.97,0.55,0.00,0.01,0.04,99.32,0.00,1.10,21.99,0.66,0.00,0.01,0.10,99.01,0.00,1.31,26.26,0.76,0.00,0.01,0.17,99.83,0.00,1.53,30.57,0.67,0.00,0.01,0.06,99.94,0.00,1.33,26.65
2025-07-16,16:43:23.013,0.27,98.98,0.00,0.27,98.98,0.00,3.98,0.00,0.01,0.74,98.87,0.00,7.97,159.34,3.77,0.00,0.02,0.79,96.57,0.00,7.54,150.73,0.52,0.00,0.01,0.09,99.91,0.00,1.03,20.68,0.64,0.00,0.00,0.05,99.95,0.00,1.28,25.62,0.65,0.00,0.01,0.05,99.56,0.00,1.30,25.93,0.51,0.00,0.03,0.17,97.19,0.00,1.02,20.35,0.71,0.00,0.02,0.18,99.82,0.00,1.42,28.36,0.65,0.00,0.01,0.07,99.93,0.00,1.31,26.17
2025-07-16,16:43:25.013,0.23,99.42,0.00,0.23,99.42,0.00,0.78,0.00,0.01,0.09,99.73,0.00,1.56,31.23,3.98,0.00,0.02,0.84,98.33,0.00,7.97,159.35,3.83,0.00,0.01,0.42,99.18,0.00,7.66,153.10,0.65,0.00,0.00,0.04,99.96,0.00,1.29,25.82,0.73,0.00,0.00,0.05,99.77,0.00,1.47,29.40,0.56,0.00,0.03,0.17,99.01,0.00,1.12,22.48,0.73,0.00,0.02,0.16,99.44,0.00,1.46,29.18,0.70,0.00,0.01,0.07,99.93,0.00,1.40,27.99
2025-07-16,16:43:27.014,0.20,99.62,0.00,0.20,99.62,0.00,3.85,0.00,0.01,0.56,99.19,0.00,7.69,153.84,0.66,0.00,0.01,0.07,99.76,0.00,1.31,26.21,3.99,0.00,0.01,0.53,99.14,0.00,7.97,159.43,0.68,0.00,0.00,0.03,99.97,0.00,1.37,27.37,0.65,0.00,0.01,0.06,99.70,0.00,1.30,25.98,0.75,0.00,0.01,0.10,99.73,0.00,1.51,30.13,0.57,0.00,0.03,0.14,99.52,0.00,1.15,22.91,0.80,0.00,0.01,0.07,99.93,0.00,1.61,32.15
2025-07-16,16:43:29.014,0.27,99.49,0.00,0.27,99.49,0.00,4.04,0.00,0.02,1.43,97.77,0.00,8.08,161.69,0.67,0.00,0.01,0.10,99.71,0.00,1.33,26.61,0.61,0.00,0.00,0.03,99.97,0.00,1.21,24.26,0.66,0.00,0.00,0.04,99.96,0.00,1.32,26.34,0.62,0.00,0.01,0.08,99.12,0.00,1.24,24.75,0.75,0.00,0.01,0.14,99.67,0.00,1.50,29.99,0.77,0.00,0.02,0.22,99.78,0.00,1.53,30.64,0.70,0.00,0.01,0.10,99.90,0.00,1.40,28.07
2025-07-16,16:43:31.015,0.26,99.42,0.00,0.26,99.42,0.00,3.94,0.00,0.02,1.39,97.34,0.00,7.88,157.59,0.75,0.00,0.01,0.12,99.88,0.00,1.50,29.91,0.53,0.00,0.01,0.06,99.94,0.00,1.05,21.02,0.69,0.00,0.00,0.04,99.96,0.00,1.38,27.61,0.56,0.00,0.01,0.07,98.66,0.00,1.12,22.44,0.68,0.00,0.01,0.16,99.84,0.00,1.36,27.18,0.71,0.00,0.02,0.18,99.82,0.00,1.42,28.36,0.71,0.00,0.01,0.08,99.92,0.00,1.43,28.59
2025-07-16,16:43:33.014,0.26,99.11,0.00,0.26,99.11,0.00,3.94,0.00,0.03,1.40,96.07,0.00,7.88,157.69,0.59,0.00,0.01,0.11,99.89,0.00,1.18,23.60,0.47,0.00,0.00,0.05,99.95,0.00,0.94,18.89,0.59,0.00,0.00,0.04,99.96,0.00,1.19,23.76,0.46,0.00,0.01,0.03,97.44,0.00,0.92,18.31,0.73,0.00,0.01,0.16,99.84,0.00,1.45,29.07,0.72,0.00,0.02,0.18,99.82,0.00,1.43,28.69,0.77,0.00,0.00,0.06,99.94,0.00,1.53,30.65
2025-07-16,16:43:35.015,0.28,99.25,0.00,0.28,99.25,0.00,3.98,0.00,0.02,1.43,97.40,0.00,7.97,159.38,0.63,0.00,0.01,0.12,99.15,0.00,1.26,25.19,0.56,0.00,0.00,0.05,99.95,0.00,1.13,22.56,0.67,0.00,0.01,0.07,99.93,0.00,1.34,26.72,0.50,0.00,0.01,0.08,98.75,0.00,1.00,20.05,0.67,0.00,0.01,0.15,99.12,0.00,1.34,26.85,0.75,0.00,0.02,0.23,99.77,0.00,1.51,30.16,0.69,0.00,0.01,0.10,99.90,0.00,1.39,27.80
2025-07-16,16:43:37.014,0.25,99.36,0.00,0.25,99.36,0.00,4.05,0.00,0.02,1.33,97.72,0.00,8.11,162.12,0.64,0.00,0.00,0.06,99.32,0.00,1.28,25.56,0.48,0.00,0.00,0.05,99.94,0.00,0.96,19.13,0.62,0.00,0.00,0.05,99.95,0.00,1.23,24.63,0.57,0.00,0.01,0.06,98.99,0.00,1.14,22.77,0.72,0.00,0.01,0.15,99.24,0.00,1.44,28.84,0.69,0.00,0.02,0.19,99.81,0.00,1.38,27.54,0.62,0.00,0.01,0.08,99.92,0.00,1.24,24.82
2025-07-16,16:43:39.015,0.26,99.72,0.00,0.26,99.72,0.00,3.91,0.00,0.03,1.39,98.59,0.00,7.83,156.53,0.85,0.01,0.01,0.13,99.82,0.00,1.71,34.11,0.67,0.00,0.00,0.05,99.95,0.00,1.34,26.86,0.61,0.00,0.00,0.04,99.96,0.00,1.23,24.57,0.44,0.00,0.02,0.08,99.90,0.00,0.88,17.55,0.80,0.00,0.01,0.11,99.83,0.00,1.60,32.02,0.75,0.00,0.01,0.19,99.81,0.00,1.51,30.17,0.68,0.00,0.00,0.07,99.93,0.00,1.37,27.35
2025-07-16,16:43:41.014,0.25,99.29,0.00,0.25,99.29,0.00,4.05,0.00,0.02,1.38,97.25,0.00,8.10,161.91,0.71,0.00,0.00,0.07,99.44,0.00,1.42,28.35,0.58,0.00,0.00,0.04,99.96,0.00,1.16,23.24,0.61,0.00,0.00,0.03,99.97,0.00,1.22,24.43,0.51,0.00,0.01,0.04,98.59,0.00,1.02,20.36,0.73,0.00,0.01,0.16,99.35,0.00,1.45,29.02,0.76,0.00,0.02,0.19,99.81,0.00,1.51,30.26,0.66,0.00,0.01,0.06,99.94,0.00,1.32,26.38
2025-07-16,16:43:43.014,0.25,98.94,0.00,0.25,98.94,0.00,4.01,0.00,0.02,1.34,95.44,0.00,8.02,160.37,0.67,0.00,0.01,0.08,99.90,0.00,1.35,26.93,0.68,0.00,0.00,0.03,99.97,0.00,1.35,27.01,0.63,0.00,0.00,0.04,99.96,0.00,1.25,25.02,0.50,0.00,0.01,0.07,96.72,0.00,1.00,20.10,0.70,0.00,0.02,0.16,99.82,0.00,1.40,28.00,0.72,0.00,0.02,0.21,99.79,0.00,1.44,28.81,0.71,0.00,0.01,0.08,99.92,0.00,1.42,28.32
2025-07-16,16:43:45.015,0.28,98.68,0.00,0.28,98.68,0.00,4.02,0.00,0.02,1.39,94.65,0.00,8.03,160.60,0.53,0.00,0.01,0.11,99.68,0.00,1.07,21.33,0.66,0.00,0.01,0.08,99.92,0.00,1.32,26.40,0.54,0.00,0.01,0.08,99.92,0.00,1.07,21.48,0.51,0.00,0.01,0.06,95.98,0.00,1.02,20.41,0.68,0.00,0.02,0.20,99.60,0.00,1.37,27.31,0.69,0.00,0.02,0.20,99.80,0.00,1.38,27.62,0.57,0.00,0.01,0.09,99.91,0.00,1.14,22.83
2025-07-16,16:43:47.015,0.26,99.48,0.00,0.26,99.48,0.00,4.04,0.00,0.02,1.37,98.42,0.00,8.07,161.41,0.81,0.00,0.01,0.11,99.08,0.00,1.61,32.24,0.69,0.00,0.02,0.10,99.90,0.00,1.39,27.70,0.57,0.00,0.01,0.06,99.94,0.00,1.14,22.70,0.49,0.00,0.01,0.06,99.72,0.00,0.99,19.74,0.69,0.00,0.01,0.12,99.06,0.00,1.39,27.76,0.73,0.00,0.02,0.19,99.80,0.00,1.45,29.01,0.62,0.00,0.01,0.08,99.92,0.00,1.24,24.75
2025-07-16,16:43:49.016,0.24,99.73,0.00,0.24,99.73,0.00,4.07,0.00,0.02,1.32,98.54,0.00,8.13,162.68,0.68,0.00,0.01,0.07,99.93,0.00,1.36,27.15,0.53,0.01,0.01,0.11,99.89,0.00,1.07,21.30,0.53,0.00,0.00,0.04,99.96,0.00,1.05,21.10,0.52,0.00,0.01,0.04,99.83,0.00,1.04,20.84,0.68,0.00,0.01,0.14,99.86,0.00,1.37,27.36,0.73,0.00,0.01,0.15,99.85,0.00,1.45,29.07,0.64,0.00,0.00,0.06,99.94,0.00,1.29,25.75
2025-07-16,16:43:51.015,0.26,99.14,0.00,0.26,99.14,0.00,4.01,0.00,0.02,1.40,96.70,0.00,8.03,160.56,0.78,0.00,0.01,0.13,99.41,0.00,1.57,31.33,1.27,0.00,0.01,0.07,99.93,0.00,2.54,50.71,0.57,0.00,0.00,0.04,99.96,0.00,1.14,22.87,0.52,0.00,0.01,0.05,98.04,0.00,1.05,20.91,0.65,0.00,0.01,0.14,99.40,0.00,1.31,26.19,0.68,0.00,0.02,0.20,99.80,0.00,1.36,27.28,0.66,0.00,0.01,0.07,99.93,0.00,1.32,26.47
2025-07-16,16:43:53.016,0.26,98.90,0.00,0.26,98.90,0.00,4.02,0.00,0.02,1.37,96.40,0.00,8.04,160.85,0.68,0.01,0.01,0.14,98.79,0.00,1.36,27.19,0.62,0.00,0.00,0.05,99.91,0.00,1.23,24.64,0.63,0.00,0.00,0.05,99.95,0.00,1.26,25.25,0.50,0.00,0.01,0.04,97.73,0.00,0.99,19.88,0.63,0.00,0.02,0.18,98.76,0.00,1.25,25.02,0.67,0.00,0.02,0.19,99.77,0.00,1.34,26.71,0.62,0.00,0.01,0.08,99.92,0.00,1.24,24.79
2025-07-16,16:43:55.015,0.24,99.10,0.00,0.24,99.10,0.00,4.08,0.00,0.02,1.33,96.84,0.00,8.16,163.11,0.70,0.00,0.01,0.09,99.09,0.00,1.39,27.86,0.54,0.00,0.01,0.07,99.93,0.00,1.08,21.61,0.62,0.00,0.01,0.06,99.94,0.00,1.25,24.99,0.52,0.00,0.00,0.03,98.15,0.00,1.04,20.82,0.77,0.00,0.01,0.12,99.06,0.00,1.54,30.73,0.76,0.00,0.01,0.16,99.84,0.00,1.52,30.49,0.68,0.00,0.01,0.06,99.94,0.00,1.35,27.02
2025-07-16,16:43:57.016,0.28,98.98,0.00,0.28,98.98,0.00,4.05,0.00,0.02,1.42,97.47,0.00,8.10,162.04,0.48,0.01,0.01,0.14,98.08,0.00,0.97,19.35,0.74,0.00,0.01,0.06,99.93,0.00,1.48,29.51,0.64,0.00,0.01,0.06,99.91,0.00,1.27,25.48,0.57,0.00,0.01,0.05,98.83,0.00,1.15,22.95,0.60,0.00,0.02,0.22,97.99,0.00,1.20,24.04,0.71,0.00,0.02,0.22,99.76,0.00,1.42,28.32,0.66,0.00,0.01,0.10,99.87,0.00,1.32,26.35
