System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-23,11:08:47.286,1.54,83.82,0.00,1.54,83.82,0.00,1.58,0.00,0.02,2.08,90.29,0.00,3.16,63.20,1.55,0.01,0.03,4.72,82.99,0.00,3.10,61.94,1.51,0.01,0.04,2.96,84.52,0.00,3.03,60.51,0.63,0.00,0.16,0.82,73.04,0.00,1.27,25.38,0.87,0.00,0.06,0.39,91.98,0.00,1.74,34.89,0.80,0.00,0.06,0.41,87.32,0.00,1.60,32.02,1.01,0.00,0.06,0.45,87.03,0.00,2.02,40.43,0.77,0.00,0.08,0.46,73.40,0.00,1.55,30.99
2025-07-23,11:08:49.286,1.82,98.18,0.00,1.82,98.18,0.00,1.47,0.01,0.03,1.76,98.24,0.00,2.95,58.95,1.54,0.01,0.03,5.54,94.46,0.00,3.08,61.54,1.47,0.01,0.04,2.97,97.03,0.00,2.95,58.97,0.69,0.00,0.25,1.35,98.65,0.00,1.38,27.57,0.92,0.00,0.09,0.68,99.32,0.00,1.84,36.81,0.87,0.00,0.09,0.68,99.32,0.00,1.74,34.86,1.04,0.00,0.10,0.78,99.22,0.00,2.08,41.66,0.79,0.00,0.13,0.80,99.20,0.00,1.58,31.70
2025-07-23,11:08:51.287,1.72,98.28,0.00,1.72,98.28,0.00,1.53,0.01,0.02,2.47,97.53,0.00,3.06,61.22,1.54,0.01,0.03,4.01,95.95,0.00,3.09,61.75,1.48,0.01,0.05,3.00,97.00,0.00,2.96,59.15,0.71,0.01,0.21,1.31,98.69,0.00,1.41,28.23,0.90,0.00,0.08,0.67,99.33,0.00,1.79,35.87,0.92,0.00,0.08,0.68,99.29,0.00,1.83,36.68,1.03,0.00,0.10,0.77,99.23,0.00,2.05,41.06,0.81,0.00,0.13,0.82,99.18,0.00,1.62,32.34
2025-07-23,11:08:53.286,1.83,98.17,0.00,1.83,98.17,0.00,1.50,0.00,0.02,1.55,98.45,0.00,3.01,60.12,1.54,0.01,0.02,5.59,94.41,0.00,3.09,61.75,1.43,0.01,0.04,3.23,96.77,0.00,2.86,57.29,0.71,0.01,0.23,1.38,98.62,0.00,1.42,28.44,0.94,0.00,0.08,0.68,99.32,0.00,1.87,37.45,0.88,0.00,0.08,0.65,99.35,0.00,1.76,35.23,1.02,0.00,0.09,0.73,99.27,0.00,2.05,40.96,0.79,0.00,0.12,0.79,99.21,0.00,1.58,31.70
2025-07-23,11:08:55.287,1.79,98.20,0.00,1.79,98.20,0.00,1.49,0.01,0.02,1.55,98.44,0.00,2.98,59.51,1.53,0.01,0.03,4.81,95.17,0.00,3.07,61.35,1.54,0.01,0.04,3.89,96.11,0.00,3.08,61.68,0.69,0.00,0.24,1.36,98.64,0.00,1.38,27.68,0.96,0.00,0.08,0.61,99.38,0.00,1.92,38.31,0.89,0.00,0.08,0.63,99.35,0.00,1.78,35.66,1.01,0.00,0.09,0.68,99.32,0.00,2.01,40.22,0.80,0.00,0.12,0.80,99.20,0.00,1.61,32.12
2025-07-23,11:08:57.287,1.87,98.13,0.00,1.87,98.13,0.00,1.48,0.01,0.03,2.19,97.81,0.00,2.96,59.27,1.49,0.01,0.05,3.06,96.94,0.00,2.98,59.68,1.53,0.00,0.04,5.02,94.98,0.00,3.06,61.12,0.77,0.01,0.25,1.48,98.52,0.00,1.54,30.73,0.92,0.01,0.10,0.79,99.21,0.00,1.84,36.81,0.95,0.01,0.10,0.78,99.22,0.00,1.91,38.19,0.95,0.00,0.10,0.77,99.23,0.00,1.89,37.86,0.78,0.00,0.13,0.85,99.15,0.00,1.56,31.19
2025-07-23,11:08:59.287,1.62,98.38,0.00,1.62,98.38,0.00,1.55,0.00,0.01,3.75,96.25,0.00,3.09,61.85,1.29,0.02,0.07,1.43,98.56,0.00,2.58,51.58,1.50,0.01,0.04,3.07,96.93,0.00,2.99,59.80,0.79,0.01,0.25,1.48,98.52,0.00,1.58,31.63,0.89,0.01,0.09,0.75,99.25,0.00,1.78,35.58,0.97,0.00,0.11,0.78,99.21,0.00,1.94,38.70,1.02,0.00,0.11,0.84,99.16,0.00,2.04,40.74,0.78,0.00,0.14,0.87,99.13,0.00,1.56,31.27
2025-07-23,11:09:01.288,1.50,98.50,0.00,1.50,98.50,0.00,1.56,0.00,0.01,4.14,95.86,0.00,3.12,62.35,1.13,0.01,0.04,0.50,99.50,0.00,2.26,45.13,1.52,0.00,0.03,3.07,96.93,0.00,3.03,60.64,0.70,0.01,0.26,1.44,98.56,0.00,1.40,27.99,0.82,0.00,0.08,0.61,99.39,0.00,1.63,32.67,0.99,0.00,0.10,0.70,99.30,0.00,1.97,39.46,1.04,0.00,0.10,0.77,99.23,0.00,2.07,41.49,0.78,0.00,0.13,0.78,99.22,0.00,1.55,31.06
2025-07-23,11:09:03.287,1.51,98.49,0.00,1.51,98.49,0.00,1.55,0.00,0.01,4.09,95.89,0.00,3.10,62.04,0.87,0.01,0.05,0.52,99.48,0.00,1.74,34.75,1.50,0.01,0.04,3.08,96.92,0.00,3.00,59.92,0.70,0.00,0.24,1.39,98.61,0.00,1.40,28.06,0.87,0.00,0.08,0.67,99.32,0.00,1.75,35.00,0.98,0.00,0.10,0.70,99.30,0.00,1.97,39.31,1.03,0.00,0.10,0.78,99.22,0.00,2.06,41.15,0.79,0.00,0.13,0.83,99.17,0.00,1.57,31.44
2025-07-23,11:09:05.287,1.77,98.23,0.00,1.77,98.23,0.00,1.55,0.01,0.02,2.13,97.87,0.00,3.09,61.88,1.53,0.01,0.03,4.63,95.37,0.00,3.05,61.10,1.49,0.01,0.04,3.05,96.95,0.00,2.98,59.64,0.71,0.00,0.23,1.42,98.58,0.00,1.42,28.31,0.90,0.00,0.08,0.66,99.34,0.00,1.80,36.09,0.90,0.00,0.08,0.67,99.33,0.00,1.80,36.02,1.04,0.00,0.10,0.77,99.23,0.00,2.08,41.52,0.78,0.00,0.13,0.80,99.20,0.00,1.56,31.13
