System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-23,12:30:55.860,1.18,0.05,0.68,5.77,2.72,2.35,47.04,0.94,82.49,0.00,97.92,0.09
2025-07-23,12:30:57.859,1.11,0.05,1.16,3.87,1.74,2.21,44.26,2.16,97.84,0.00,100.00,0.00
2025-07-23,12:30:59.858,1.15,0.09,1.25,3.78,1.60,2.30,45.94,2.44,97.56,0.00,100.00,0.00
2025-07-23,12:31:01.862,1.14,0.05,1.13,5.25,2.43,2.29,45.71,1.79,98.21,0.00,100.00,0.00
2025-07-23,12:31:03.862,1.13,0.06,1.13,4.17,1.89,2.25,45.07,2.14,97.86,0.00,100.00,0.00
2025-07-23,12:31:05.859,1.12,0.06,1.16,3.85,1.69,2.24,44.80,2.34,97.66,0.00,100.00,0.00
2025-07-23,12:31:07.860,1.13,0.05,1.07,3.58,1.59,2.26,45.16,2.27,97.73,0.00,100.00,0.00
2025-07-23,12:31:09.860,1.08,0.04,1.15,3.50,1.59,2.17,43.30,2.16,97.84,0.00,100.00,0.00
2025-07-23,12:31:11.859,1.13,0.05,1.11,4.26,1.93,2.25,45.03,2.12,97.88,0.00,100.00,0.00
2025-07-23,12:31:13.860,1.09,0.06,1.18,3.67,1.62,2.17,43.42,2.26,97.74,0.00,100.00,0.00
2025-07-23,12:31:15.862,1.09,0.05,1.14,3.59,1.61,2.19,43.72,2.22,97.78,0.00,100.00,0.00
2025-07-23,12:31:17.859,1.09,0.06,1.13,3.60,1.60,2.18,43.63,2.13,97.87,0.00,100.00,0.00
2025-07-23,12:31:19.860,1.10,0.05,1.14,3.67,1.61,2.20,44.07,2.25,97.75,0.00,100.00,0.00
2025-07-23,12:31:21.861,1.13,0.06,1.18,3.63,1.62,2.26,45.27,2.35,97.65,0.00,100.00,0.00
2025-07-23,12:31:23.863,1.13,0.06,1.17,4.63,2.10,2.27,45.31,2.08,97.92,0.00,100.00,0.00
2025-07-23,12:31:25.864,1.17,0.06,1.10,6.40,3.03,2.35,46.99,1.46,98.53,0.00,100.00,0.00
2025-07-23,12:31:27.864,1.15,0.06,1.08,6.39,3.00,2.30,45.95,1.44,98.56,0.00,100.00,0.00
2025-07-23,12:31:29.864,1.15,0.06,1.05,6.05,2.84,2.30,46.02,1.53,98.47,0.00,100.00,0.00
2025-07-23,12:31:31.864,1.16,0.04,1.10,3.60,1.62,2.32,46.37,2.29,97.71,0.00,100.00,0.00
2025-07-23,12:31:33.865,1.14,0.06,1.07,4.51,2.08,2.27,45.46,2.11,97.89,0.00,100.00,0.00
2025-07-23,12:31:35.865,1.14,0.07,1.11,5.42,2.50,2.29,45.75,1.81,98.19,0.00,100.00,0.00
2025-07-23,12:31:37.865,1.18,0.04,1.12,3.62,1.63,2.37,47.39,2.32,97.68,0.00,100.00,0.00
2025-07-23,12:31:39.866,1.16,0.04,1.14,3.56,1.61,2.32,46.31,2.34,97.66,0.00,100.00,0.00
2025-07-23,12:31:41.867,1.14,0.05,1.18,3.66,1.62,2.29,45.78,2.36,97.64,0.00,100.00,0.00
2025-07-23,12:31:43.866,1.15,0.06,1.19,3.65,1.63,2.30,45.98,2.43,97.57,0.00,100.00,0.00
2025-07-23,12:31:45.867,1.13,0.06,1.18,3.86,1.74,2.27,45.39,2.38,97.62,0.00,100.00,0.00
2025-07-23,12:31:47.867,1.12,0.06,1.21,4.94,2.27,2.24,44.75,1.95,98.05,0.00,100.00,0.00
2025-07-23,12:31:49.867,1.16,0.04,1.07,3.52,1.60,2.32,46.45,2.24,97.76,0.00,100.00,0.00
2025-07-23,12:31:51.869,1.13,0.06,1.11,4.40,2.00,2.25,45.03,2.08,97.91,0.00,100.00,0.00
2025-07-23,12:31:53.869,1.17,0.04,1.05,3.55,1.61,2.34,46.74,2.26,97.74,0.00,100.00,0.00
2025-07-23,12:31:55.869,1.15,0.05,1.12,3.70,1.63,2.29,45.89,2.31,97.69,0.00,100.00,0.00
2025-07-23,12:31:57.870,1.18,0.04,1.06,4.80,2.23,2.35,47.04,1.98,98.02,0.00,100.00,0.00
2025-07-23,12:31:59.870,1.16,0.05,1.12,3.62,1.64,2.32,46.36,2.33,97.67,0.00,100.00,0.00
2025-07-23,12:32:01.870,1.16,0.05,1.15,3.70,1.64,2.33,46.50,2.37,97.63,0.00,100.00,0.00
2025-07-23,12:32:03.870,1.16,0.05,1.07,3.57,1.62,2.32,46.44,2.33,97.67,0.00,100.00,0.00
2025-07-23,12:32:05.871,1.10,0.07,1.18,3.82,1.69,2.20,44.02,2.42,97.58,0.00,100.00,0.00
2025-07-23,12:32:07.872,1.15,0.05,1.11,3.66,1.62,2.31,46.19,2.30,97.70,0.00,100.00,0.00
2025-07-23,12:32:09.872,1.08,0.06,1.20,3.99,1.81,2.16,43.19,2.15,97.85,0.00,100.00,0.00
2025-07-23,12:32:11.872,1.11,0.05,1.18,3.62,1.61,2.22,44.32,2.29,97.71,0.00,100.00,0.00
2025-07-23,12:32:13.872,1.12,0.06,1.21,3.70,1.65,2.24,44.81,2.46,97.54,0.00,100.00,0.00
2025-07-23,12:32:15.872,1.16,0.04,1.07,3.70,1.65,2.33,46.53,2.28,97.72,0.00,100.00,0.00
2025-07-23,12:32:17.872,1.29,0.07,1.14,4.04,1.80,2.58,51.53,2.33,97.67,0.00,100.00,0.00
2025-07-23,12:32:19.873,1.15,0.06,1.09,5.21,2.42,2.30,45.93,1.85,98.15,0.00,100.00,0.00
2025-07-23,12:32:21.873,1.13,0.05,1.10,4.07,1.78,2.25,45.06,2.17,97.83,0.00,100.00,0.00
2025-07-23,12:32:23.874,1.17,0.05,1.04,3.62,1.61,2.35,46.94,2.25,97.75,0.00,100.00,0.00
2025-07-23,12:32:25.875,1.15,0.05,1.11,3.58,1.62,2.31,46.18,2.27,97.73,0.00,100.00,0.00
2025-07-23,12:32:27.874,1.13,0.05,1.15,3.59,1.61,2.26,45.11,2.31,97.69,0.00,100.00,0.00
2025-07-23,12:32:29.874,1.14,0.04,1.18,3.57,1.61,2.27,45.48,2.37,97.63,0.00,100.00,0.00
2025-07-23,12:32:31.874,1.19,0.06,1.05,4.51,2.07,2.37,47.43,2.00,98.00,0.00,100.00,0.00
2025-07-23,12:32:33.874,1.17,0.05,1.09,3.98,1.79,2.33,46.68,2.18,97.82,0.00,100.00,0.00
2025-07-23,12:32:35.874,1.09,0.07,1.24,3.75,1.65,2.17,43.48,2.41,97.59,0.00,100.00,0.00
2025-07-23,12:32:37.874,1.16,0.05,1.12,3.63,1.63,2.32,46.39,2.24,97.76,0.00,100.00,0.00
2025-07-23,12:32:39.874,1.15,0.05,1.16,3.53,1.60,2.31,46.18,2.45,97.55,0.00,100.00,0.00
2025-07-23,12:32:41.874,1.14,0.06,1.13,4.60,2.06,2.29,45.71,2.09,97.91,0.00,100.00,0.00
2025-07-23,12:32:43.874,1.16,0.06,1.11,5.71,2.66,2.31,46.28,1.72,98.28,0.00,100.00,0.00
2025-07-23,12:32:45.874,1.10,0.07,1.20,3.67,1.63,2.21,44.18,2.38,97.62,0.00,100.00,0.00
2025-07-23,12:32:47.874,1.10,0.04,1.08,3.53,1.60,2.19,43.88,2.16,97.84,0.00,100.00,0.00
2025-07-23,12:32:49.875,1.12,0.05,1.15,3.55,1.61,2.24,44.75,2.29,97.71,0.00,100.00,0.00
2025-07-23,12:32:51.874,1.17,0.05,1.14,3.59,1.61,2.34,46.88,2.35,97.65,0.00,100.00,0.00
2025-07-23,12:32:53.874,1.16,0.06,1.11,3.67,1.66,2.32,46.39,2.34,97.66,0.00,100.00,0.00
2025-07-23,12:32:55.875,1.18,0.05,1.10,5.43,2.53,2.36,47.29,1.80,98.20,0.00,100.00,0.00
2025-07-23,12:32:57.876,1.29,0.05,1.08,3.91,1.76,2.59,51.78,2.28,97.72,0.00,100.00,0.00
2025-07-23,12:32:59.875,1.13,0.06,1.10,3.94,1.68,2.27,45.40,2.29,97.71,0.00,100.00,0.00
2025-07-23,12:33:01.875,1.09,0.05,1.11,3.56,1.60,2.18,43.66,2.26,97.74,0.00,100.00,0.00
2025-07-23,12:33:03.876,1.13,0.06,1.19,3.60,1.61,2.26,45.17,2.42,97.58,0.00,100.00,0.00
2025-07-23,12:33:05.875,1.10,0.07,1.20,5.82,2.69,2.20,43.91,1.77,98.23,0.00,100.00,0.00
2025-07-23,12:33:07.876,1.17,0.06,1.16,4.10,1.78,2.33,46.65,2.30,97.70,0.00,100.00,0.00
2025-07-23,12:33:09.875,1.17,0.04,1.06,3.55,1.60,2.34,46.73,2.27,97.73,0.00,100.00,0.00
2025-07-23,12:33:11.875,1.17,0.05,1.04,3.56,1.60,2.34,46.77,2.27,97.73,0.00,100.00,0.00
2025-07-23,12:33:13.876,1.13,0.05,1.11,3.67,1.63,2.26,45.29,2.28,97.72,0.00,100.00,0.00
2025-07-23,12:33:15.876,1.11,0.06,1.16,3.63,1.63,2.21,44.23,2.32,97.68,0.00,100.00,0.00
2025-07-23,12:33:17.876,1.10,0.05,1.07,5.08,2.35,2.20,44.09,1.71,98.29,0.00,100.00,0.00
2025-07-23,12:33:19.876,1.10,0.05,1.12,3.92,1.77,2.21,44.19,2.01,97.99,0.00,100.00,0.00
2025-07-23,12:33:21.877,1.08,0.05,1.14,3.63,1.61,2.17,43.40,2.27,97.73,0.00,100.00,0.00
2025-07-23,12:33:23.878,1.09,0.05,1.14,3.59,1.61,2.18,43.65,2.23,97.77,0.00,100.00,0.00
2025-07-23,12:33:25.877,1.14,0.05,1.15,3.58,1.62,2.28,45.58,2.32,97.68,0.00,100.00,0.00
2025-07-23,12:33:27.878,1.14,0.05,1.16,3.96,1.80,2.29,45.78,2.33,97.67,0.00,100.00,0.00
2025-07-23,12:33:29.879,1.17,0.04,1.15,3.61,1.63,2.33,46.66,2.32,97.68,0.00,100.00,0.00
2025-07-23,12:33:31.878,1.17,0.05,1.13,3.67,1.64,2.34,46.87,2.39,97.61,0.00,100.00,0.00
2025-07-23,12:33:33.878,1.18,0.05,1.05,3.65,1.63,2.36,47.23,2.32,97.68,0.00,100.00,0.00
2025-07-23,12:33:35.879,1.15,0.06,1.16,3.83,1.70,2.29,45.83,2.42,97.58,0.00,100.00,0.00
2025-07-23,12:33:37.879,1.28,0.07,1.14,6.19,2.85,2.56,51.22,1.72,98.27,0.00,100.00,0.00
2025-07-23,12:33:39.880,1.17,0.06,1.15,5.80,2.73,2.33,46.65,1.77,98.23,0.00,100.00,0.00
2025-07-23,12:33:41.880,1.19,0.06,1.08,6.04,2.80,2.38,47.52,1.62,98.37,0.00,100.00,0.00
2025-07-23,12:33:43.880,1.16,0.07,1.17,4.13,1.84,2.32,46.36,2.33,97.67,0.00,100.00,0.00
2025-07-23,12:33:45.880,1.16,0.05,1.17,3.73,1.66,2.32,46.35,2.38,97.62,0.00,100.00,0.00
2025-07-23,12:33:47.884,1.17,0.05,1.11,4.15,1.90,2.33,46.61,2.15,97.85,0.00,100.00,0.00
2025-07-23,12:33:49.882,1.15,0.06,1.18,4.38,2.01,2.30,45.96,2.22,97.78,0.00,100.00,0.00
2025-07-23,12:33:51.881,1.16,0.05,1.13,4.01,1.82,2.33,46.56,2.25,97.75,0.00,100.00,0.00
2025-07-23,12:33:53.881,1.21,0.06,1.07,4.90,2.24,2.43,48.51,1.97,98.02,0.00,100.00,0.00
2025-07-23,12:33:55.884,1.73,0.06,0.69,7.01,3.49,3.46,69.12,1.58,91.23,0.00,100.00,0.00
