System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-21,08:35:09.970,2.37,0.03,0.26,2.47,1.80,4.74,94.87,0.41,84.40,0.00,98.66,0.00
2025-07-21,08:35:11.970,1.49,0.06,0.51,3.68,2.61,2.98,59.57,0.56,99.44,0.00,100.00,0.00
2025-07-21,08:35:13.970,1.74,0.06,0.50,3.15,2.40,3.48,69.63,0.58,99.42,0.00,100.00,0.00
2025-07-21,08:35:15.971,1.72,0.06,0.49,3.44,2.47,3.44,68.78,0.59,99.41,0.00,100.00,0.00
2025-07-21,08:35:17.971,1.43,0.06,0.49,3.34,2.46,2.85,57.01,0.52,99.48,0.00,100.00,0.00
2025-07-21,08:35:19.971,1.39,0.07,0.51,3.59,2.52,2.78,55.67,0.55,99.45,0.00,100.00,0.00
2025-07-21,08:35:21.971,1.27,0.07,0.49,3.88,2.64,2.54,50.87,0.51,99.49,0.00,100.00,0.00
2025-07-21,08:35:23.972,1.23,0.08,0.50,3.86,2.65,2.45,49.02,0.50,99.50,0.00,100.00,0.00
2025-07-21,08:35:25.972,1.50,0.06,0.45,3.40,2.43,3.00,59.91,0.53,99.47,0.00,100.00,0.00
2025-07-21,08:35:27.972,1.73,0.05,0.46,3.42,2.47,3.47,69.35,0.57,99.43,0.00,100.00,0.00
2025-07-21,08:35:29.972,1.75,0.05,0.45,3.51,2.49,3.49,69.90,0.55,99.45,0.00,100.00,0.00
2025-07-21,08:35:31.972,1.67,0.07,0.51,3.56,2.53,3.34,66.86,0.63,99.37,0.00,100.00,0.00
2025-07-21,08:35:33.973,1.70,0.06,0.49,3.54,2.50,3.40,67.91,0.60,99.40,0.00,100.00,0.00
2025-07-21,08:35:35.972,1.87,0.05,0.43,3.41,2.49,3.73,74.67,0.54,99.46,0.00,100.00,0.00
2025-07-21,08:35:37.972,1.74,0.05,0.48,3.37,2.46,3.47,69.40,0.56,99.44,0.00,100.00,0.00
2025-07-21,08:35:39.972,1.86,0.05,0.40,3.40,2.45,3.73,74.55,0.52,99.48,0.00,100.00,0.00
2025-07-21,08:35:41.972,1.85,0.06,0.44,3.49,2.48,3.69,73.84,0.56,99.44,0.00,100.00,0.00
2025-07-21,08:35:43.973,1.82,0.05,0.45,3.31,2.50,3.64,72.85,0.51,99.49,0.00,100.00,0.00
2025-07-21,08:35:45.973,1.74,0.05,0.47,3.45,2.50,3.49,69.79,0.53,99.47,0.00,100.00,0.00
2025-07-21,08:35:47.973,1.81,0.05,0.46,3.39,2.46,3.62,72.45,0.58,99.42,0.00,100.00,0.00
2025-07-21,08:35:49.974,1.52,0.08,0.54,3.91,2.68,3.04,60.90,0.63,99.37,0.00,100.00,0.00
2025-07-21,08:35:51.974,1.73,0.06,0.51,3.46,2.52,3.46,69.23,0.60,99.40,0.00,100.00,0.00
2025-07-21,08:35:53.974,1.57,0.06,0.56,3.88,2.73,3.13,62.64,0.62,99.38,0.00,100.00,0.00
2025-07-21,08:35:55.974,1.63,0.06,0.52,3.41,2.50,3.26,65.20,0.63,99.37,0.00,100.00,0.00
2025-07-21,08:35:57.974,1.77,0.06,0.49,3.35,2.49,3.55,70.97,0.57,99.43,0.00,100.00,0.00
