System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-08,00:59:04.720,3.09,90.27,0.00,3.09,90.27,0.00,0.77,0.10,0.49,2.15,91.54,0.00,1.54,30.75,0.83,0.10,0.55,2.31,91.47,0.00,1.66,33.21,0.79,0.09,0.62,2.33,90.75,0.00,1.59,31.75,1.92,0.03,0.34,6.90,86.01,0.00,3.83,76.61,0.84,0.03,0.39,1.68,92.00,0.00,1.68,33.68,0.84,0.03,0.42,1.78,91.99,0.00,1.68,33.55,0.87,0.03,1.03,3.63,89.46,0.00,1.74,34.72,0.69,0.05,1.58,3.96,88.95,0.00,1.37,27.43
2025-07-08,00:59:09.720,3.74,96.26,0.00,3.74,96.26,0.00,0.86,0.10,0.91,3.67,96.33,0.00,1.72,34.42,0.91,0.09,0.87,3.66,96.34,0.00,1.81,36.29,0.74,0.10,1.42,4.15,95.85,0.00,1.48,29.53,1.97,0.03,0.23,6.57,93.43,0.00,3.95,78.98,0.81,0.02,0.28,1.24,98.76,0.00,1.61,32.24,0.79,0.02,0.25,1.16,98.84,0.00,1.58,31.58,0.79,0.04,1.57,4.71,95.29,0.00,1.58,31.64,0.79,0.05,1.92,4.77,95.23,0.00,1.58,31.65
2025-07-08,00:59:14.719,3.22,96.78,0.00,3.22,96.78,0.00,0.86,0.08,0.43,1.87,98.13,0.00,1.71,34.22,0.83,0.09,0.45,1.80,98.20,0.00,1.65,33.03,0.70,0.07,0.47,1.70,98.30,0.00,1.39,27.83,1.89,0.02,0.44,7.07,92.93,0.00,3.78,75.59,0.84,0.03,0.55,2.12,97.88,0.00,1.69,33.78,0.85,0.03,0.57,2.18,97.82,0.00,1.70,33.93,0.90,0.05,1.26,4.36,95.64,0.00,1.80,36.01,0.69,0.04,1.90,4.64,95.36,0.00,1.38,27.60
2025-07-08,00:59:19.720,3.92,96.08,0.00,3.92,96.08,0.00,0.89,0.11,1.13,4.46,95.54,0.00,1.78,35.55,0.94,0.12,1.11,4.50,95.50,0.00,1.88,37.70,0.75,0.10,1.44,4.46,95.54,0.00,1.51,30.16,2.00,0.03,0.19,6.42,93.58,0.00,3.99,79.81,0.74,0.03,0.21,0.90,99.10,0.00,1.47,29.45,0.77,0.02,0.18,0.83,99.17,0.00,1.54,30.88,0.79,0.05,1.63,4.98,95.02,0.00,1.59,31.75,0.81,0.05,1.92,4.80,95.20,0.00,1.63,32.53
2025-07-08,00:59:24.720,3.65,96.35,0.00,3.65,96.35,0.00,0.92,0.09,0.96,3.43,96.57,0.00,1.83,36.62,0.85,0.09,0.88,3.85,96.15,0.00,1.70,33.93,0.74,0.09,1.25,3.68,96.32,0.00,1.47,29.42,1.89,0.03,0.27,4.66,95.34,0.00,3.78,75.64,1.76,0.02,0.27,3.16,96.84,0.00,3.52,70.39,0.80,0.02,0.25,1.09,98.91,0.00,1.60,31.97,0.80,0.04,1.49,4.65,95.35,0.00,1.60,32.03,0.82,0.04,1.69,4.68,95.32,0.00,1.63,32.62
2025-07-08,00:59:29.717,3.75,96.25,0.00,3.75,96.25,0.00,0.80,0.11,1.34,3.75,96.24,0.00,1.61,32.20,0.91,0.10,0.92,3.80,96.20,0.00,1.83,36.55,0.74,0.11,1.34,3.99,96.01,0.00,1.47,29.49,0.69,0.04,0.38,1.29,98.71,0.00,1.38,27.65,2.00,0.03,0.19,6.60,93.40,0.00,4.01,80.16,0.85,0.04,0.27,1.19,98.81,0.00,1.69,33.86,0.79,0.04,1.51,4.69,95.31,0.00,1.57,31.41,0.86,0.05,1.39,4.73,95.27,0.00,1.71,34.27
2025-07-08,00:59:34.720,3.48,96.52,0.00,3.48,96.52,0.00,0.75,0.11,0.93,2.63,97.37,0.00,1.50,30.08,0.87,0.09,0.63,2.61,97.39,0.00,1.73,34.67,0.78,0.10,0.87,2.78,97.22,0.00,1.56,31.29,0.68,0.03,0.68,1.87,98.13,0.00,1.37,27.40,1.98,0.03,0.31,7.02,92.98,0.00,3.95,79.02,0.87,0.04,0.46,1.79,98.21,0.00,1.75,34.96,0.85,0.04,1.38,4.47,95.53,0.00,1.71,34.14,0.75,0.04,1.55,4.62,95.38,0.00,1.50,29.94
2025-07-08,00:59:39.719,3.50,96.50,0.00,3.50,96.50,0.00,0.77,0.10,1.09,3.03,96.97,0.00,1.55,30.94,0.89,0.11,0.80,3.20,96.80,0.00,1.78,35.64,0.78,0.10,0.91,2.99,97.01,0.00,1.57,31.37,0.66,0.02,0.46,1.34,98.66,0.00,1.32,26.46,1.99,0.02,0.27,6.80,93.20,0.00,3.99,79.80,0.84,0.02,0.40,1.54,98.46,0.00,1.69,33.78,0.83,0.04,1.37,4.49,95.51,0.00,1.66,33.20,0.80,0.04,1.42,4.59,95.41,0.00,1.61,32.17
2025-07-08,00:59:44.719,3.51,96.49,0.00,3.51,96.49,0.00,0.79,0.12,0.88,2.63,97.37,0.00,1.58,31.65,0.84,0.09,0.78,3.37,96.63,0.00,1.67,33.47,0.74,0.10,0.85,2.75,97.25,0.00,1.49,29.76,0.69,0.03,0.60,1.71,98.29,0.00,1.38,27.64,1.98,0.04,0.28,6.90,93.10,0.00,3.97,79.34,0.81,0.02,0.40,1.72,98.28,0.00,1.62,32.49,0.85,0.04,1.35,4.40,95.60,0.00,1.69,33.81,0.76,0.04,1.51,4.60,95.40,0.00,1.52,30.33
2025-07-08,00:59:49.719,3.43,96.57,0.00,3.43,96.57,0.00,0.74,0.12,0.82,2.52,97.46,0.00,1.48,29.63,0.91,0.09,0.78,3.07,96.93,0.00,1.81,36.29,0.75,0.10,0.83,2.70,97.30,0.00,1.49,29.86,0.68,0.02,0.58,1.71,98.29,0.00,1.36,27.10,1.99,0.03,0.27,6.92,93.06,0.00,3.97,79.48,0.81,0.02,0.41,1.65,98.35,0.00,1.62,32.50,0.85,0.05,1.33,4.34,95.66,0.00,1.69,33.84,0.75,0.04,1.47,4.53,95.47,0.00,1.51,30.19
