System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-08,06:51:21.940,3.89,89.06,0.00,3.89,89.06,0.00,0.67,0.10,0.63,1.46,95.27,0.00,1.35,26.96,0.85,0.13,0.71,2.97,89.87,0.00,1.69,33.88,0.70,0.07,0.42,1.45,91.17,0.00,1.41,28.17,0.60,0.06,0.56,1.75,87.84,0.00,1.20,24.03,3.85,0.02,0.53,13.62,83.11,0.00,7.70,153.90,0.74,0.09,0.78,3.19,89.65,0.00,1.49,29.71,0.72,0.14,1.28,4.47,88.16,0.00,1.44,28.87,0.66,0.06,0.65,2.17,87.41,0.00,1.32,26.31
2025-07-08,06:51:26.941,4.31,95.69,0.00,4.31,95.69,0.00,0.59,0.12,1.09,2.29,97.71,0.00,1.19,23.79,0.80,0.18,1.17,5.02,94.98,0.00,1.60,31.96,0.70,0.10,0.77,2.32,97.68,0.00,1.40,28.08,0.62,0.05,0.27,1.00,99.00,0.00,1.23,24.65,3.83,0.02,0.48,13.39,86.61,0.00,7.67,153.38,0.71,0.07,0.47,2.13,97.87,0.00,1.43,28.57,0.68,0.15,1.75,5.71,94.29,0.00,1.36,27.21,0.78,0.08,0.70,2.61,97.39,0.00,1.56,31.18
2025-07-08,06:51:31.941,4.20,95.80,0.00,4.20,95.80,0.00,0.62,0.11,0.75,1.59,98.41,0.00,1.23,24.65,0.85,0.15,0.87,3.58,96.42,0.00,1.70,34.06,0.75,0.09,0.52,1.73,98.27,0.00,1.49,29.88,0.66,0.06,0.54,1.74,98.26,0.00,1.32,26.38,3.84,0.02,0.56,13.65,86.35,0.00,7.67,153.46,0.77,0.10,0.78,3.20,96.80,0.00,1.54,30.75,0.73,0.16,1.58,5.48,94.52,0.00,1.46,29.25,0.72,0.07,0.75,2.60,97.40,0.00,1.43,28.61
2025-07-08,06:51:36.943,4.42,95.57,0.00,4.42,95.57,0.00,0.57,0.09,0.59,1.30,98.65,0.00,1.14,22.85,0.81,0.14,0.67,2.69,97.31,0.00,1.63,32.56,0.75,0.06,0.38,1.30,98.70,0.00,1.51,30.13,0.66,0.08,0.71,2.28,97.72,0.00,1.31,26.28,3.70,0.05,0.60,11.66,88.29,0.00,7.41,148.12,2.82,0.12,1.05,8.38,91.62,0.00,5.64,112.80,0.74,0.15,1.50,5.19,94.81,0.00,1.49,29.79,0.65,0.07,0.78,2.57,97.43,0.00,1.31,26.15
2025-07-08,06:51:41.941,5.54,94.43,0.00,5.54,94.43,0.00,0.87,0.08,0.53,2.17,97.83,0.00,1.74,34.86,0.62,0.24,2.04,4.23,95.69,0.00,1.24,24.74,0.73,0.08,0.60,1.95,98.05,0.00,1.46,29.23,0.63,0.05,0.36,1.28,98.72,0.00,1.26,25.21,0.71,0.04,0.28,1.19,98.81,0.00,1.42,28.34,3.93,0.05,0.98,25.34,74.57,0.00,7.85,157.05,0.70,0.16,1.64,5.62,94.38,0.00,1.39,27.83,0.74,0.07,0.70,2.58,97.42,0.00,1.48,29.52
2025-07-08,06:51:46.942,5.46,94.54,0.00,5.46,94.54,0.00,0.77,0.08,0.32,1.35,98.65,0.00,1.54,30.72,0.54,0.19,1.39,3.20,96.77,0.00,1.07,21.42,0.70,0.08,0.44,1.46,98.54,0.00,1.40,27.92,0.63,0.06,0.57,1.90,98.10,0.00,1.26,25.13,0.77,0.05,0.44,1.84,98.16,0.00,1.54,30.87,3.89,0.05,1.14,25.99,73.99,0.00,7.78,155.58,0.74,0.16,1.51,5.29,94.71,0.00,1.48,29.55,0.67,0.08,0.76,2.63,97.37,0.00,1.33,26.62
2025-07-08,06:51:51.941,5.63,94.36,0.00,5.63,94.36,0.00,0.84,0.08,0.38,1.64,98.36,0.00,1.68,33.65,0.63,0.23,1.70,3.58,96.40,0.00,1.26,25.22,0.71,0.09,0.51,1.73,98.27,0.00,1.43,28.56,0.64,0.06,0.59,1.86,98.14,0.00,1.28,25.54,0.77,0.05,0.41,1.68,98.32,0.00,1.53,30.68,3.93,0.05,1.08,26.67,73.31,0.00,7.85,157.09,0.72,0.16,1.58,5.33,94.67,0.00,1.44,28.81,0.67,0.08,0.79,2.59,97.41,0.00,1.35,26.99
2025-07-08,06:51:56.942,5.67,94.33,0.00,5.67,94.33,0.00,0.80,0.09,0.44,1.80,98.20,0.00,1.61,32.18,0.59,0.24,1.69,3.45,96.52,0.00,1.17,23.47,0.74,0.08,0.48,1.64,98.36,0.00,1.48,29.62,0.66,0.07,0.64,1.96,98.04,0.00,1.31,26.26,0.75,0.05,0.46,1.74,98.26,0.00,1.50,30.02,3.91,0.06,1.13,26.80,73.17,0.00,7.82,156.37,0.73,0.16,1.55,5.31,94.69,0.00,1.45,29.09,0.68,0.08,0.78,2.63,97.37,0.00,1.36,27.16
2025-07-08,06:52:01.942,5.51,94.49,0.00,5.51,94.49,0.00,0.83,0.07,0.29,1.19,98.81,0.00,1.66,33.22,0.59,0.19,0.97,2.22,97.78,0.00,1.18,23.52,0.92,0.07,0.27,1.14,98.86,0.00,1.83,36.61,0.62,0.07,0.73,2.26,97.74,0.00,1.24,24.73,0.78,0.06,0.56,2.22,97.78,0.00,1.56,31.28,3.92,0.05,1.20,27.09,72.91,0.00,7.85,156.99,0.81,0.15,1.41,5.29,94.71,0.00,1.62,32.34,0.64,0.07,0.80,2.68,97.32,0.00,1.29,25.72
2025-07-08,06:52:06.941,5.79,94.20,0.00,5.79,94.20,0.00,0.80,0.09,0.49,1.95,98.05,0.00,1.60,31.96,0.59,0.30,2.07,4.21,95.76,0.00,1.18,23.51,0.82,0.13,0.68,2.23,97.77,0.00,1.64,32.71,0.61,0.06,0.48,1.63,98.37,0.00,1.22,24.42,0.71,0.05,0.36,1.47,98.53,0.00,1.43,28.55,3.90,0.06,1.06,26.65,73.32,0.00,7.80,155.92,0.70,0.16,1.65,5.53,94.47,0.00,1.40,28.00,0.71,0.08,0.76,2.68,97.32,0.00,1.42,28.41
