System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-08,01:48:08.673,1.95,1.98,10.94,11.99,14.25,3.90,78.00,10.98,83.74,0.00,99.80,0.00
2025-07-08,01:48:13.673,1.76,2.35,12.42,12.63,14.15,3.52,70.41,11.92,88.07,0.00,100.00,0.00
2025-07-08,01:48:18.673,1.82,2.22,12.33,12.55,14.40,3.63,72.62,11.69,88.29,0.00,100.00,0.00
2025-07-08,01:48:23.673,1.74,2.46,12.84,12.99,14.37,3.47,69.41,12.25,87.75,0.00,100.00,0.00
2025-07-08,01:48:28.674,1.83,2.17,12.23,12.63,14.55,3.65,73.06,11.49,88.51,0.00,100.00,0.00
2025-07-08,01:48:33.674,1.79,2.21,12.56,12.57,14.29,3.58,71.66,11.77,88.23,0.00,100.00,0.00
2025-07-08,01:48:38.674,1.87,2.06,12.00,12.33,14.35,3.75,74.96,11.30,88.68,0.00,100.00,0.00
2025-07-08,01:48:43.674,1.84,2.20,12.37,12.52,14.23,3.68,73.59,11.57,88.42,0.00,100.00,0.00
2025-07-08,01:48:48.674,1.89,2.03,11.13,12.64,14.83,3.78,75.61,11.26,88.73,0.00,100.00,0.00
2025-07-08,01:48:53.674,1.75,2.30,12.63,13.06,15.04,3.49,69.90,11.96,88.04,0.00,100.00,0.00
2025-07-08,01:48:58.675,1.75,2.26,12.14,12.95,14.79,3.50,69.90,12.06,87.93,0.00,100.00,0.00
2025-07-08,01:49:03.675,2.00,1.84,9.89,12.32,14.82,3.99,79.80,10.79,89.19,0.00,100.00,0.00
2025-07-08,01:49:08.675,1.87,2.12,11.31,12.67,14.75,3.74,74.83,11.38,88.60,0.00,100.00,0.00
2025-07-08,01:49:13.675,1.97,2.12,11.08,12.42,14.35,3.94,78.77,11.07,88.92,0.00,100.00,0.00
2025-07-08,01:49:18.675,1.74,2.40,12.80,12.72,14.21,3.48,69.52,12.08,87.92,0.00,100.00,0.00
2025-07-08,01:49:23.675,1.79,2.43,12.78,12.83,14.34,3.59,71.76,11.87,88.13,0.00,100.00,0.00
2025-07-08,01:49:28.675,1.85,2.21,11.53,12.46,14.19,3.70,74.07,11.56,88.43,0.00,100.00,0.00
2025-07-08,01:49:33.675,1.76,2.38,12.57,12.83,14.41,3.52,70.42,12.03,87.97,0.00,100.00,0.00
2025-07-08,01:49:38.675,1.87,2.14,11.81,12.80,14.91,3.73,74.69,11.39,88.61,0.00,100.00,0.00
2025-07-08,01:49:43.675,1.79,2.18,12.10,12.79,14.64,3.58,71.58,11.83,88.16,0.00,100.00,0.00
2025-07-08,01:49:48.675,1.88,2.09,11.53,12.71,14.82,3.75,75.05,11.35,88.64,0.00,100.00,0.00
2025-07-08,01:49:53.675,1.82,2.15,11.99,12.69,14.75,3.65,72.91,11.64,88.35,0.00,100.00,0.00
2025-07-08,01:49:58.675,1.70,2.41,12.44,13.18,14.79,3.41,68.15,12.28,87.72,0.00,100.00,0.00
2025-07-08,01:50:03.675,1.65,2.45,12.53,13.25,14.81,3.30,66.01,12.39,87.61,0.00,100.00,0.00
2025-07-08,01:50:08.676,1.77,2.12,11.27,12.85,14.90,3.53,70.66,11.65,88.34,0.00,100.00,0.00
2025-07-08,01:50:13.676,1.76,2.26,12.85,12.66,14.56,3.52,70.32,11.66,88.34,0.00,100.00,0.00
2025-07-08,01:50:18.677,1.80,2.06,11.78,12.42,14.56,3.61,72.15,11.31,88.68,0.00,100.00,0.00
2025-07-08,01:50:23.677,1.79,2.15,12.42,12.56,14.54,3.58,71.62,11.40,88.59,0.00,100.00,0.00
2025-07-08,01:50:28.677,1.76,2.21,12.36,12.75,14.74,3.51,70.20,11.48,88.52,0.00,100.00,0.00
2025-07-08,01:50:33.677,1.78,2.22,11.98,12.72,14.59,3.55,71.01,11.48,88.51,0.00,100.00,0.00
2025-07-08,01:50:38.676,1.80,2.16,12.49,12.69,14.63,3.60,71.98,11.33,88.66,0.00,100.00,0.00
2025-07-08,01:50:43.677,1.73,2.36,12.41,12.88,14.41,3.46,69.19,11.72,88.27,0.00,100.00,0.00
2025-07-08,01:50:48.677,1.78,2.09,11.98,12.61,14.64,3.56,71.21,11.35,88.64,0.00,100.00,0.00
2025-07-08,01:50:53.677,1.67,2.33,12.20,13.08,14.77,3.35,66.95,11.94,88.06,0.00,100.00,0.00
2025-07-08,01:50:58.677,1.74,2.22,12.19,12.74,14.56,3.47,69.47,11.81,88.18,0.00,100.00,0.00
2025-07-08,01:51:03.677,1.86,2.04,11.62,12.44,14.51,3.72,74.31,11.36,88.63,0.00,100.00,0.00
2025-07-08,01:51:08.678,2.41,1.36,6.41,11.24,14.61,4.82,96.39,10.07,71.64,0.00,98.98,0.05
