System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-08,07:03:46.046,1.18,2.18,8.47,26.68,29.62,2.35,47.05,15.39,81.36,0.00,100.00,0.00
2025-07-08,07:03:51.045,1.04,2.61,10.01,27.75,29.64,2.08,41.59,16.31,83.67,0.00,100.00,0.00
2025-07-08,07:03:56.046,1.07,2.58,9.92,27.37,29.39,2.15,42.99,16.28,83.71,0.00,100.00,0.00
2025-07-08,07:04:01.045,1.06,2.51,9.81,27.16,29.16,2.11,42.26,16.18,83.81,0.00,100.00,0.00
2025-07-08,07:04:06.046,1.08,2.44,9.58,27.12,29.36,2.16,43.24,15.99,84.01,0.00,100.00,0.00
2025-07-08,07:04:11.045,1.06,2.57,9.83,27.62,29.45,2.11,42.20,16.30,83.69,0.00,100.00,0.00
2025-07-08,07:04:16.046,1.07,2.60,9.94,27.31,29.13,2.13,42.65,16.43,83.57,0.00,100.00,0.00
2025-07-08,07:04:21.046,1.06,2.55,9.81,27.56,29.40,2.13,42.60,16.17,83.82,0.00,100.00,0.00
2025-07-08,07:04:26.046,1.07,2.55,9.87,27.55,29.54,2.14,42.76,16.27,83.72,0.00,100.00,0.00
2025-07-08,07:04:31.047,1.04,2.58,9.94,27.37,28.95,2.08,41.64,16.56,83.44,0.00,100.00,0.00
2025-07-08,07:04:36.046,1.06,2.45,9.73,27.46,29.59,2.13,42.54,16.12,83.86,0.00,100.00,0.00
2025-07-08,07:04:41.047,1.05,2.58,10.08,27.54,29.18,2.10,42.02,16.57,83.42,0.00,100.00,0.00
2025-07-08,07:04:46.047,1.08,2.53,9.95,27.19,29.12,2.15,43.05,16.30,83.70,0.00,100.00,0.00
2025-07-08,07:04:51.047,1.07,2.53,9.80,27.65,29.67,2.14,42.77,16.08,83.91,0.00,100.00,0.00
2025-07-08,07:04:56.048,1.09,2.43,9.59,27.35,29.92,2.19,43.74,15.85,84.13,0.00,100.00,0.00
2025-07-08,07:05:01.047,1.09,2.49,9.59,27.54,29.76,2.18,43.63,16.02,83.96,0.00,100.00,0.00
2025-07-08,07:05:06.048,1.02,2.52,10.03,27.15,28.98,2.04,40.81,16.41,83.58,0.00,100.00,0.00
2025-07-08,07:05:11.048,1.09,2.54,9.83,27.33,29.06,2.18,43.64,16.50,83.49,0.00,100.00,0.00
2025-07-08,07:05:16.049,1.08,2.60,9.94,27.71,29.65,2.16,43.17,16.17,83.81,0.00,100.00,0.00
2025-07-08,07:05:21.049,1.13,2.50,9.62,27.76,30.03,2.25,45.06,16.14,83.85,0.00,100.00,0.00
2025-07-08,07:05:26.049,1.05,2.55,9.87,27.42,29.46,2.10,42.05,16.18,83.81,0.00,100.00,0.00
2025-07-08,07:05:31.048,1.07,2.58,9.79,27.74,29.87,2.15,42.97,16.23,83.77,0.00,100.00,0.00
2025-07-08,07:05:36.048,1.07,2.58,9.90,27.70,29.80,2.15,42.94,16.20,83.79,0.00,100.00,0.00
2025-07-08,07:05:41.049,1.05,2.61,9.97,27.42,29.53,2.10,42.07,16.18,83.81,0.00,100.00,0.00
2025-07-08,07:05:46.048,1.10,2.57,9.76,27.93,30.07,2.20,43.96,16.29,83.71,0.00,100.00,0.00
2025-07-08,07:05:51.049,1.00,2.53,9.88,27.14,29.02,2.00,40.04,16.16,83.84,0.00,100.00,0.00
2025-07-08,07:05:56.049,1.04,2.55,9.79,27.58,29.51,2.09,41.74,16.37,83.63,0.00,100.00,0.00
2025-07-08,07:06:01.050,1.11,2.59,9.72,28.16,30.43,2.23,44.59,16.11,83.87,0.00,100.00,0.00
2025-07-08,07:06:06.050,1.10,2.55,9.83,27.99,30.19,2.19,43.82,16.28,83.71,0.00,100.00,0.00
2025-07-08,07:06:11.049,1.08,2.59,9.88,27.86,29.88,2.15,43.04,16.12,83.86,0.00,100.00,0.00
2025-07-08,07:06:16.050,1.05,2.68,10.03,27.72,29.72,2.10,41.90,16.32,83.67,0.00,100.00,0.00
2025-07-08,07:06:21.049,1.05,2.67,10.02,27.65,29.58,2.11,42.12,16.40,83.59,0.00,100.00,0.00
2025-07-08,07:06:26.050,1.10,2.51,9.68,27.45,29.83,2.20,43.93,16.12,83.87,0.00,100.00,0.00
2025-07-08,07:06:31.049,1.07,2.73,9.99,28.33,30.33,2.14,42.86,16.24,83.74,0.00,100.00,0.00
2025-07-08,07:06:36.050,1.09,2.74,10.08,28.04,30.23,2.18,43.61,16.32,83.67,0.00,100.00,0.00
2025-07-08,07:06:41.050,1.13,2.69,9.91,28.23,30.66,2.27,45.36,16.28,83.71,0.00,100.00,0.00
2025-07-08,07:06:46.050,1.62,1.33,4.98,24.83,30.74,3.24,64.86,13.68,76.54,0.00,100.00,0.00
