System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-08,17:45:41.719,1.49,91.41,0.00,1.49,91.41,0.00,0.99,0.06,0.78,3.04,91.37,0.00,1.97,39.50,1.01,0.03,0.36,1.48,92.02,0.00,2.01,40.21,0.74,0.06,1.05,3.02,90.47,0.00,1.48,29.60,0.62,0.03,0.12,0.62,89.61,0.00,1.25,24.93,0.80,0.03,0.12,0.61,93.80,0.00,1.60,32.00,0.71,0.02,0.08,0.54,92.96,0.00,1.42,28.39,0.73,0.01,0.45,1.36,92.13,0.00,1.45,29.09,0.98,0.01,0.33,1.29,88.95,0.00,1.96,39.13
2025-07-08,17:45:46.720,1.54,98.46,0.00,1.54,98.46,0.00,0.97,0.06,0.81,3.10,96.90,0.00,1.94,38.88,0.90,0.02,0.37,1.60,98.40,0.00,1.79,35.85,0.75,0.05,1.26,3.30,96.70,0.00,1.50,29.96,0.74,0.03,0.11,0.53,99.47,0.00,1.48,29.53,0.55,0.01,0.05,0.39,99.61,0.00,1.10,22.07,0.73,0.01,0.06,0.41,99.59,0.00,1.45,29.05,0.73,0.01,0.53,1.53,98.47,0.00,1.46,29.19,1.00,0.01,0.39,1.46,98.54,0.00,2.00,39.91
2025-07-08,17:45:51.719,1.52,98.48,0.00,1.52,98.48,0.00,1.08,0.05,0.77,3.22,96.78,0.00,2.15,43.09,0.99,0.03,0.37,1.54,98.46,0.00,1.98,39.55,0.80,0.06,1.09,3.17,96.83,0.00,1.60,32.10,0.48,0.02,0.08,0.43,99.57,0.00,0.96,19.25,0.51,0.01,0.04,0.36,99.64,0.00,1.02,20.48,0.77,0.01,0.05,0.39,99.61,0.00,1.54,30.79,0.74,0.01,0.50,1.54,98.46,0.00,1.48,29.64,0.99,0.01,0.38,1.48,98.52,0.00,1.98,39.52
2025-07-08,17:45:56.719,1.52,98.48,0.00,1.52,98.48,0.00,0.99,0.05,0.84,3.22,96.78,0.00,1.97,39.49,1.00,0.03,0.38,1.53,98.47,0.00,2.00,39.94,0.76,0.05,1.13,3.15,96.85,0.00,1.51,30.23,0.61,0.01,0.07,0.42,99.58,0.00,1.22,24.32,0.52,0.01,0.06,0.39,99.61,0.00,1.04,20.76,0.52,0.01,0.04,0.34,99.66,0.00,1.03,20.67,0.74,0.01,0.54,1.58,98.42,0.00,1.48,29.61,1.00,0.01,0.39,1.49,98.51,0.00,2.00,39.96
2025-07-08,17:46:01.720,1.53,98.47,0.00,1.53,98.47,0.00,0.95,0.05,0.84,3.14,96.86,0.00,1.90,38.01,0.94,0.02,0.38,1.53,98.47,0.00,1.88,37.67,0.75,0.05,1.16,3.26,96.74,0.00,1.50,29.99,0.53,0.01,0.07,0.41,99.59,0.00,1.06,21.15,0.64,0.02,0.07,0.42,99.58,0.00,1.27,25.46,0.61,0.02,0.06,0.40,99.60,0.00,1.22,24.40,0.73,0.01,0.54,1.57,98.43,0.00,1.46,29.18,1.00,0.01,0.39,1.48,98.52,0.00,2.00,39.94
2025-07-08,17:46:06.719,1.55,98.45,0.00,1.55,98.45,0.00,0.99,0.06,0.89,3.26,96.74,0.00,1.98,39.52,0.99,0.03,0.42,1.62,98.38,0.00,1.99,39.75,0.75,0.06,1.25,3.29,96.71,0.00,1.49,29.83,0.46,0.01,0.06,0.43,99.57,0.00,0.91,18.27,0.63,0.02,0.06,0.42,99.58,0.00,1.27,25.32,0.68,0.02,0.06,0.41,99.59,0.00,1.36,27.15,0.73,0.01,0.54,1.54,98.46,0.00,1.46,29.27,1.00,0.01,0.38,1.44,98.56,0.00,2.00,39.94
2025-07-08,17:46:11.719,1.53,98.47,0.00,1.53,98.47,0.00,0.97,0.09,0.86,3.29,96.71,0.00,1.93,38.61,0.89,0.03,0.38,1.61,98.39,0.00,1.79,35.70,0.77,0.05,1.13,3.14,96.86,0.00,1.54,30.83,0.52,0.01,0.07,0.42,99.58,0.00,1.03,20.61,0.63,0.02,0.08,0.44,99.56,0.00,1.27,25.33,0.55,0.01,0.05,0.39,99.61,0.00,1.11,22.11,0.74,0.01,0.52,1.52,98.48,0.00,1.48,29.64,1.00,0.01,0.39,1.46,98.54,0.00,2.00,40.02
2025-07-08,17:46:16.720,1.56,98.44,0.00,1.56,98.44,0.00,1.02,0.08,0.88,3.30,96.70,0.00,2.05,40.92,0.97,0.03,0.41,1.60,98.40,0.00,1.95,38.93,0.74,0.07,1.20,3.24,96.76,0.00,1.49,29.76,0.73,0.02,0.07,0.44,99.56,0.00,1.46,29.22,0.67,0.02,0.08,0.44,99.56,0.00,1.33,26.66,0.67,0.01,0.06,0.40,99.60,0.00,1.34,26.86,0.74,0.01,0.54,1.59,98.41,0.00,1.48,29.51,1.00,0.01,0.39,1.48,98.52,0.00,1.99,39.81
2025-07-08,17:46:21.719,1.54,98.46,0.00,1.54,98.46,0.00,1.01,0.06,0.88,3.29,96.71,0.00,2.03,40.57,0.93,0.02,0.42,1.60,98.40,0.00,1.86,37.28,0.81,0.06,1.15,3.20,96.80,0.00,1.61,32.24,0.49,0.02,0.07,0.42,99.58,0.00,0.97,19.46,0.68,0.01,0.05,0.39,99.61,0.00,1.36,27.15,0.51,0.02,0.07,0.42,99.58,0.00,1.01,20.26,0.73,0.01,0.52,1.54,98.46,0.00,1.46,29.25,0.99,0.01,0.38,1.47,98.53,0.00,1.98,39.54
2025-07-08,17:46:26.719,1.50,98.50,0.00,1.50,98.50,0.00,0.99,0.06,0.79,3.12,96.88,0.00,1.97,39.44,1.02,0.03,0.38,1.55,98.45,0.00,2.04,40.79,0.79,0.05,1.10,3.09,96.91,0.00,1.58,31.70,0.50,0.03,0.09,0.47,99.53,0.00,1.00,20.01,0.63,0.01,0.05,0.38,99.62,0.00,1.26,25.29,0.70,0.01,0.04,0.37,99.63,0.00,1.40,27.99,0.74,0.01,0.52,1.55,98.45,0.00,1.48,29.68,1.00,0.01,0.39,1.49,98.51,0.00,2.00,40.02
