System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-08,18:30:59.107,1.35,0.50,5.26,15.58,7.35,2.69,53.86,4.13,89.14,0.00,98.92,0.03
2025-07-08,18:31:04.107,1.31,0.46,6.26,16.09,7.69,2.62,52.40,4.40,95.60,0.00,100.00,0.00
2025-07-08,18:31:09.107,1.31,0.43,5.98,15.98,7.69,2.62,52.34,4.34,95.66,0.00,100.00,0.00
2025-07-08,18:31:14.107,1.30,0.41,5.80,15.78,7.61,2.59,51.87,4.38,95.62,0.00,100.00,0.00
2025-07-08,18:31:19.108,1.30,0.49,6.37,16.08,7.67,2.60,51.91,4.43,95.57,0.00,100.00,0.00
2025-07-08,18:31:24.108,1.32,0.42,5.92,16.02,7.68,2.63,52.66,4.32,95.68,0.00,100.00,0.00
2025-07-08,18:31:29.108,1.31,0.46,5.91,16.03,7.68,2.62,52.37,4.38,95.62,0.00,100.00,0.00
2025-07-08,18:31:34.108,1.32,0.43,6.17,16.07,7.73,2.64,52.71,4.40,95.60,0.00,100.00,0.00
2025-07-08,18:31:39.108,1.30,0.46,6.05,16.10,7.70,2.59,51.80,4.44,95.56,0.00,100.00,0.00
2025-07-08,18:31:44.108,1.31,0.44,5.97,16.13,7.74,2.63,52.58,4.42,95.58,0.00,100.00,0.00
2025-07-08,18:31:49.108,1.31,0.47,6.10,16.21,7.74,2.62,52.47,4.40,95.60,0.00,100.00,0.00
2025-07-08,18:31:54.108,1.32,0.42,5.94,15.80,7.59,2.64,52.84,4.49,95.50,0.00,100.00,0.00
2025-07-08,18:31:59.108,1.30,0.49,6.20,16.29,7.75,2.60,52.02,4.48,95.52,0.00,100.00,0.00
2025-07-08,18:32:04.108,1.34,0.41,5.81,16.09,7.76,2.68,53.53,4.32,95.67,0.00,100.00,0.00
2025-07-08,18:32:09.108,1.32,0.44,5.71,16.19,7.77,2.65,52.95,4.36,95.64,0.00,100.00,0.00
2025-07-08,18:32:14.108,1.33,0.42,5.83,16.13,7.76,2.67,53.34,4.31,95.69,0.00,100.00,0.00
2025-07-08,18:32:19.108,1.32,0.48,6.10,16.32,7.74,2.64,52.85,4.41,95.59,0.00,100.00,0.00
2025-07-08,18:32:24.108,1.29,0.44,5.98,15.74,7.58,2.59,51.70,4.43,95.57,0.00,100.00,0.00
2025-07-08,18:32:29.108,1.30,0.44,6.03,15.38,7.35,2.60,51.99,4.56,95.43,0.00,100.00,0.00
2025-07-08,18:32:34.108,1.31,0.43,5.81,15.80,7.60,2.61,52.25,4.32,95.68,0.00,100.00,0.00
2025-07-08,18:32:39.109,1.29,0.49,6.03,15.93,7.60,2.58,51.53,4.41,95.58,0.00,100.00,0.00
2025-07-08,18:32:44.108,1.29,0.44,6.02,15.71,7.56,2.58,51.56,4.34,95.66,0.00,100.00,0.00
2025-07-08,18:32:49.108,1.30,0.46,5.78,15.83,7.59,2.59,51.82,4.38,95.62,0.00,100.00,0.00
2025-07-08,18:32:54.109,1.30,0.43,6.07,15.77,7.60,2.60,51.94,4.38,95.62,0.00,100.00,0.00
2025-07-08,18:32:59.108,1.28,0.61,6.24,16.14,7.59,2.57,51.32,4.50,95.50,0.00,100.00,0.00
2025-07-08,18:33:04.108,1.30,0.45,6.09,15.79,7.60,2.60,51.95,4.35,95.64,0.00,100.00,0.00
2025-07-08,18:33:09.109,1.28,0.50,6.32,15.94,7.60,2.56,51.20,4.47,95.53,0.00,100.00,0.00
2025-07-08,18:33:14.109,1.30,0.45,6.23,15.29,7.32,2.59,51.88,4.59,95.41,0.00,100.00,0.00
2025-07-08,18:33:19.109,1.30,0.44,6.06,15.88,7.61,2.61,52.11,4.34,95.65,0.00,100.00,0.00
2025-07-08,18:33:24.110,1.30,0.44,5.96,15.78,7.57,2.61,52.17,4.37,95.62,0.00,100.00,0.00
2025-07-08,18:33:29.110,1.29,0.46,6.12,15.88,7.59,2.58,51.59,4.44,95.56,0.00,100.00,0.00
2025-07-08,18:33:34.111,1.31,0.41,5.80,15.74,7.60,2.62,52.47,4.32,95.68,0.00,100.00,0.00
2025-07-08,18:33:39.110,1.29,0.50,5.88,15.88,7.58,2.58,51.70,4.39,95.61,0.00,100.00,0.00
2025-07-08,18:33:44.110,1.30,0.46,6.18,15.82,7.59,2.60,52.03,4.39,95.61,0.00,100.00,0.00
2025-07-08,18:33:49.111,1.30,0.44,5.92,15.87,7.59,2.59,51.83,4.36,95.62,0.00,100.00,0.00
2025-07-08,18:33:54.110,1.30,0.43,5.82,15.82,7.60,2.61,52.13,4.33,95.67,0.00,100.00,0.00
2025-07-08,18:33:59.110,1.80,0.47,2.97,14.66,7.21,3.60,72.03,4.28,72.78,0.00,97.47,0.08
