Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-07-21T15:06:49.946500+00:00,500,499.997635007353,0.148,0.106,0.0,0.26,0.338,0.693,5.436,0.064,1
FinalTest,2,2025-07-21T15:07:50.193917+00:00,650,650.0208033741279,0.197,0.132,0.0,0.353,0.464,1.043,4.662,0.066,0
FinalTest,3,2025-07-21T15:08:50.508843+00:00,800,800.0263540681425,0.188,0.132,0.0,0.34,0.453,0.876,4.316,0.064,0
FinalTest,4,2025-07-21T15:09:50.849482+00:00,950,949.9859748326687,0.187,0.133,0.0,0.328,0.427,0.865,5.084,0.058,1
FinalTest,5,2025-07-21T15:10:51.197997+00:00,1100,1099.9626640718113,0.12,0.101,0.0,0.154,0.192,0.368,4.332,0.053,1
FinalTest,6,2025-07-21T15:11:51.631492+00:00,1300,1300.008090167013,0.123,0.096,0.0,0.13,0.153,0.961,3.806,0.052,0
FinalTest,7,2025-07-21T15:12:52.127477+00:00,1500,1500.007662957624,0.171,0.106,0.0,0.235,0.339,1.932,6.221,0.052,0
FinalTest,8,2025-07-21T15:13:52.751727+00:00,1700,1699.9951662346875,0.163,0.127,0.0,0.272,0.348,0.592,6.777,0.058,1
FinalTest,9,2025-07-21T15:14:53.391498+00:00,1900,1900.013811708222,0.175,0.126,0.0,0.296,0.379,0.749,7.532,0.056,0
FinalTest,10,2025-07-21T15:15:54.058543+00:00,2100,2100.0076134726023,0.272,0.175,0.0,0.441,0.676,2.277,23.55,0.053,0
FinalTest,11,2025-07-21T15:16:54.906513+00:00,2300,2299.9997001183724,0.249,0.145,0.0,0.36,0.55,2.355,36.568,0.048,0
FinalTest,12,2025-07-21T15:17:55.804521+00:00,2500,2499.9898302913693,0.322,0.176,0.0,0.544,0.803,2.333,44.176,0.05,0
FinalTest,13,2025-07-21T15:18:56.675564+00:00,2700,2700.019784410429,0.33,0.203,0.0,0.602,0.866,2.233,26.237,0.048,0
FinalTest,14,2025-07-21T15:19:57.769658+00:00,2900,2900.0072402064093,0.266,0.179,0.0,0.435,0.63,1.868,16.633,0.05,0
FinalTest,15,2025-07-21T15:20:58.868895+00:00,3100,3100.0052274407103,0.387,0.222,0.0,0.532,0.831,3.657,45.779,0.045,0
FinalTest,16,2025-07-21T15:22:00.115532+00:00,3300,3300.0048090970085,0.506,0.2,0.0,0.556,0.781,5.961,118.744,0.047,0
FinalTest,17,2025-07-21T15:23:01.490586+00:00,3500,3499.9911967054754,0.623,0.154,0.0,0.476,1.288,6.768,128.874,0.047,0
FinalTest,18,2025-07-21T15:24:02.835646+00:00,3700,3700.060554626597,0.77,0.221,0.0,1.598,3.564,9.438,56.159,0.048,0
FinalTest,19,2025-07-21T15:25:04.172473+00:00,3900,3900.004651935189,0.374,0.203,0.0,0.502,0.915,3.432,54.738,0.049,0
FinalTest,20,2025-07-21T15:26:05.766493+00:00,4000,3999.9931916782552,1.575,0.261,0.0,0.831,2.022,22.379,283.514,0.055,0
FinalTest,21,2025-07-21T15:27:07.105152+00:00,3800,3800.00681960197,0.342,0.189,0.0,0.431,0.75,3.091,57.635,0.046,1
FinalTest,22,2025-07-21T15:28:08.371433+00:00,3600,3599.4638388586213,0.248,0.166,0.0,0.307,0.441,1.89,50.872,0.047,1
FinalTest,23,2025-07-21T15:29:09.618576+00:00,3400,3400.0080808021507,0.392,0.172,0.0,0.743,1.432,4.07,30.014,0.045,0
FinalTest,24,2025-07-21T15:30:10.773769+00:00,3200,3199.9846067937006,0.405,0.178,0.0,0.741,1.301,3.378,67.83,0.045,1
FinalTest,25,2025-07-21T15:31:11.920902+00:00,3000,2999.99472621734,0.435,0.2,0.0,0.729,1.207,4.306,54.21,0.046,0
FinalTest,26,2025-07-21T15:32:12.812861+00:00,2800,2800.0117448490837,0.295,0.196,0.0,0.522,0.745,1.868,18.889,0.049,0
FinalTest,27,2025-07-21T15:33:13.722213+00:00,2600,2600.005929832881,0.166,0.123,0.0,0.238,0.323,1.025,6.296,0.049,0
FinalTest,28,2025-07-21T15:34:14.554557+00:00,2400,2400.0148462918382,0.172,0.124,0.0,0.244,0.328,0.956,20.213,0.047,0
FinalTest,29,2025-07-21T15:35:15.263732+00:00,2200,2199.95511243902,0.136,0.104,0.0,0.215,0.276,0.557,6.354,0.047,1
FinalTest,30,2025-07-21T15:36:15.876395+00:00,2000,2000.0102248374799,0.111,0.093,0.0,0.159,0.205,0.324,9.258,0.047,0
