Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-07-21T14:29:45.125400+00:00,500,500.0174398999457,0.148,0.108,0.0,0.232,0.306,0.593,3.6,0.068,0
FinalTest,2,2025-07-21T14:30:45.363693+00:00,650,649.9977706179826,0.203,0.148,0.0,0.321,0.413,1.293,5.869,0.069,1
FinalTest,3,2025-07-21T14:31:45.642681+00:00,800,800.0212451241791,0.218,0.149,0.0,0.329,0.458,1.993,3.92,0.073,0
FinalTest,4,2025-07-21T14:32:45.970644+00:00,950,950.0072894534322,0.194,0.132,0.0,0.31,0.424,1.408,5.334,0.058,0
FinalTest,5,2025-07-21T14:33:46.378543+00:00,1100,1099.9660551222055,0.127,0.1,0.0,0.179,0.215,0.42,4.374,0.052,1
FinalTest,6,2025-07-21T14:34:46.850471+00:00,1300,1300.0031803277805,0.126,0.095,0.0,0.143,0.176,0.961,4.138,0.056,0
FinalTest,7,2025-07-21T14:35:47.347959+00:00,1500,1500.0039732855246,0.171,0.109,0.0,0.21,0.327,1.792,11.708,0.05,0
FinalTest,8,2025-07-21T14:36:47.952697+00:00,1700,1700.0148628049417,0.153,0.125,0.0,0.23,0.308,0.592,6.231,0.055,0
FinalTest,9,2025-07-21T14:37:48.619657+00:00,1900,1900.0123046184178,0.153,0.127,0.0,0.223,0.289,0.572,8.1,0.052,0
FinalTest,10,2025-07-21T14:38:49.289526+00:00,2100,2100.018437206529,0.18,0.128,0.0,0.282,0.428,1.113,8.51,0.05,0
FinalTest,11,2025-07-21T14:39:50.153189+00:00,2300,2300.007606936703,0.188,0.123,0.0,0.277,0.407,1.64,17.966,0.049,0
FinalTest,12,2025-07-21T14:40:51.095043+00:00,2500,2500.005992097695,0.316,0.163,0.0,0.656,1.049,2.099,14.184,0.052,0
FinalTest,13,2025-07-21T14:41:52.018122+00:00,2700,2700.0161350784897,0.57,0.259,0.0,1.031,1.884,5.355,74.218,0.05,0
FinalTest,14,2025-07-21T14:42:53.189870+00:00,2900,2899.9962879054174,0.908,0.364,0.0,1.909,3.68,9.326,79.103,0.05,0
FinalTest,15,2025-07-21T14:43:54.292803+00:00,3100,3100.0084748276286,0.492,0.24,0.0,0.638,1.357,5.28,65.472,0.048,0
FinalTest,16,2025-07-21T14:44:55.451687+00:00,3300,3299.9921259973535,0.66,0.281,0.0,0.667,1.28,8.142,118.219,0.052,0
FinalTest,17,2025-07-21T14:45:56.617438+00:00,3500,3500.008372405159,0.357,0.207,0.0,0.581,0.937,3.08,25.538,0.047,0
FinalTest,18,2025-07-21T14:46:57.960570+00:00,3700,3699.9972962558213,0.269,0.19,0.0,0.428,0.626,1.655,25.3,0.047,0
FinalTest,19,2025-07-21T14:47:59.413978+00:00,3900,3899.968269230436,0.36,0.198,0.0,0.487,0.852,3.205,55.416,0.051,0
FinalTest,20,2025-07-21T14:49:01.002355+00:00,4000,3999.657789812791,3.916,0.367,0.0,2.925,7.196,83.654,388.109,0.051,0
FinalTest,21,2025-07-21T14:50:02.355311+00:00,3800,3800.003670491841,0.583,0.389,0.0,0.868,1.717,4.396,27.689,0.049,0
FinalTest,22,2025-07-21T14:51:03.643901+00:00,3600,3600.000484440065,0.559,0.319,0.0,0.754,1.56,5.526,65.13,0.053,0
FinalTest,23,2025-07-21T14:52:04.909926+00:00,3400,3399.9869184620807,0.907,0.235,0.0,0.93,2.068,10.688,188.421,0.051,0
FinalTest,24,2025-07-21T14:53:06.024633+00:00,3200,3199.824514602232,0.331,0.167,0.0,0.544,1.07,3.013,26.933,0.048,1
FinalTest,25,2025-07-21T14:54:07.149195+00:00,3000,3000.0467910365096,0.318,0.172,0.0,0.55,0.926,2.726,35.884,0.05,0
FinalTest,26,2025-07-21T14:55:08.053003+00:00,2800,2800.013820486078,0.418,0.222,0.0,0.751,1.259,3.747,28.204,0.051,0
FinalTest,27,2025-07-21T14:56:08.884687+00:00,2600,2600.0102629829657,0.205,0.14,0.0,0.301,0.381,1.422,31.949,0.049,0
FinalTest,28,2025-07-21T14:57:09.692843+00:00,2400,2400.0055849329965,0.169,0.13,0.0,0.238,0.297,0.954,6.188,0.049,0
FinalTest,29,2025-07-21T14:58:10.393877+00:00,2200,2199.99911675033,0.149,0.117,0.0,0.206,0.25,0.652,9.554,0.049,1
FinalTest,30,2025-07-21T14:59:11.009559+00:00,2000,2000.0147728424508,0.122,0.102,0.0,0.161,0.199,0.351,12.353,0.045,0
