Test_ID,Minute,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,500,497.83103977595,10.131,0.135,0.0,0.489,0.661,489.808,1097.733,0.075,1
FinalTest,2,650,647.1461445727701,5.777,0.134,0.0,0.492,0.724,231.396,919.17,0.066,1
FinalTest,3,800,800.0275072791138,0.23,0.136,0.0,0.389,0.598,2.129,4.484,0.07,0
FinalTest,4,950,947.1866067155274,3.198,0.146,0.0,0.501,0.802,41.196,572.013,0.063,1
FinalTest,5,1100,1100.01226005422,0.253,0.144,0.0,0.446,0.697,2.206,8.11,0.057,0
FinalTest,6,1300,1296.943381792239,18.066,0.13,0.0,0.395,0.746,840.515,1392.078,0.048,1
FinalTest,7,1500,1500.0027743942915,0.173,0.116,0.0,0.28,0.356,1.046,5.405,0.053,0
FinalTest,8,1700,1700.00600852957,0.193,0.122,0.0,0.322,0.496,1.271,15.974,0.055,0
FinalTest,9,1900,1893.8741056338906,16.868,0.141,0.0,0.496,1.135,793.146,1192.199,0.05,3
FinalTest,10,2100,2088.092325390666,3.309,0.201,0.0,0.772,1.334,75.643,534.342,0.049,1
FinalTest,11,2300,2300.0280221614053,0.285,0.16,0.0,0.425,0.666,2.305,56.325,0.049,0
FinalTest,12,2500,2500.0012260586154,0.258,0.153,0.0,0.461,0.724,1.942,17.817,0.047,0
FinalTest,13,2700,2699.9976134721096,0.246,0.132,0.0,0.463,0.761,2.063,15.107,0.047,0
FinalTest,14,2900,2887.330374212008,8.243,0.145,0.0,0.405,0.898,467.406,956.24,0.045,1
FinalTest,15,3100,3088.9618347572164,25.89,0.151,0.0,0.401,3.758,1109.714,1494.948,0.04,2
FinalTest,16,3300,3299.984497747902,0.331,0.146,0.0,0.404,0.617,3.09,83.891,0.045,0
FinalTest,17,3500,3500.008427927094,0.36,0.163,0.0,0.485,0.965,3.448,69.657,0.047,0
FinalTest,18,3700,3700.005545576625,0.394,0.163,0.0,0.491,0.756,4.417,90.115,0.046,0
FinalTest,19,3900,3899.8425378097345,1.159,0.254,0.0,1.129,3.705,16.285,171.184,0.048,0
FinalTest,20,4000,3999.9698774346652,1.437,0.277,0.0,1.316,4.9,20.064,266.026,0.052,0
