Test_ID,Minute,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,500,500.0147607940826,0.161,0.131,0.0,0.264,0.329,0.567,4.472,0.065,0
FinalTest,2,650,650.0187451105678,0.198,0.133,0.0,0.279,0.416,1.695,7.176,0.067,0
FinalTest,3,800,800.0188637914595,0.227,0.122,0.0,0.36,0.645,2.351,8.499,0.063,0
FinalTest,4,950,950.0047384969683,0.235,0.132,0.0,0.543,0.697,1.221,5.868,0.056,0
FinalTest,5,1100,1099.977776112212,0.274,0.158,0.0,0.54,0.723,2.065,8.969,0.056,1
FinalTest,6,1300,1300.0157187385385,0.222,0.132,0.0,0.438,0.626,1.279,7.668,0.049,0
FinalTest,7,1500,1500.00908875507,0.19,0.138,0.0,0.312,0.425,0.952,8.427,0.051,0
FinalTest,8,1700,1700.0016271848908,0.244,0.169,0.0,0.418,0.599,1.367,15.224,0.053,0
FinalTest,9,1900,1900.0004240800947,0.222,0.135,0.0,0.409,0.677,1.415,9.436,0.051,1
FinalTest,10,2100,2099.9937293837243,0.266,0.149,0.0,0.558,0.827,1.674,11.855,0.052,0
FinalTest,11,2300,2300.03562612867,0.309,0.187,0.0,0.489,0.733,2.551,37.842,0.052,0
FinalTest,12,2500,2499.9986297924174,0.343,0.208,0.0,0.619,1.027,2.794,14.133,0.048,0
FinalTest,13,2700,2699.997079762851,0.358,0.2,0.0,0.578,0.917,2.88,45.509,0.05,0
FinalTest,14,2900,2900.002935576305,0.354,0.215,0.0,0.563,0.836,2.99,29.26,0.05,0
FinalTest,15,3100,3100.015048609718,0.213,0.149,0.0,0.332,0.458,1.434,17.963,0.045,0
FinalTest,16,3300,3300.0023695714003,0.297,0.162,0.0,0.447,0.777,2.731,32.22,0.046,0
FinalTest,17,3500,3500.0154121444757,0.463,0.196,0.0,0.796,1.72,4.628,58.112,0.041,0
FinalTest,18,3700,3699.997916628455,0.629,0.191,0.0,1.007,2.523,7.566,98.272,0.048,0
FinalTest,19,3900,3900.040734663049,0.489,0.231,0.0,0.856,1.567,4.7,25.759,0.048,0
FinalTest,20,4000,3999.9921710819895,0.78,0.275,0.0,1.036,2.36,7.667,135.002,0.049,0
FinalTest,21,3800,3799.997127886977,0.613,0.208,0.0,0.715,1.362,8.269,110.464,0.049,0
FinalTest,22,3600,3599.9893312034396,0.396,0.172,0.0,0.4,0.669,3.554,97.423,0.049,1
FinalTest,23,3400,3399.976757135559,0.606,0.208,0.0,0.686,1.122,6.95,129.769,0.046,0
FinalTest,24,3200,3199.972046857516,0.496,0.223,0.0,0.815,1.785,5.052,47.85,0.042,0
FinalTest,25,3000,2999.9945044628694,0.683,0.28,0.0,1.21,2.917,7.466,43.208,0.047,0
FinalTest,26,2800,2800.0029196323326,0.476,0.247,0.0,0.746,1.618,4.688,35.86,0.053,0
FinalTest,27,2600,2599.9694954812667,0.237,0.165,0.0,0.414,0.578,1.307,12.052,0.047,1
FinalTest,28,2400,2400.0367340138096,0.23,0.149,0.0,0.39,0.579,1.569,17.262,0.047,0
FinalTest,29,2200,2199.993555501234,0.163,0.115,0.0,0.219,0.29,1.436,6.747,0.045,1
FinalTest,30,2000,2000.0021910024004,0.117,0.098,0.0,0.144,0.175,0.343,8.488,0.05,0
