Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-07-25T09:23:37.023951+00:00,500,500.01692090594804,0.093,0.088,0.0,0.104,0.121,0.186,2.973,0.061,0
FinalTest,2,2025-07-25T09:24:37.226097+00:00,650,649.980865910337,0.093,0.088,0.0,0.103,0.118,0.195,2.066,0.067,1
FinalTest,3,2025-07-25T09:25:37.467424+00:00,800,800.0211536259967,0.092,0.087,0.0,0.102,0.114,0.181,3.272,0.062,0
FinalTest,4,2025-07-25T09:26:37.806091+00:00,950,950.006177573504,0.091,0.085,0.0,0.11,0.126,0.185,1.603,0.058,0
FinalTest,5,2025-07-25T09:27:38.173962+00:00,1100,1099.9468389911065,0.097,0.089,0.0,0.115,0.139,0.242,4.809,0.056,1
FinalTest,6,2025-07-25T09:28:38.635590+00:00,1300,1300.0161696877863,0.097,0.09,0.0,0.115,0.129,0.192,3.694,0.056,0
FinalTest,7,2025-07-25T09:29:39.170272+00:00,1500,1500.004067239553,0.128,0.095,0.0,0.201,0.237,0.458,4.081,0.055,0
FinalTest,8,2025-07-25T09:30:39.737528+00:00,1700,1700.006538705921,0.17,0.097,0.0,0.209,0.29,2.396,7.038,0.051,0
FinalTest,9,2025-07-25T09:31:40.403219+00:00,1900,1900.0162723499564,0.155,0.095,0.0,0.156,0.242,2.156,7.232,0.054,0
FinalTest,10,2025-07-25T09:32:41.141169+00:00,2100,2100.001445840612,0.109,0.098,0.0,0.137,0.154,0.257,4.003,0.051,0
FinalTest,11,2025-07-25T09:33:41.919682+00:00,2300,2300.0128725903237,0.136,0.103,0.0,0.185,0.25,0.66,5.895,0.049,0
FinalTest,12,2025-07-25T09:34:42.688510+00:00,2500,2500.011655882049,0.21,0.117,0.0,0.296,0.416,2.324,26.937,0.05,0
FinalTest,13,2025-07-25T09:35:43.509344+00:00,2700,2699.7605128022146,0.119,0.093,0.0,0.167,0.21,0.445,13.509,0.049,1
FinalTest,14,2025-07-25T09:36:44.442184+00:00,2900,2900.007938046728,0.184,0.117,0.0,0.209,0.307,0.713,56.049,0.05,0
FinalTest,15,2025-07-25T09:37:45.399931+00:00,3100,3099.9799977314433,0.238,0.15,0.0,0.412,0.498,2.047,8.353,0.044,1
FinalTest,16,2025-07-25T09:38:46.402093+00:00,3300,3299.9848473449906,0.122,0.106,0.0,0.166,0.197,0.437,4.001,0.043,1
FinalTest,17,2025-07-25T09:39:47.519125+00:00,3500,3499.9951845107635,0.629,0.3,0.0,0.645,1.246,8.502,99.513,0.047,0
FinalTest,18,2025-07-25T09:40:48.702393+00:00,3700,3699.5051848047997,0.432,0.133,0.0,0.269,0.449,2.945,161.641,0.044,1
FinalTest,19,2025-07-25T09:41:49.862860+00:00,3900,3899.9602224624205,0.184,0.143,0.0,0.22,0.322,1.391,8.97,0.039,1
FinalTest,20,2025-07-25T09:42:51.221964+00:00,4000,3999.9752172502854,0.818,0.179,0.0,0.57,0.936,10.745,216.01,0.048,0
FinalTest,21,2025-07-25T09:43:52.430549+00:00,3800,3799.8513227040085,0.25,0.146,0.0,0.408,0.586,2.159,41.189,0.047,1
FinalTest,22,2025-07-25T09:44:53.648965+00:00,3600,3600.0072672876922,0.285,0.14,0.0,0.343,0.499,2.215,97.438,0.045,0
FinalTest,23,2025-07-25T09:45:54.690306+00:00,3400,3399.9999362327094,0.225,0.136,0.0,0.333,0.452,1.4,60.576,0.046,0
FinalTest,24,2025-07-25T09:46:55.645082+00:00,3200,3200.005211742777,0.157,0.13,0.0,0.241,0.365,0.565,11.518,0.046,0
FinalTest,25,2025-07-25T09:47:56.646094+00:00,3000,3000.045468853194,0.148,0.119,0.0,0.232,0.336,0.534,7.418,0.047,0
FinalTest,26,2025-07-25T09:48:57.492448+00:00,2800,2799.9712527840156,0.13,0.108,0.0,0.182,0.255,0.472,5.961,0.047,1
FinalTest,27,2025-07-25T09:49:58.325042+00:00,2600,2599.9694820436202,0.109,0.095,0.0,0.141,0.164,0.338,4.353,0.047,1
FinalTest,28,2025-07-25T09:50:59.057920+00:00,2400,2399.8876634506446,0.113,0.104,0.0,0.138,0.158,0.311,15.028,0.048,1
FinalTest,29,2025-07-25T09:51:59.752102+00:00,2200,2200.0073588046143,0.114,0.1,0.0,0.14,0.16,0.323,3.734,0.05,0
FinalTest,30,2025-07-25T09:53:00.343109+00:00,2000,2000.006205819256,0.124,0.096,0.0,0.178,0.231,0.519,8.863,0.045,0
