Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-09-10T18:23:46.419380+00:00,500,500.01271143148614,0.091,0.086,0.0,0.101,0.12,0.197,4.603,0.061,0
FinalTest,2,2025-09-10T18:24:46.617801+00:00,650,650.01790445067,0.084,0.08,0.0,0.093,0.105,0.154,4.496,0.061,0
FinalTest,3,2025-09-10T18:25:46.858211+00:00,800,800.0229070025614,0.086,0.082,0.0,0.094,0.107,0.163,4.774,0.06,0
FinalTest,4,2025-09-10T18:26:47.143212+00:00,950,950.0070028182868,0.092,0.087,0.0,0.11,0.125,0.18,4.537,0.055,0
FinalTest,5,2025-09-10T18:27:47.522795+00:00,1100,1099.9646387718585,0.098,0.088,0.0,0.117,0.153,0.242,5.685,0.055,1
FinalTest,6,2025-09-10T18:28:47.919281+00:00,1300,1300.0087314869781,0.094,0.086,0.0,0.114,0.124,0.201,5.771,0.052,0
FinalTest,7,2025-09-10T18:29:48.382234+00:00,1500,1500.0082878957926,0.104,0.088,0.0,0.118,0.139,0.344,5.666,0.05,0
FinalTest,8,2025-09-10T18:30:48.898736+00:00,1700,1700.0087003248234,0.13,0.094,0.0,0.17,0.226,0.766,13.713,0.052,0
FinalTest,9,2025-09-10T18:31:49.542793+00:00,1900,1900.0152716754542,0.114,0.096,0.0,0.161,0.209,0.326,14.495,0.046,0
FinalTest,10,2025-09-10T18:32:50.226384+00:00,2100,2100.0062026857595,0.178,0.146,0.0,0.272,0.314,0.7,4.808,0.047,0
FinalTest,11,2025-09-10T18:33:50.978962+00:00,2300,2300.0171167273825,0.212,0.124,0.0,0.29,0.366,2.108,41.344,0.047,0
FinalTest,12,2025-09-10T18:34:51.830751+00:00,2500,2500.0153479275564,0.132,0.102,0.0,0.176,0.245,0.57,16.534,0.049,0
FinalTest,13,2025-09-10T18:35:52.699842+00:00,2700,2699.999331345166,0.166,0.117,0.0,0.28,0.346,1.012,6.724,0.046,0
FinalTest,14,2025-09-10T18:36:53.646973+00:00,2900,2899.967253186973,0.29,0.213,0.0,0.443,0.542,2.205,15.318,0.047,1
FinalTest,15,2025-09-10T18:37:54.595172+00:00,3100,3100.017631515073,0.152,0.111,0.0,0.178,0.27,1.11,7.802,0.045,0
FinalTest,16,2025-09-10T18:38:55.660064+00:00,3300,3300.0030162027565,0.203,0.135,0.0,0.378,0.464,1.0,26.002,0.042,0
FinalTest,17,2025-09-10T18:39:56.728678+00:00,3500,3499.8405982266936,0.282,0.2,0.0,0.492,0.575,1.582,11.898,0.045,1
FinalTest,18,2025-09-10T18:40:57.910788+00:00,3700,3700.0104726018158,0.146,0.13,0.0,0.19,0.212,0.692,7.894,0.04,0
FinalTest,19,2025-09-10T18:41:59.169041+00:00,3900,3899.9978200832707,0.161,0.144,0.0,0.207,0.237,0.686,11.052,0.043,0
FinalTest,20,2025-09-10T18:43:00.544251+00:00,4000,3999.975739379392,0.52,0.203,0.0,0.652,1.069,6.722,81.862,0.045,0
FinalTest,21,2025-09-10T18:44:01.756449+00:00,3800,3799.866980892959,0.223,0.139,0.0,0.24,0.423,2.172,39.844,0.044,0
FinalTest,22,2025-09-10T18:45:02.985315+00:00,3600,3600.008221990176,0.261,0.142,0.0,0.409,0.542,2.231,66.472,0.044,0
FinalTest,23,2025-09-10T18:46:04.076355+00:00,3400,3400.0042348345155,0.424,0.252,0.0,0.583,0.836,4.138,55.312,0.047,0
FinalTest,24,2025-09-10T18:47:05.131158+00:00,3200,3200.0052196351803,0.452,0.239,0.0,0.526,0.819,4.498,87.516,0.042,0
FinalTest,25,2025-09-10T18:48:06.020514+00:00,3000,3000.0161579370256,0.231,0.141,0.0,0.37,0.468,2.113,28.877,0.042,0
FinalTest,26,2025-09-10T18:49:06.894058+00:00,2800,2800.006086046562,0.125,0.105,0.0,0.169,0.231,0.442,7.268,0.045,0
FinalTest,27,2025-09-10T18:50:07.739099+00:00,2600,2600.0053514610145,0.15,0.103,0.0,0.236,0.311,0.78,20.44,0.047,0
FinalTest,28,2025-09-10T18:51:08.482085+00:00,2400,2400.016212103596,0.122,0.1,0.0,0.135,0.155,0.486,19.415,0.046,0
FinalTest,29,2025-09-10T18:52:09.142456+00:00,2200,2200.0182665683324,0.141,0.105,0.0,0.224,0.273,0.489,6.385,0.045,0
FinalTest,30,2025-09-10T18:53:09.757402+00:00,2000,2000.0024938697763,0.186,0.134,0.0,0.275,0.323,1.408,7.918,0.047,0
