Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-07-22T10:43:46.658831+00:00,500,500.00992800546004,0.114,0.095,0.0,0.156,0.164,0.197,9.4,0.06,0
FinalTest,2,2025-07-22T10:44:46.846653+00:00,650,650.0127948301863,0.1,0.086,0.0,0.147,0.156,0.186,1.602,0.057,0
FinalTest,3,2025-07-22T10:45:47.076340+00:00,800,800.0188704317726,0.096,0.086,0.0,0.143,0.151,0.173,2.23,0.066,0
FinalTest,4,2025-07-22T10:46:47.344304+00:00,950,950.0045831704442,0.09,0.085,0.0,0.105,0.117,0.164,3.482,0.058,0
FinalTest,5,2025-07-22T10:47:47.664710+00:00,1100,1100.011578171866,0.092,0.086,0.0,0.11,0.135,0.192,2.593,0.054,0
FinalTest,6,2025-07-22T10:48:48.031342+00:00,1300,1299.989898325653,0.093,0.086,0.0,0.115,0.142,0.191,3.137,0.05,1
FinalTest,7,2025-07-22T10:49:48.484966+00:00,1500,1500.0063275303307,0.094,0.086,0.0,0.115,0.133,0.2,3.429,0.051,0
FinalTest,8,2025-07-22T10:50:48.982675+00:00,1700,1700.0032809734985,0.109,0.089,0.0,0.127,0.151,0.352,5.214,0.047,0
FinalTest,9,2025-07-22T10:51:49.515870+00:00,1900,1900.004293579032,0.123,0.092,0.0,0.14,0.164,0.977,4.013,0.042,0
FinalTest,10,2025-07-22T10:52:50.107638+00:00,2100,2100.0096560443676,0.103,0.094,0.0,0.135,0.153,0.232,3.194,0.047,0
FinalTest,11,2025-07-22T10:53:50.798549+00:00,2300,2300.0140490973445,0.107,0.097,0.0,0.143,0.164,0.232,6.933,0.044,0
FinalTest,12,2025-07-22T10:54:51.569220+00:00,2500,2499.9994544548153,0.122,0.1,0.0,0.153,0.174,0.44,4.824,0.042,0
FinalTest,13,2025-07-22T10:55:52.380787+00:00,2700,2700.009178581184,0.153,0.103,0.0,0.164,0.199,2.075,7.412,0.041,0
FinalTest,14,2025-07-22T10:56:53.210548+00:00,2900,2899.6774626463425,0.125,0.107,0.0,0.164,0.185,0.382,17.389,0.04,1
FinalTest,15,2025-07-22T10:57:54.151222+00:00,3100,3100.002952907813,0.128,0.115,0.0,0.172,0.192,0.361,15.96,0.044,0
FinalTest,16,2025-07-22T10:58:55.152631+00:00,3300,3300.0104323419578,0.147,0.119,0.0,0.183,0.209,0.741,14.066,0.045,0
FinalTest,17,2025-07-22T10:59:56.211750+00:00,3500,3499.9127097957207,0.191,0.129,0.0,0.205,0.307,2.369,7.499,0.045,1
FinalTest,18,2025-07-22T11:00:57.257122+00:00,3700,3700.014249694025,0.15,0.133,0.0,0.196,0.221,0.705,13.625,0.046,0
FinalTest,19,2025-07-22T11:01:58.471930+00:00,3900,3900.0000991900024,0.155,0.145,0.0,0.208,0.232,0.541,3.639,0.045,0
FinalTest,20,2025-07-22T11:02:59.714415+00:00,4000,4000.0020309512893,0.163,0.142,0.0,0.214,0.243,0.716,5.297,0.044,0
FinalTest,21,2025-07-22T11:04:00.846688+00:00,3800,3798.1509909366837,0.242,0.143,0.0,0.23,0.358,2.809,57.74,0.038,1
FinalTest,22,2025-07-22T11:05:01.902740+00:00,3600,3600.0045380887495,0.187,0.133,0.0,0.202,0.232,1.031,55.851,0.045,0
FinalTest,23,2025-07-22T11:06:02.886321+00:00,3400,3400.014745580617,0.133,0.118,0.0,0.18,0.203,0.458,4.801,0.041,0
FinalTest,24,2025-07-22T11:07:03.864392+00:00,3200,3200.000168694221,0.166,0.121,0.0,0.215,0.322,1.304,7.738,0.044,0
FinalTest,25,2025-07-22T11:08:04.743213+00:00,3000,3000.0100627729903,0.184,0.115,0.0,0.242,0.388,2.259,7.765,0.044,0
FinalTest,26,2025-07-22T11:09:05.546463+00:00,2800,2800.0134946183703,0.124,0.103,0.0,0.16,0.186,0.463,7.51,0.044,0
FinalTest,27,2025-07-22T11:10:06.306935+00:00,2600,2600.0032043816977,0.11,0.099,0.0,0.148,0.166,0.261,9.48,0.043,0
FinalTest,28,2025-07-22T11:11:07.018838+00:00,2400,2400.003364361413,0.111,0.103,0.0,0.148,0.165,0.237,4.291,0.045,0
FinalTest,29,2025-07-22T11:12:07.697250+00:00,2200,2200.011582916568,0.149,0.098,0.0,0.155,0.184,2.081,18.323,0.048,0
FinalTest,30,2025-07-22T11:13:08.258205+00:00,2000,2000.004678644278,0.111,0.091,0.0,0.137,0.158,0.315,3.955,0.044,0
