Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-07-25T15:05:10.322580+00:00,500,500.00935685843166,0.092,0.087,0.0,0.104,0.121,0.196,3.893,0.06,0
FinalTest,2,2025-07-25T15:06:10.522233+00:00,650,650.0041227293592,0.094,0.088,0.0,0.103,0.119,0.208,2.418,0.065,1
FinalTest,3,2025-07-25T15:07:10.766259+00:00,800,800.0250747725723,0.087,0.083,0.0,0.097,0.109,0.177,2.481,0.062,0
FinalTest,4,2025-07-25T15:08:11.054156+00:00,950,950.0003542392988,0.095,0.089,0.0,0.111,0.123,0.195,2.554,0.055,0
FinalTest,5,2025-07-25T15:09:11.421576+00:00,1100,1100.008005014921,0.095,0.088,0.0,0.111,0.127,0.217,3.608,0.06,0
FinalTest,6,2025-07-25T15:10:11.909997+00:00,1300,1300.0038319129617,0.279,0.149,0.0,0.639,0.894,1.406,11.763,0.061,0
FinalTest,7,2025-07-25T15:11:12.456651+00:00,1500,1500.0071870844358,0.298,0.16,0.0,0.692,0.911,1.508,13.876,0.06,0
FinalTest,8,2025-07-25T15:12:13.143458+00:00,1700,1700.0098386904835,0.323,0.163,0.0,0.743,0.984,1.893,17.447,0.059,0
FinalTest,9,2025-07-25T15:13:13.752491+00:00,1900,1900.0121884384366,0.224,0.121,0.0,0.418,0.75,1.527,21.774,0.048,0
FinalTest,10,2025-07-25T15:14:14.420856+00:00,2100,2099.902813413742,0.212,0.146,0.0,0.397,0.545,1.04,9.351,0.051,1
FinalTest,11,2025-07-25T15:15:15.164632+00:00,2300,2300.0045434481553,0.205,0.143,0.0,0.403,0.549,0.926,16.116,0.051,0
FinalTest,12,2025-07-25T15:16:16.079662+00:00,2500,2500.018166798679,0.327,0.185,0.0,0.664,0.965,1.911,18.08,0.05,0
FinalTest,13,2025-07-25T15:17:17.010963+00:00,2700,2699.9956728985576,0.386,0.207,0.0,0.815,1.283,2.642,15.406,0.049,0
FinalTest,14,2025-07-25T15:18:18.005968+00:00,2900,2900.0077025978576,0.41,0.186,0.0,0.767,1.169,2.35,77.003,0.049,0
FinalTest,15,2025-07-25T15:19:18.956136+00:00,3100,3100.006667646827,0.291,0.157,0.0,0.501,0.787,2.231,35.031,0.049,0
FinalTest,16,2025-07-25T15:20:19.968520+00:00,3300,3300.012561946042,0.141,0.115,0.0,0.196,0.256,0.608,11.774,0.044,0
FinalTest,17,2025-07-25T15:21:21.048615+00:00,3500,3498.4139904598937,0.207,0.14,0.0,0.222,0.267,0.7,68.615,0.045,1
FinalTest,18,2025-07-25T15:22:22.199288+00:00,3700,3699.939934704499,0.196,0.126,0.0,0.251,0.386,0.917,59.233,0.045,1
FinalTest,19,2025-07-25T15:23:23.397751+00:00,3900,3900.0033101227677,0.208,0.156,0.0,0.312,0.485,1.093,21.027,0.043,0
FinalTest,20,2025-07-25T15:24:24.645448+00:00,4000,3999.8372247083053,0.224,0.141,0.0,0.354,0.576,1.995,14.968,0.046,1
FinalTest,21,2025-07-25T15:25:25.846392+00:00,3800,3800.008373741846,0.293,0.135,0.0,0.365,0.591,2.338,75.439,0.044,0
FinalTest,22,2025-07-25T15:26:27.042741+00:00,3600,3600.0091120896204,0.175,0.139,0.0,0.247,0.371,0.844,13.255,0.041,0
FinalTest,23,2025-07-25T15:27:28.164665+00:00,3400,3399.9918055664166,0.502,0.176,0.0,0.68,1.247,5.259,127.505,0.045,0
FinalTest,24,2025-07-25T15:28:29.181851+00:00,3200,3199.7595931481474,0.307,0.138,0.0,0.572,1.083,2.599,31.09,0.046,1
FinalTest,25,2025-07-25T15:29:30.119311+00:00,3000,3000.005953295407,0.215,0.133,0.0,0.368,0.601,1.698,14.422,0.047,0
FinalTest,26,2025-07-25T15:30:30.984488+00:00,2800,2799.9491549900363,0.196,0.125,0.0,0.356,0.544,1.219,12.023,0.047,1
FinalTest,27,2025-07-25T15:31:31.788279+00:00,2600,2599.6664108821565,0.175,0.124,0.0,0.291,0.441,0.854,17.998,0.05,1
FinalTest,28,2025-07-25T15:32:32.522337+00:00,2400,2399.9977282797076,0.16,0.112,0.0,0.278,0.419,0.775,10.502,0.048,0
FinalTest,29,2025-07-25T15:33:33.179710+00:00,2200,2199.9972884300087,0.114,0.097,0.0,0.152,0.192,0.43,3.946,0.046,1
FinalTest,30,2025-07-25T15:34:33.785765+00:00,2000,2000.004639482758,0.091,0.085,0.0,0.109,0.121,0.197,3.393,0.048,0
