Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-09-01T14:48:42.233958+00:00,500,500.01335658178704,0.106,0.089,0.0,0.152,0.163,0.227,10.774,0.056,0
FinalTest,2,2025-09-01T14:49:42.425544+00:00,650,650.0118816646867,0.083,0.078,0.0,0.094,0.122,0.162,2.969,0.056,0
FinalTest,3,2025-09-01T14:50:42.650138+00:00,800,800.0226599484901,0.082,0.079,0.0,0.09,0.104,0.157,1.86,0.056,0
FinalTest,4,2025-09-01T14:51:42.928876+00:00,950,950.0028574027612,0.091,0.085,0.0,0.112,0.141,0.18,3.5,0.056,0
FinalTest,5,2025-09-01T14:52:43.252782+00:00,1100,1099.9753251041054,0.093,0.086,0.0,0.114,0.143,0.193,1.923,0.05,1
FinalTest,6,2025-09-01T14:53:43.651925+00:00,1300,1300.0091323041527,0.192,0.12,0.0,0.404,0.536,0.868,5.146,0.05,0
FinalTest,7,2025-09-01T14:54:44.113411+00:00,1500,1500.0144133134943,0.199,0.128,0.0,0.421,0.54,0.817,4.132,0.051,0
FinalTest,8,2025-09-01T14:55:44.651222+00:00,1700,1699.981015713127,0.199,0.133,0.0,0.392,0.519,0.845,16.34,0.049,0
FinalTest,9,2025-09-01T14:56:45.256376+00:00,1900,1900.00319343338,0.216,0.142,0.0,0.416,0.609,1.07,8.867,0.054,0
FinalTest,10,2025-09-01T14:57:45.968567+00:00,2100,2100.0041115790145,0.261,0.148,0.0,0.605,0.858,1.304,19.907,0.052,0
FinalTest,11,2025-09-01T14:58:46.808801+00:00,2300,2300.0056991661572,0.238,0.153,0.0,0.464,0.705,1.203,15.947,0.046,0
FinalTest,12,2025-09-01T14:59:47.575510+00:00,2500,2500.015315695932,0.196,0.123,0.0,0.322,0.608,1.278,15.84,0.044,0
FinalTest,13,2025-09-01T15:00:48.390029+00:00,2700,2700.010401742531,0.147,0.12,0.0,0.219,0.28,0.657,5.641,0.043,0
FinalTest,14,2025-09-01T15:01:49.229385+00:00,2900,2899.5610444865615,0.163,0.125,0.0,0.214,0.278,0.692,30.813,0.048,1
FinalTest,15,2025-09-01T15:02:50.185288+00:00,3100,3100.0493250146283,0.345,0.146,0.0,0.38,0.617,3.08,102.534,0.047,0
FinalTest,16,2025-09-01T15:03:51.376908+00:00,3300,3299.9418335593873,0.6,0.178,0.0,0.656,1.175,6.207,129.931,0.047,0
FinalTest,17,2025-09-01T15:04:52.436406+00:00,3500,3500.0016961094116,0.317,0.184,0.0,0.587,0.874,2.222,28.371,0.045,0
FinalTest,18,2025-09-01T15:05:53.474542+00:00,3700,3700.0163754137106,0.237,0.175,0.0,0.421,0.569,1.115,8.894,0.043,0
FinalTest,19,2025-09-01T15:06:54.577857+00:00,3900,3899.9977478163005,0.282,0.162,0.0,0.343,0.575,1.832,79.997,0.046,0
FinalTest,20,2025-09-01T15:07:55.937434+00:00,4000,3999.9271513196736,1.133,0.189,0.0,0.72,1.708,12.3,269.859,0.048,0
FinalTest,21,2025-09-01T15:08:57.216121+00:00,3800,3800.0458621656894,0.536,0.187,0.0,0.749,1.53,4.79,114.31,0.045,0
FinalTest,22,2025-09-01T15:09:58.238141+00:00,3600,3599.9956591319974,0.366,0.158,0.0,0.356,0.562,2.637,122.681,0.047,0
FinalTest,23,2025-09-01T15:10:59.391252+00:00,3400,3399.9831539393804,0.689,0.165,0.0,1.358,4.004,8.694,63.777,0.044,0
FinalTest,24,2025-09-01T15:12:00.343573+00:00,3200,3200.001349621657,0.554,0.155,0.0,1.088,2.456,7.122,57.109,0.047,0
FinalTest,25,2025-09-01T15:13:01.238406+00:00,3000,2999.975827243815,0.273,0.139,0.0,0.324,0.615,2.289,67.298,0.043,0
FinalTest,26,2025-09-01T15:14:02.091505+00:00,2800,2799.995071052671,0.221,0.145,0.0,0.398,0.582,1.362,14.088,0.044,0
FinalTest,27,2025-09-01T15:15:02.875845+00:00,2600,2600.010423311787,0.187,0.126,0.0,0.32,0.496,1.131,9.031,0.045,0
FinalTest,28,2025-09-01T15:16:03.614410+00:00,2400,2400.0127104673147,0.189,0.126,0.0,0.334,0.513,1.12,15.572,0.048,0
FinalTest,29,2025-09-01T15:17:04.259461+00:00,2200,2199.868903070175,0.186,0.128,0.0,0.351,0.493,0.818,21.943,0.05,1
FinalTest,30,2025-09-01T15:18:04.832570+00:00,2000,2000.0041916421183,0.16,0.12,0.0,0.288,0.386,0.634,5.164,0.047,0
