Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-07-23T12:22:48.627145+00:00,500,500.0155337659141,0.094,0.087,0.0,0.103,0.122,0.197,4.521,0.064,0
FinalTest,2,2025-07-23T12:23:48.823511+00:00,650,650.0205883621034,0.094,0.088,0.0,0.103,0.119,0.208,3.33,0.065,0
FinalTest,3,2025-07-23T12:24:49.074919+00:00,800,800.0189982911581,0.087,0.082,0.0,0.096,0.108,0.179,4.658,0.061,0
FinalTest,4,2025-07-23T12:25:49.362359+00:00,950,950.0086224049248,0.094,0.088,0.0,0.109,0.121,0.184,4.697,0.06,0
FinalTest,5,2025-07-23T12:26:49.771753+00:00,1100,1099.9967790444314,0.096,0.088,0.0,0.111,0.129,0.228,3.66,0.059,0
FinalTest,6,2025-07-23T12:27:50.183874+00:00,1300,1300.005263981315,0.12,0.097,0.0,0.172,0.255,0.496,3.643,0.052,0
FinalTest,7,2025-07-23T12:28:50.694537+00:00,1500,1500.0061204263106,0.139,0.1,0.0,0.211,0.317,0.627,13.991,0.056,0
FinalTest,8,2025-07-23T12:29:51.217867+00:00,1700,1700.0052688829967,0.142,0.102,0.0,0.215,0.355,0.727,5.438,0.051,0
FinalTest,9,2025-07-23T12:30:51.824720+00:00,1900,1899.994819783683,0.123,0.099,0.0,0.169,0.232,0.516,5.38,0.054,1
FinalTest,10,2025-07-23T12:31:52.471489+00:00,2100,2099.9813221213167,0.151,0.118,0.0,0.229,0.335,0.675,4.46,0.05,1
FinalTest,11,2025-07-23T12:32:53.190936+00:00,2300,2300.0123763282636,0.169,0.129,0.0,0.26,0.383,0.869,7.427,0.051,0
FinalTest,12,2025-07-23T12:33:54.014677+00:00,2500,2500.0107570046184,0.163,0.116,0.0,0.27,0.396,0.875,7.063,0.048,0
FinalTest,13,2025-07-23T12:34:54.836771+00:00,2700,2699.8708570834597,0.186,0.124,0.0,0.273,0.444,1.277,20.291,0.048,1
FinalTest,14,2025-07-23T12:35:55.766519+00:00,2900,2899.149330404466,0.278,0.151,0.0,0.429,0.668,1.565,68.122,0.049,1
FinalTest,15,2025-07-23T12:36:56.885234+00:00,3100,3099.8927154883218,0.266,0.164,0.0,0.511,0.74,1.585,18.959,0.047,1
FinalTest,16,2025-07-23T12:37:57.878771+00:00,3300,3299.9953816164716,0.415,0.164,0.0,0.739,1.404,3.606,63.969,0.046,0
FinalTest,17,2025-07-23T12:38:58.980487+00:00,3500,3499.9991698172903,0.279,0.145,0.0,0.254,0.343,1.438,92.68,0.045,0
FinalTest,18,2025-07-23T12:40:00.172564+00:00,3700,3699.975184888211,0.809,0.183,0.0,0.664,1.079,12.032,214.443,0.046,0
FinalTest,19,2025-07-23T12:41:01.438484+00:00,3900,3899.979071908408,0.689,0.358,0.0,1.041,2.431,6.959,50.308,0.048,0
FinalTest,20,2025-07-23T12:42:02.675871+00:00,4000,3999.977157863775,1.075,0.306,0.0,1.035,3.117,15.141,169.39,0.047,0
FinalTest,21,2025-07-23T12:43:03.838172+00:00,3800,3800.0216253782196,0.701,0.319,0.0,1.26,2.869,7.523,49.278,0.048,0
FinalTest,22,2025-07-23T12:44:04.972235+00:00,3600,3599.989384111305,0.269,0.157,0.0,0.343,0.552,2.266,46.862,0.043,0
FinalTest,23,2025-07-23T12:45:06.023263+00:00,3400,3400.05757224931,0.281,0.148,0.0,0.332,0.505,1.563,89.407,0.046,0
FinalTest,24,2025-07-23T12:46:06.993011+00:00,3200,3200.002337679392,0.238,0.144,0.0,0.289,0.453,1.707,62.057,0.046,0
FinalTest,25,2025-07-23T12:47:07.955791+00:00,3000,3000.001877888708,0.216,0.135,0.0,0.357,0.551,1.474,31.722,0.045,0
FinalTest,26,2025-07-23T12:48:08.849175+00:00,2800,2800.003259743198,0.241,0.13,0.0,0.386,0.538,1.343,56.211,0.046,0
FinalTest,27,2025-07-23T12:49:09.714170+00:00,2600,2600.03596092404,0.255,0.153,0.0,0.467,0.607,1.417,37.189,0.046,0
FinalTest,28,2025-07-23T12:50:10.456666+00:00,2400,2400.0077558122566,0.234,0.141,0.0,0.414,0.537,1.164,43.597,0.048,0
FinalTest,29,2025-07-23T12:51:11.155245+00:00,2200,2200.0152707203106,0.202,0.133,0.0,0.386,0.502,0.783,20.736,0.049,0
FinalTest,30,2025-07-23T12:52:11.745279+00:00,2000,2000.0119088375764,0.141,0.096,0.0,0.185,0.291,0.572,41.517,0.048,0
