Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-07-24T16:24:39.144380+00:00,500,499.99855821443117,0.091,0.086,0.0,0.102,0.118,0.196,2.684,0.06,1
FinalTest,2,2025-07-24T16:25:39.344080+00:00,650,650.0127230565354,0.091,0.087,0.0,0.101,0.112,0.172,3.709,0.066,0
FinalTest,3,2025-07-24T16:26:39.592526+00:00,800,800.0215728350516,0.092,0.088,0.0,0.102,0.112,0.179,1.841,0.069,0
FinalTest,4,2025-07-24T16:27:39.878865+00:00,950,950.0134310207173,0.093,0.087,0.0,0.11,0.126,0.182,3.243,0.058,0
FinalTest,5,2025-07-24T16:28:40.253234+00:00,1100,1099.9663995581593,0.097,0.088,0.0,0.115,0.146,0.233,3.342,0.05,1
FinalTest,6,2025-07-24T16:29:40.686275+00:00,1300,1300.0056871132126,0.114,0.099,0.0,0.153,0.193,0.417,2.981,0.053,0
FinalTest,7,2025-07-24T16:30:41.151023+00:00,1500,1500.0016357282918,0.115,0.102,0.0,0.153,0.19,0.363,3.53,0.052,0
FinalTest,8,2025-07-24T16:31:41.732522+00:00,1700,1700.0126799385973,0.123,0.106,0.0,0.171,0.207,0.384,4.852,0.053,0
FinalTest,9,2025-07-24T16:32:42.303171+00:00,1900,1900.0106622898336,0.117,0.1,0.0,0.164,0.198,0.335,15.449,0.052,0
FinalTest,10,2025-07-24T16:33:42.966780+00:00,2100,2100.0143087974952,0.19,0.126,0.0,0.369,0.518,0.952,7.346,0.049,0
FinalTest,11,2025-07-24T16:34:43.701071+00:00,2300,2300.0079432690995,0.189,0.137,0.0,0.365,0.488,0.764,5.409,0.053,0
FinalTest,12,2025-07-24T16:35:44.482417+00:00,2500,2500.0030907121545,0.206,0.139,0.0,0.397,0.532,0.92,7.386,0.05,0
FinalTest,13,2025-07-24T16:36:45.388761+00:00,2700,2700.001190186885,0.339,0.155,0.0,0.467,0.67,4.04,54.814,0.046,0
FinalTest,14,2025-07-24T16:37:46.307121+00:00,2900,2899.944207823468,0.233,0.151,0.0,0.41,0.629,1.483,15.766,0.048,1
FinalTest,15,2025-07-24T16:38:47.320573+00:00,3100,3100.0020825297324,0.252,0.161,0.0,0.459,0.661,1.501,17.691,0.046,0
FinalTest,16,2025-07-24T16:39:48.341155+00:00,3300,3300.0008909024077,0.4,0.186,0.0,0.68,1.269,3.445,60.952,0.048,0
FinalTest,17,2025-07-24T16:40:49.497456+00:00,3500,3500.005566846714,0.211,0.143,0.0,0.374,0.544,1.354,12.142,0.045,0
FinalTest,18,2025-07-24T16:41:50.787999+00:00,3700,3700.008105112283,0.179,0.146,0.0,0.261,0.406,0.814,5.946,0.046,0
FinalTest,19,2025-07-24T16:42:51.997056+00:00,3900,3900.0158549433663,0.232,0.17,0.0,0.411,0.596,1.136,12.093,0.046,0
FinalTest,20,2025-07-24T16:43:53.217385+00:00,4000,3999.9999937332814,0.309,0.176,0.0,0.493,0.729,2.307,57.691,0.047,0
FinalTest,21,2025-07-24T16:44:54.468628+00:00,3800,3800.0094865819574,0.575,0.217,0.0,0.906,2.095,6.413,53.333,0.045,0
FinalTest,22,2025-07-24T16:45:55.604049+00:00,3600,3600.0672861927587,0.197,0.145,0.0,0.32,0.445,1.216,6.088,0.043,0
FinalTest,23,2025-07-24T16:46:56.694583+00:00,3400,3400.0124746135857,0.201,0.146,0.0,0.343,0.484,1.125,7.042,0.043,0
FinalTest,24,2025-07-24T16:47:57.701370+00:00,3200,3199.9017688957592,0.232,0.145,0.0,0.357,0.493,1.302,38.968,0.049,1
FinalTest,25,2025-07-24T16:48:58.622220+00:00,3000,3000.0081925223726,0.199,0.136,0.0,0.317,0.473,1.139,33.111,0.041,0
FinalTest,26,2025-07-24T16:49:59.499010+00:00,2800,2800.0118782410937,0.209,0.128,0.0,0.301,0.51,1.514,36.267,0.044,0
FinalTest,27,2025-07-24T16:51:00.321371+00:00,2600,2599.9953561420907,0.243,0.131,0.0,0.48,0.813,1.69,15.35,0.049,0
FinalTest,28,2025-07-24T16:52:01.049884+00:00,2400,2400.0114717218357,0.204,0.125,0.0,0.365,0.609,1.318,17.267,0.05,0
FinalTest,29,2025-07-24T16:53:01.726417+00:00,2200,2199.995425278189,0.124,0.112,0.0,0.169,0.199,0.328,4.153,0.049,1
FinalTest,30,2025-07-24T16:54:02.317279+00:00,2000,2000.0101707517217,0.108,0.097,0.0,0.141,0.163,0.258,13.883,0.047,0
