Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-09-10T16:51:48.591315+00:00,500,499.97522430926927,0.092,0.086,0.0,0.102,0.118,0.204,3.423,0.06,1
FinalTest,2,2025-09-10T16:52:48.789303+00:00,650,650.0195107906301,0.084,0.08,0.0,0.094,0.105,0.154,3.696,0.058,0
FinalTest,3,2025-09-10T16:53:49.056013+00:00,800,800.01567476045,0.085,0.081,0.0,0.093,0.105,0.169,3.928,0.06,0
FinalTest,4,2025-09-10T16:54:49.341081+00:00,950,950.010704150608,0.092,0.086,0.0,0.11,0.124,0.179,3.969,0.055,0
FinalTest,5,2025-09-10T16:55:49.681894+00:00,1100,1099.9671837795725,0.093,0.087,0.0,0.109,0.121,0.194,4.837,0.053,1
FinalTest,6,2025-09-10T16:56:50.124114+00:00,1300,1300.0126913955667,0.101,0.093,0.0,0.125,0.148,0.239,5.504,0.052,0
FinalTest,7,2025-09-10T16:57:50.633588+00:00,1500,1500.0028029947155,0.107,0.097,0.0,0.13,0.152,0.281,5.174,0.048,0
FinalTest,8,2025-09-10T16:58:51.166128+00:00,1700,1700.0101974894776,0.11,0.099,0.0,0.141,0.162,0.274,8.496,0.055,0
FinalTest,9,2025-09-10T16:59:51.779035+00:00,1900,1899.9898719713024,0.126,0.105,0.0,0.176,0.217,0.389,6.586,0.054,1
FinalTest,10,2025-09-10T17:00:52.465875+00:00,2100,2100.012924265447,0.128,0.112,0.0,0.177,0.21,0.334,6.705,0.049,0
FinalTest,11,2025-09-10T17:01:53.229224+00:00,2300,2300.013598560606,0.125,0.11,0.0,0.169,0.201,0.387,5.946,0.049,0
FinalTest,12,2025-09-10T17:02:54.093356+00:00,2500,2500.0109550480047,0.134,0.112,0.0,0.193,0.242,0.476,8.255,0.047,0
FinalTest,13,2025-09-10T17:03:54.989055+00:00,2700,2700.0085692334264,0.15,0.125,0.0,0.218,0.261,0.531,9.975,0.046,0
FinalTest,14,2025-09-10T17:04:55.858636+00:00,2900,2899.942199761612,0.155,0.128,0.0,0.219,0.269,0.637,10.93,0.044,1
FinalTest,15,2025-09-10T17:05:56.871248+00:00,3100,3100.0120145411584,0.137,0.123,0.0,0.183,0.224,0.501,8.139,0.043,0
FinalTest,16,2025-09-10T17:06:57.903333+00:00,3300,3299.915322327478,0.156,0.132,0.0,0.222,0.283,0.646,6.722,0.047,1
FinalTest,17,2025-09-10T17:07:59.103534+00:00,3500,3499.985904915097,0.191,0.135,0.0,0.224,0.279,1.036,51.118,0.044,0
FinalTest,18,2025-09-10T17:09:00.352879+00:00,3700,3699.9896954684486,0.224,0.153,0.0,0.246,0.318,1.78,60.943,0.044,0
FinalTest,19,2025-09-10T17:10:01.683015+00:00,3900,3900.005769408535,0.179,0.154,0.0,0.244,0.305,0.857,11.851,0.043,0
FinalTest,20,2025-09-10T17:11:02.946924+00:00,4000,4000.0075256808254,0.2,0.161,0.0,0.307,0.405,0.952,8.683,0.043,0
FinalTest,21,2025-09-10T17:12:04.116111+00:00,3800,3800.0386330788715,0.152,0.136,0.0,0.205,0.234,0.625,7.832,0.048,1
FinalTest,22,2025-09-10T17:13:05.224394+00:00,3600,3600.0057623492235,0.198,0.129,0.0,0.197,0.226,0.756,80.627,0.045,0
FinalTest,23,2025-09-10T17:14:06.273450+00:00,3400,3400.058344128508,0.239,0.133,0.0,0.229,0.32,1.997,78.812,0.044,0
FinalTest,24,2025-09-10T17:15:07.385657+00:00,3200,3199.99734080221,0.252,0.182,0.0,0.429,0.517,1.332,17.977,0.047,0
FinalTest,25,2025-09-10T17:16:08.344677+00:00,3000,3000.003347555666,0.248,0.194,0.0,0.412,0.486,1.254,11.739,0.043,0
FinalTest,26,2025-09-10T17:17:09.184058+00:00,2800,2800.020537019541,0.201,0.149,0.0,0.35,0.43,0.868,11.987,0.047,0
FinalTest,27,2025-09-10T17:18:09.991944+00:00,2600,2600.006567295353,0.139,0.106,0.0,0.178,0.234,0.775,14.704,0.049,0
FinalTest,28,2025-09-10T17:19:10.765340+00:00,2400,2400.013312193839,0.152,0.112,0.0,0.176,0.239,0.935,32.029,0.046,0
FinalTest,29,2025-09-10T17:20:11.419110+00:00,2200,2200.005246105329,0.115,0.1,0.0,0.148,0.179,0.362,16.059,0.048,0
FinalTest,30,2025-09-10T17:21:12.012390+00:00,2000,2000.002006235346,0.1,0.093,0.0,0.126,0.139,0.223,5.971,0.048,0
