Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-09-16T21:05:16.011244+00:00,500,500.01125735345033,0.096,0.089,0.0,0.108,0.128,0.193,3.511,0.068,0
FinalTest,2,2025-09-16T21:06:16.208448+00:00,650,650.0199072280035,0.094,0.087,0.0,0.103,0.121,0.214,5.348,0.067,0
FinalTest,3,2025-09-16T21:07:16.448575+00:00,800,800.0213796380126,0.086,0.082,0.0,0.096,0.108,0.168,3.514,0.06,0
FinalTest,4,2025-09-16T21:08:16.734300+00:00,950,950.0037778483567,0.094,0.087,0.0,0.11,0.125,0.21,4.664,0.058,0
FinalTest,5,2025-09-16T21:09:17.187558+00:00,1100,1100.010327575295,0.094,0.088,0.0,0.111,0.127,0.206,4.813,0.053,0
FinalTest,6,2025-09-16T21:10:17.647036+00:00,1300,1299.9820343046192,0.122,0.101,0.0,0.179,0.217,0.347,10.835,0.056,1
FinalTest,7,2025-09-16T21:11:18.130310+00:00,1500,1500.0075160626607,0.118,0.103,0.0,0.152,0.185,0.331,5.5,0.052,0
FinalTest,8,2025-09-16T21:12:18.694818+00:00,1700,1700.012487754159,0.123,0.104,0.0,0.174,0.213,0.353,5.962,0.057,0
FinalTest,9,2025-09-16T21:13:19.294223+00:00,1900,1899.9939238361317,0.132,0.105,0.0,0.201,0.247,0.421,13.02,0.049,1
FinalTest,10,2025-09-16T21:14:19.969842+00:00,2100,2099.981643223394,0.132,0.11,0.0,0.193,0.235,0.423,7.454,0.05,1
FinalTest,11,2025-09-16T21:15:20.660174+00:00,2300,2300.0075542528857,0.128,0.106,0.0,0.193,0.233,0.385,5.476,0.048,0
FinalTest,12,2025-09-16T21:16:21.461211+00:00,2500,2500.005441834403,0.152,0.112,0.0,0.261,0.329,0.55,6.77,0.047,0
FinalTest,13,2025-09-16T21:17:22.405746+00:00,2700,2700.003515414644,0.238,0.134,0.0,0.325,0.432,1.92,60.098,0.047,0
FinalTest,14,2025-09-16T21:18:23.307896+00:00,2900,2899.963885570297,0.162,0.129,0.0,0.243,0.314,0.695,7.661,0.047,1
FinalTest,15,2025-09-16T21:19:24.278063+00:00,3100,3099.954554485563,0.138,0.106,0.0,0.181,0.23,0.549,33.909,0.045,1
FinalTest,16,2025-09-16T21:20:25.477698+00:00,3300,3299.993752568608,0.309,0.137,0.0,0.229,0.299,2.229,109.518,0.047,0
FinalTest,17,2025-09-16T21:21:26.589784+00:00,3500,3500.002552076166,0.179,0.12,0.0,0.238,0.327,0.887,35.425,0.044,0
FinalTest,18,2025-09-16T21:22:27.857877+00:00,3700,3700.010690905362,0.204,0.146,0.0,0.276,0.388,1.428,30.148,0.047,0
FinalTest,19,2025-09-16T21:23:29.069213+00:00,3900,3899.9908843469293,0.579,0.143,0.0,0.386,0.624,6.919,148.649,0.043,0
FinalTest,20,2025-09-16T21:24:30.481820+00:00,4000,4000.0190373572714,0.381,0.198,0.0,0.591,0.831,3.94,48.465,0.046,0
FinalTest,21,2025-09-16T21:25:31.851857+00:00,3800,3799.9966952538853,0.343,0.167,0.0,0.32,0.442,3.178,84.244,0.044,0
FinalTest,22,2025-09-16T21:26:33.138536+00:00,3600,3599.7467739887516,0.3,0.161,0.0,0.295,0.43,3.193,83.079,0.045,1
FinalTest,23,2025-09-16T21:27:34.278579+00:00,3400,3399.880084130486,0.151,0.116,0.0,0.227,0.299,0.691,10.438,0.043,1
FinalTest,24,2025-09-16T21:28:35.283088+00:00,3200,3199.9898543264826,0.156,0.135,0.0,0.213,0.267,0.708,6.052,0.046,1
FinalTest,25,2025-09-16T21:29:36.193762+00:00,3000,2999.957722139626,0.189,0.124,0.0,0.206,0.269,0.999,66.556,0.042,1
FinalTest,26,2025-09-16T21:30:37.110847+00:00,2800,2800.0131667186606,0.131,0.114,0.0,0.184,0.214,0.419,12.14,0.047,0
FinalTest,27,2025-09-16T21:31:38.018065+00:00,2600,2600.0071324262326,0.128,0.107,0.0,0.184,0.231,0.453,5.816,0.043,0
FinalTest,28,2025-09-16T21:32:38.898918+00:00,2400,2400.0138251996395,0.161,0.114,0.0,0.159,0.187,0.385,62.4,0.047,0
FinalTest,29,2025-09-16T21:33:39.601209+00:00,2200,2199.9894968010044,0.137,0.113,0.0,0.205,0.248,0.461,5.601,0.048,1
FinalTest,30,2025-09-16T21:34:40.189747+00:00,2000,2000.0128353157056,0.116,0.098,0.0,0.165,0.206,0.325,5.85,0.047,0
