Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-07-24T13:33:32.615524+00:00,500,500.01392761294596,0.091,0.086,0.0,0.102,0.122,0.202,4.63,0.06,0
FinalTest,2,2025-07-24T13:34:32.815057+00:00,650,650.0137114433969,0.088,0.083,0.0,0.098,0.111,0.19,3.724,0.061,0
FinalTest,3,2025-07-24T13:35:33.055070+00:00,800,800.0280271952035,0.094,0.088,0.0,0.103,0.117,0.201,3.634,0.068,0
FinalTest,4,2025-07-24T13:36:33.343768+00:00,950,950.016362724765,0.091,0.085,0.0,0.11,0.125,0.18,4.169,0.053,0
FinalTest,5,2025-07-24T13:37:33.695555+00:00,1100,1100.0088765321373,0.093,0.087,0.0,0.11,0.123,0.193,3.688,0.051,0
FinalTest,6,2025-07-24T13:38:34.123905+00:00,1300,1300.0023819293642,0.1,0.091,0.0,0.123,0.145,0.251,4.985,0.049,0
FinalTest,7,2025-07-24T13:39:34.580337+00:00,1500,1500.0085334985467,0.106,0.094,0.0,0.138,0.172,0.276,5.511,0.05,0
FinalTest,8,2025-07-24T13:40:35.116083+00:00,1700,1699.9913603242053,0.108,0.096,0.0,0.138,0.167,0.291,9.653,0.051,1
FinalTest,9,2025-07-24T13:41:35.686814+00:00,1900,1900.0162110111123,0.109,0.096,0.0,0.143,0.17,0.28,6.811,0.052,0
FinalTest,10,2025-07-24T13:42:36.344259+00:00,2100,2100.0109476018524,0.116,0.101,0.0,0.15,0.181,0.367,5.188,0.05,0
FinalTest,11,2025-07-24T13:43:37.074959+00:00,2300,2300.0057839581245,0.117,0.104,0.0,0.156,0.18,0.322,4.618,0.05,0
FinalTest,12,2025-07-24T13:44:37.840641+00:00,2500,2500.0060940554818,0.124,0.109,0.0,0.159,0.185,0.427,13.389,0.049,0
FinalTest,13,2025-07-24T13:45:38.654885+00:00,2700,2699.844354662965,0.138,0.107,0.0,0.166,0.195,0.5,27.872,0.049,1
FinalTest,14,2025-07-24T13:46:39.633079+00:00,2900,2899.965059856885,0.132,0.107,0.0,0.175,0.214,0.514,27.17,0.046,1
FinalTest,15,2025-07-24T13:47:40.662422+00:00,3100,3100.0166711192824,0.135,0.111,0.0,0.203,0.248,0.487,8.188,0.047,0
FinalTest,16,2025-07-24T13:48:41.801385+00:00,3300,3300.001122033382,0.2,0.118,0.0,0.22,0.289,1.474,59.232,0.043,0
FinalTest,17,2025-07-24T13:49:42.922213+00:00,3500,3499.9716809942815,0.272,0.118,0.0,0.223,0.287,1.295,116.438,0.043,0
FinalTest,18,2025-07-24T13:50:44.062540+00:00,3700,3699.995628614856,0.135,0.115,0.0,0.189,0.229,0.528,8.295,0.044,0
FinalTest,19,2025-07-24T13:51:45.402958+00:00,3900,3899.7005716924773,0.26,0.163,0.0,0.289,0.405,2.369,52.461,0.045,1
FinalTest,20,2025-07-24T13:52:46.692412+00:00,4000,4000.0071701760617,0.348,0.145,0.0,0.306,0.41,3.896,103.575,0.045,0
FinalTest,21,2025-07-24T13:53:47.916499+00:00,3800,3799.991154792717,0.526,0.16,0.0,0.303,0.403,3.699,177.247,0.045,0
FinalTest,22,2025-07-24T13:54:49.135044+00:00,3600,3600.018907678437,0.148,0.131,0.0,0.199,0.231,0.612,9.812,0.046,0
FinalTest,23,2025-07-24T13:55:50.232935+00:00,3400,3400.0033116961263,0.203,0.117,0.0,0.246,0.333,0.868,71.69,0.044,0
FinalTest,24,2025-07-24T13:56:51.266575+00:00,3200,3199.9239009249327,0.146,0.113,0.0,0.221,0.285,0.645,14.242,0.045,1
FinalTest,25,2025-07-24T13:57:52.231296+00:00,3000,3000.010177444652,0.186,0.111,0.0,0.214,0.281,1.112,60.962,0.045,0
FinalTest,26,2025-07-24T13:58:53.074646+00:00,2800,2800.009119163033,0.125,0.108,0.0,0.171,0.205,0.43,6.156,0.048,0
FinalTest,27,2025-07-24T13:59:53.880809+00:00,2600,2600.0055415896218,0.114,0.099,0.0,0.152,0.177,0.35,6.339,0.044,0
FinalTest,28,2025-07-24T14:00:54.603578+00:00,2400,2399.994203454,0.117,0.109,0.0,0.147,0.168,0.352,5.945,0.049,1
FinalTest,29,2025-07-24T14:01:55.279580+00:00,2200,2199.985482685856,0.113,0.102,0.0,0.144,0.165,0.33,5.132,0.051,1
FinalTest,30,2025-07-24T14:02:55.875445+00:00,2000,2000.010757791198,0.105,0.095,0.0,0.135,0.153,0.261,6.806,0.048,0
