Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-07-24T16:55:17.563464+00:00,500,500.01585004409856,0.091,0.086,0.0,0.101,0.119,0.217,3.526,0.063,0
FinalTest,2,2025-07-24T16:56:17.762787+00:00,650,650.0131531614035,0.092,0.088,0.0,0.102,0.114,0.168,3.293,0.067,0
FinalTest,3,2025-07-24T16:57:18.004400+00:00,800,800.0266887970018,0.091,0.087,0.0,0.101,0.111,0.178,1.712,0.065,0
FinalTest,4,2025-07-24T16:58:18.290023+00:00,950,950.0053687653406,0.092,0.087,0.0,0.11,0.124,0.175,2.9,0.052,0
FinalTest,5,2025-07-24T16:59:18.625509+00:00,1100,1100.0018646681608,0.093,0.088,0.0,0.109,0.122,0.193,3.176,0.05,0
FinalTest,6,2025-07-24T17:00:19.022612+00:00,1300,1300.0126418491946,0.098,0.091,0.0,0.122,0.142,0.224,2.413,0.051,0
FinalTest,7,2025-07-24T17:01:19.478671+00:00,1500,1500.0157787909784,0.104,0.094,0.0,0.128,0.151,0.27,3.169,0.053,0
FinalTest,8,2025-07-24T17:02:20.009634+00:00,1700,1700.0103857402692,0.107,0.097,0.0,0.138,0.162,0.266,3.177,0.052,0
FinalTest,9,2025-07-24T17:03:20.596486+00:00,1900,1900.007328106597,0.111,0.097,0.0,0.147,0.178,0.283,12.357,0.048,0
FinalTest,10,2025-07-24T17:04:21.274079+00:00,2100,2100.006676937554,0.112,0.101,0.0,0.146,0.167,0.274,3.575,0.05,0
FinalTest,11,2025-07-24T17:05:21.983209+00:00,2300,2300.011314215657,0.119,0.107,0.0,0.159,0.186,0.308,3.6,0.048,0
FinalTest,12,2025-07-24T17:06:22.833501+00:00,2500,2500.0078543377335,0.123,0.108,0.0,0.166,0.204,0.357,3.595,0.048,0
FinalTest,13,2025-07-24T17:07:23.656846+00:00,2700,2700.004277806517,0.126,0.111,0.0,0.175,0.212,0.374,4.91,0.048,0
FinalTest,14,2025-07-24T17:08:24.587794+00:00,2900,2899.9070067864363,0.13,0.113,0.0,0.178,0.218,0.437,5.134,0.043,1
FinalTest,15,2025-07-24T17:09:25.556045+00:00,3100,3100.0186181951512,0.142,0.128,0.0,0.19,0.227,0.498,5.696,0.047,0
FinalTest,16,2025-07-24T17:10:26.596420+00:00,3300,3299.8418073084117,0.287,0.139,0.0,0.231,0.303,0.991,104.523,0.046,1
FinalTest,17,2025-07-24T17:11:27.676811+00:00,3500,3500.009908383566,0.155,0.135,0.0,0.216,0.26,0.584,13.353,0.043,0
FinalTest,18,2025-07-24T17:12:28.933794+00:00,3700,3700.0175512799224,0.148,0.135,0.0,0.199,0.226,0.537,14.485,0.046,0
FinalTest,19,2025-07-24T17:13:30.249026+00:00,3900,3900.0055728408142,0.178,0.154,0.0,0.246,0.308,0.782,7.154,0.045,0
FinalTest,20,2025-07-24T17:14:31.612576+00:00,4000,3999.978810402336,0.4,0.163,0.0,0.354,0.497,2.242,130.033,0.044,0
FinalTest,21,2025-07-24T17:15:32.834152+00:00,3800,3800.002018449925,0.237,0.151,0.0,0.299,0.386,1.583,61.808,0.045,1
FinalTest,22,2025-07-24T17:16:33.944978+00:00,3600,3600.0144901387403,0.152,0.129,0.0,0.216,0.293,0.575,6.053,0.04,0
FinalTest,23,2025-07-24T17:17:35.049980+00:00,3400,3400.009696555186,0.157,0.13,0.0,0.236,0.293,0.6,6.206,0.043,0
FinalTest,24,2025-07-24T17:18:36.056186+00:00,3200,3199.9693946405755,0.149,0.127,0.0,0.219,0.274,0.531,4.702,0.043,1
FinalTest,25,2025-07-24T17:19:36.965743+00:00,3000,3000.0061180971225,0.143,0.122,0.0,0.204,0.253,0.493,9.581,0.044,0
FinalTest,26,2025-07-24T17:20:37.831395+00:00,2800,2800.007767794023,0.125,0.109,0.0,0.169,0.198,0.352,14.692,0.046,0
FinalTest,27,2025-07-24T17:21:38.619031+00:00,2600,2600.0054209679693,0.116,0.103,0.0,0.157,0.185,0.34,3.967,0.047,0
FinalTest,28,2025-07-24T17:22:39.341137+00:00,2400,2400.0170740933704,0.114,0.107,0.0,0.149,0.172,0.283,3.953,0.044,0
FinalTest,29,2025-07-24T17:23:40.025012+00:00,2200,2200.003877446208,0.113,0.102,0.0,0.147,0.17,0.281,14.74,0.048,0
FinalTest,30,2025-07-24T17:24:40.616908+00:00,2000,2000.0114815615918,0.105,0.096,0.0,0.137,0.156,0.25,2.989,0.048,0
