Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-09-04T15:53:28.977604+00:00,500,500.0158526942665,0.112,0.094,0.0,0.152,0.198,0.356,4.063,0.058,0
FinalTest,2,2025-09-04T15:54:29.203405+00:00,650,650.0144749773389,0.233,0.122,0.0,0.305,0.614,2.937,4.346,0.066,0
FinalTest,3,2025-09-04T15:55:29.491437+00:00,800,800.0108853215519,0.122,0.105,0.0,0.172,0.223,0.364,3.848,0.064,1
FinalTest,4,2025-09-04T15:56:29.811987+00:00,950,950.015662215107,0.12,0.099,0.0,0.162,0.21,0.404,4.134,0.056,0
FinalTest,5,2025-09-04T15:57:30.215323+00:00,1100,1099.9699668882254,0.162,0.117,0.0,0.212,0.301,1.265,4.503,0.058,1
FinalTest,6,2025-09-04T15:58:30.690063+00:00,1300,1300.0017203789432,0.175,0.113,0.0,0.237,0.348,1.714,5.476,0.056,0
FinalTest,7,2025-09-04T15:59:31.210639+00:00,1500,1500.0038176597163,0.171,0.115,0.0,0.256,0.357,1.179,4.795,0.057,0
FinalTest,8,2025-09-04T16:00:31.845133+00:00,1700,1700.0089462687463,0.2,0.116,0.0,0.354,0.513,1.344,11.196,0.055,0
FinalTest,9,2025-09-04T16:01:32.490718+00:00,1900,1900.0067910013693,0.206,0.138,0.0,0.327,0.456,1.313,10.166,0.047,0
FinalTest,10,2025-09-04T16:02:33.221508+00:00,2100,2100.0137538525696,0.221,0.142,0.0,0.343,0.54,1.632,11.987,0.048,0
FinalTest,11,2025-09-04T16:03:34.021459+00:00,2300,2299.9998083580713,0.192,0.134,0.0,0.29,0.392,1.493,7.661,0.05,0
FinalTest,12,2025-09-04T16:04:34.857394+00:00,2500,2499.9963338314938,0.359,0.189,0.0,0.638,1.181,3.056,36.879,0.049,0
FinalTest,13,2025-09-04T16:05:35.711877+00:00,2700,2699.910282248322,0.233,0.143,0.0,0.345,0.554,2.09,29.711,0.051,1
FinalTest,14,2025-09-04T16:06:36.840060+00:00,2900,2899.6392278412795,0.191,0.132,0.0,0.287,0.404,1.105,24.396,0.047,1
FinalTest,15,2025-09-04T16:07:37.907747+00:00,3100,3100.019639657757,0.19,0.139,0.0,0.265,0.367,1.046,20.794,0.047,0
FinalTest,16,2025-09-04T16:08:39.047602+00:00,3300,3299.8861763637146,0.246,0.127,0.0,0.282,0.527,2.411,56.396,0.048,1
FinalTest,17,2025-09-04T16:09:40.312009+00:00,3500,3499.9927180388077,0.457,0.172,0.0,0.637,1.165,4.742,99.33,0.047,0
FinalTest,18,2025-09-04T16:10:41.671876+00:00,3700,3699.8653980318118,0.389,0.148,0.0,0.695,1.481,4.614,45.741,0.044,1
FinalTest,19,2025-09-04T16:11:43.071509+00:00,3900,3899.986280628262,0.548,0.175,0.0,0.511,0.753,3.581,171.348,0.045,0
FinalTest,20,2025-09-04T16:12:44.398246+00:00,4000,3999.9799225831407,1.153,0.271,0.0,1.002,3.102,16.354,219.633,0.05,0
FinalTest,21,2025-09-04T16:13:45.757275+00:00,3800,3800.0069022692037,0.373,0.197,0.0,0.552,1.047,3.719,44.711,0.048,0
FinalTest,22,2025-09-04T16:14:46.928475+00:00,3600,3599.9962371039333,0.772,0.225,0.0,1.464,3.954,9.947,46.923,0.046,0
FinalTest,23,2025-09-04T16:15:48.049295+00:00,3400,3399.9838220243414,0.887,0.158,0.0,0.559,1.204,9.404,223.196,0.044,0
FinalTest,24,2025-09-04T16:16:49.018238+00:00,3200,3199.9736315386044,0.165,0.132,0.0,0.239,0.362,0.743,7.88,0.042,1
FinalTest,25,2025-09-04T16:17:50.091441+00:00,3000,3000.0008417882464,0.282,0.161,0.0,0.456,0.681,2.455,34.933,0.048,0
FinalTest,26,2025-09-04T16:18:50.989025+00:00,2800,2799.984258581831,0.266,0.179,0.0,0.465,0.638,1.741,20.971,0.046,1
FinalTest,27,2025-09-04T16:19:51.826946+00:00,2600,2600.0012266196377,0.259,0.166,0.0,0.443,0.608,1.671,34.357,0.048,1
FinalTest,28,2025-09-04T16:20:52.614247+00:00,2400,2399.9718623216127,0.177,0.122,0.0,0.292,0.399,0.993,17.55,0.048,1
FinalTest,29,2025-09-04T16:21:53.326791+00:00,2200,2199.920865288969,0.117,0.1,0.0,0.161,0.198,0.367,4.303,0.048,1
FinalTest,30,2025-09-04T16:22:53.931160+00:00,2000,2000.032875640395,0.114,0.099,0.0,0.158,0.193,0.326,11.613,0.047,0
