Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-09-01T15:49:56.881347+00:00,500,500.01270513116583,0.158,0.12,0.0,0.258,0.42,0.792,4.357,0.058,0
FinalTest,2,2025-09-01T15:50:57.089264+00:00,650,650.0225931711159,0.174,0.095,0.0,0.374,0.513,0.989,4.801,0.057,0
FinalTest,3,2025-09-01T15:51:57.349732+00:00,800,800.0004690136083,0.183,0.097,0.0,0.401,0.59,1.058,5.463,0.057,0
FinalTest,4,2025-09-01T15:52:57.691260+00:00,950,950.0067475020913,0.213,0.121,0.0,0.298,0.571,2.518,8.356,0.052,0
FinalTest,5,2025-09-01T15:53:58.066473+00:00,1100,1099.97052605992,0.196,0.115,0.0,0.385,0.537,1.032,5.291,0.055,1
FinalTest,6,2025-09-01T15:54:58.532450+00:00,1300,1300.0070150111874,0.184,0.114,0.0,0.307,0.457,1.354,5.948,0.05,0
FinalTest,7,2025-09-01T15:55:58.994339+00:00,1500,1500.0120069793677,0.141,0.108,0.0,0.214,0.288,0.561,6.127,0.053,0
FinalTest,8,2025-09-01T15:56:59.556394+00:00,1700,1700.010004053616,0.233,0.134,0.0,0.378,0.609,2.527,12.839,0.05,0
FinalTest,9,2025-09-01T15:58:00.147611+00:00,1900,1900.01359361483,0.24,0.141,0.0,0.427,0.649,2.235,10.294,0.056,0
FinalTest,10,2025-09-01T15:59:00.777458+00:00,2100,2100.0125500379377,0.214,0.14,0.0,0.354,0.519,1.641,10.699,0.05,0
FinalTest,11,2025-09-01T16:00:01.492124+00:00,2300,2300.0126511512462,0.167,0.129,0.0,0.24,0.318,0.898,9.223,0.048,0
FinalTest,12,2025-09-01T16:01:02.272491+00:00,2500,2500.0032969626814,0.207,0.14,0.0,0.306,0.457,1.88,13.104,0.042,0
FinalTest,13,2025-09-01T16:02:03.087474+00:00,2700,2699.9953461972336,0.199,0.147,0.0,0.286,0.397,1.423,10.145,0.047,0
FinalTest,14,2025-09-01T16:03:03.971479+00:00,2900,2899.9441690496387,0.177,0.143,0.0,0.257,0.33,0.828,12.77,0.044,1
FinalTest,15,2025-09-01T16:04:04.871210+00:00,3100,3099.996419088965,0.326,0.152,0.0,0.408,0.791,3.035,83.136,0.044,0
FinalTest,16,2025-09-01T16:05:06.099504+00:00,3300,3299.9289934575972,0.211,0.14,0.0,0.292,0.462,1.961,10.054,0.043,0
FinalTest,17,2025-09-01T16:06:07.167353+00:00,3500,3500.0023335571136,0.336,0.176,0.0,0.484,0.936,3.198,60.396,0.043,0
FinalTest,18,2025-09-01T16:07:08.329333+00:00,3700,3699.993944140524,0.35,0.166,0.0,0.309,0.463,2.526,110.823,0.047,0
FinalTest,19,2025-09-01T16:08:09.688600+00:00,3900,3899.988806316631,0.536,0.175,0.0,0.379,0.673,4.771,161.416,0.047,0
FinalTest,20,2025-09-01T16:09:10.900472+00:00,4000,4000.006655677741,0.341,0.188,0.0,0.436,0.875,3.405,55.34,0.049,0
FinalTest,21,2025-09-01T16:10:12.160672+00:00,3800,3799.9785631175987,0.637,0.183,0.0,0.478,0.939,4.595,174.747,0.045,0
FinalTest,22,2025-09-01T16:11:13.274295+00:00,3600,3600.0069696734936,0.388,0.2,0.0,0.622,1.311,3.162,62.424,0.051,0
FinalTest,23,2025-09-01T16:12:14.331043+00:00,3400,3399.9954348261294,0.442,0.166,0.0,0.42,0.743,2.7,158.814,0.043,0
FinalTest,24,2025-09-01T16:13:15.325390+00:00,3200,3200.0030452295646,0.167,0.126,0.0,0.194,0.239,1.601,8.091,0.044,0
FinalTest,25,2025-09-01T16:14:16.392937+00:00,3000,3000.0091961937665,0.265,0.153,0.0,0.447,0.757,2.521,14.922,0.042,0
FinalTest,26,2025-09-01T16:15:17.256721+00:00,2800,2800.012122964648,0.276,0.16,0.0,0.517,0.822,2.06,12.534,0.045,0
FinalTest,27,2025-09-01T16:16:18.055655+00:00,2600,2599.9880807943805,0.26,0.149,0.0,0.465,0.716,1.752,31.824,0.047,0
FinalTest,28,2025-09-01T16:17:18.807740+00:00,2400,2400.0086528180404,0.184,0.129,0.0,0.289,0.436,1.067,11.881,0.046,0
FinalTest,29,2025-09-01T16:18:19.484673+00:00,2200,2199.964244517608,0.127,0.11,0.0,0.176,0.211,0.359,4.656,0.049,1
FinalTest,30,2025-09-01T16:19:20.081228+00:00,2000,2000.0351686517395,0.139,0.107,0.0,0.176,0.218,0.767,8.838,0.048,0
