Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-07-24T12:01:36.031848+00:00,500,500.0091440838922,0.135,0.098,0.0,0.173,0.224,0.856,4.531,0.062,0
FinalTest,2,2025-07-24T12:02:36.278742+00:00,650,649.9950615842265,0.108,0.094,0.0,0.151,0.174,0.267,3.431,0.06,1
FinalTest,3,2025-07-24T12:03:36.544480+00:00,800,800.0103802546854,0.106,0.091,0.0,0.138,0.16,0.28,4.867,0.059,0
FinalTest,4,2025-07-24T12:04:36.875650+00:00,950,950.0138826478685,0.209,0.127,0.0,0.363,0.495,1.822,4.832,0.062,0
FinalTest,5,2025-07-24T12:05:37.316583+00:00,1100,1099.9120297012053,0.161,0.117,0.0,0.289,0.387,0.613,4.794,0.057,1
FinalTest,6,2025-07-24T12:06:37.782858+00:00,1300,1300.0025995285314,0.15,0.109,0.0,0.265,0.4,0.623,5.31,0.052,0
FinalTest,7,2025-07-24T12:07:38.335883+00:00,1500,1500.0059598236796,0.162,0.112,0.0,0.265,0.363,0.74,17.378,0.048,0
FinalTest,8,2025-07-24T12:08:38.961682+00:00,1700,1700.0002264116968,0.215,0.127,0.0,0.342,0.516,2.045,14.729,0.058,0
FinalTest,9,2025-07-24T12:09:39.586692+00:00,1900,1900.0052170026581,0.224,0.159,0.0,0.381,0.522,0.955,28.195,0.055,0
FinalTest,10,2025-07-24T12:10:40.313407+00:00,2100,2100.0110414030532,0.198,0.139,0.0,0.351,0.494,0.95,8.265,0.056,0
FinalTest,11,2025-07-24T12:11:41.029858+00:00,2300,2300.010011187787,0.195,0.132,0.0,0.329,0.484,1.299,13.584,0.055,0
FinalTest,12,2025-07-24T12:12:41.862369+00:00,2500,2499.943467310608,0.156,0.115,0.0,0.197,0.286,1.147,9.851,0.051,1
FinalTest,13,2025-07-24T12:13:42.851849+00:00,2700,2700.000951401129,0.317,0.154,0.0,0.599,1.033,2.834,26.903,0.052,0
FinalTest,14,2025-07-24T12:14:43.893915+00:00,2900,2900.002533269664,0.278,0.147,0.0,0.565,0.834,1.915,31.51,0.049,0
FinalTest,15,2025-07-24T12:15:45.012819+00:00,3100,3099.554903394202,0.41,0.161,0.0,0.616,1.152,4.592,73.553,0.045,1
FinalTest,16,2025-07-24T12:16:46.160440+00:00,3300,3299.9940910390706,0.349,0.161,0.0,0.603,1.043,3.456,39.136,0.043,0
FinalTest,17,2025-07-24T12:17:47.288262+00:00,3500,3500.0093421639085,0.511,0.178,0.0,0.883,2.184,6.448,37.398,0.048,0
FinalTest,18,2025-07-24T12:18:48.450145+00:00,3700,3699.982335085577,0.305,0.174,0.0,0.383,0.617,2.722,63.298,0.046,0
FinalTest,19,2025-07-24T12:19:49.864161+00:00,3900,3900.004499310313,0.192,0.162,0.0,0.27,0.359,0.896,6.116,0.046,0
FinalTest,20,2025-07-24T12:20:51.147095+00:00,4000,3999.9965561455674,0.226,0.177,0.0,0.318,0.466,1.421,10.961,0.047,0
FinalTest,21,2025-07-24T12:21:52.334379+00:00,3800,3799.806947453401,0.337,0.192,0.0,0.471,0.971,2.914,38.984,0.048,1
FinalTest,22,2025-07-24T12:22:53.596700+00:00,3600,3599.9967663612674,0.416,0.181,0.0,0.35,0.532,3.931,120.005,0.047,0
FinalTest,23,2025-07-24T12:23:54.724045+00:00,3400,3400.0480167527376,0.199,0.152,0.0,0.292,0.407,1.124,12.19,0.046,0
FinalTest,24,2025-07-24T12:24:55.838071+00:00,3200,3200.001659493457,0.216,0.151,0.0,0.345,0.497,1.52,10.646,0.045,0
FinalTest,25,2025-07-24T12:25:56.884916+00:00,3000,3000.027699418533,0.258,0.148,0.0,0.379,0.656,2.451,37.457,0.044,0
FinalTest,26,2025-07-24T12:26:57.773476+00:00,2800,2800.009483571687,0.2,0.144,0.0,0.309,0.454,1.077,11.187,0.051,0
FinalTest,27,2025-07-24T12:27:58.580551+00:00,2600,2600.002809695725,0.156,0.122,0.0,0.235,0.312,0.722,12.814,0.055,0
FinalTest,28,2025-07-24T12:28:59.341990+00:00,2400,2400.0247715356763,0.144,0.115,0.0,0.208,0.284,0.624,6.51,0.05,0
FinalTest,29,2025-07-24T12:30:00.023946+00:00,2200,2200.0069097083688,0.155,0.101,0.0,0.156,0.222,2.035,14.603,0.051,0
FinalTest,30,2025-07-24T12:31:00.624159+00:00,2000,1999.9335166191472,0.119,0.095,0.0,0.132,0.157,0.546,11.29,0.052,1
