Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-07-24T15:23:20.737746+00:00,500,499.9957991035976,0.138,0.097,0.0,0.175,0.237,0.927,5.569,0.062,1
FinalTest,2,2025-07-24T15:24:20.954977+00:00,650,650.0185026033383,0.107,0.09,0.0,0.149,0.199,0.291,3.886,0.063,0
FinalTest,3,2025-07-24T15:25:21.231305+00:00,800,800.0202783273335,0.137,0.091,0.0,0.177,0.245,1.308,4.624,0.06,0
FinalTest,4,2025-07-24T15:26:21.591005+00:00,950,950.0044129446657,0.284,0.134,0.0,0.606,0.851,2.665,8.92,0.06,0
FinalTest,5,2025-07-24T15:27:21.984504+00:00,1100,1099.9355245698887,0.194,0.124,0.0,0.395,0.52,0.805,7.405,0.053,1
FinalTest,6,2025-07-24T15:28:22.440762+00:00,1300,1300.020606518299,0.172,0.109,0.0,0.344,0.461,0.786,7.218,0.056,0
FinalTest,7,2025-07-24T15:29:22.985999+00:00,1500,1499.9573816359177,0.176,0.11,0.0,0.286,0.444,1.232,9.974,0.055,0
FinalTest,8,2025-07-24T15:30:23.659902+00:00,1700,1699.9909001061624,0.27,0.176,0.0,0.484,0.673,1.938,12.021,0.057,0
FinalTest,9,2025-07-24T15:31:24.368742+00:00,1900,1900.0140687842495,0.294,0.182,0.0,0.543,0.777,2.028,11.666,0.056,0
FinalTest,10,2025-07-24T15:32:25.039254+00:00,2100,2099.9985612209857,0.247,0.135,0.0,0.479,0.691,1.76,13.529,0.049,0
FinalTest,11,2025-07-24T15:33:25.836826+00:00,2300,2300.0136513487696,0.305,0.156,0.0,0.511,0.83,3.04,30.141,0.051,0
FinalTest,12,2025-07-24T15:34:26.689180+00:00,2500,2500.0109317144675,0.166,0.12,0.0,0.236,0.308,1.21,5.889,0.049,0
FinalTest,13,2025-07-24T15:35:27.556982+00:00,2700,2700.000602473082,0.259,0.158,0.0,0.317,0.421,1.798,70.544,0.05,0
FinalTest,14,2025-07-24T15:36:28.603886+00:00,2900,2899.9544834262238,0.196,0.158,0.0,0.302,0.382,0.89,7.786,0.052,1
FinalTest,15,2025-07-24T15:37:29.627805+00:00,3100,3100.0006978543274,0.293,0.149,0.0,0.273,0.391,2.164,79.086,0.045,0
FinalTest,16,2025-07-24T15:38:30.759406+00:00,3300,3299.9823739184576,0.395,0.195,0.0,0.567,0.775,3.989,74.351,0.048,0
FinalTest,17,2025-07-24T15:39:32.022173+00:00,3500,3499.9900263759146,0.499,0.199,0.0,0.53,1.029,5.217,114.549,0.046,0
FinalTest,18,2025-07-24T15:40:33.145718+00:00,3700,3700.009665554198,0.254,0.174,0.0,0.313,0.425,1.936,49.255,0.047,0
FinalTest,19,2025-07-24T15:41:34.512111+00:00,3900,3900.060782659217,0.2,0.158,0.0,0.282,0.384,1.116,10.222,0.044,0
FinalTest,20,2025-07-24T15:42:35.848320+00:00,4000,3999.726182478625,1.022,0.32,0.0,0.87,2.549,14.737,191.731,0.048,0
FinalTest,21,2025-07-24T15:43:37.126569+00:00,3800,3800.0478187620097,1.189,0.257,0.0,1.219,2.841,15.381,230.12,0.047,0
FinalTest,22,2025-07-24T15:44:38.306260+00:00,3600,3600.001851262856,0.596,0.178,0.0,0.813,1.449,6.02,119.667,0.048,0
FinalTest,23,2025-07-24T15:45:39.446827+00:00,3400,3399.976078804374,0.363,0.165,0.0,0.474,0.707,3.219,83.15,0.046,0
FinalTest,24,2025-07-24T15:46:40.559304+00:00,3200,3199.9856639148916,0.461,0.246,0.0,0.686,1.34,4.275,61.298,0.045,0
FinalTest,25,2025-07-24T15:47:41.588958+00:00,3000,3000.0061731479595,0.298,0.18,0.0,0.469,0.691,2.702,33.055,0.046,0
FinalTest,26,2025-07-24T15:48:42.595623+00:00,2800,2800.0065277030294,0.358,0.176,0.0,0.46,0.645,2.619,101.902,0.048,0
FinalTest,27,2025-07-24T15:49:43.503954+00:00,2600,2600.016363678093,0.184,0.132,0.0,0.294,0.406,0.996,15.043,0.044,0
FinalTest,28,2025-07-24T15:50:44.270856+00:00,2400,2400.006862280609,0.146,0.118,0.0,0.189,0.242,0.614,19.3,0.05,0
FinalTest,29,2025-07-24T15:51:44.955069+00:00,2200,2200.002002512164,0.152,0.108,0.0,0.216,0.278,1.091,8.39,0.049,0
FinalTest,30,2025-07-24T15:52:45.566795+00:00,2000,2000.0066526221285,0.117,0.099,0.0,0.156,0.204,0.343,3.917,0.048,0
