Test_ID,Replicas,Interference_Name,Interference_ID,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Errors
1replicas_scenario51_100rps,1,1_CPU_1_L3,51,100,100.00545777952398,0.298,0.295,0.0,0.385,0.423,0.532,2.38,0
1replicas_scenario52_100rps,1,1_CPU_1_MemBW,52,100,100.00531867731267,0.302,0.297,0.0,0.421,0.513,0.622,1.332,0
1replicas_scenario53_100rps,1,1_CPU_2_MemBW,53,100,100.00526820752548,0.319,0.301,0.0,0.47,0.541,0.648,1.918,0
1replicas_scenario54_100rps,1,2_CPU_1_MemBW,54,100,100.00537900765501,0.282,0.26,0.0,0.41,0.485,0.611,2.132,0
1replicas_scenario55_100rps,1,1_CPU_2_L3,55,100,100.00514662041896,0.382,0.33,0.0,0.659,0.819,0.924,2.684,0
1replicas_scenario56_100rps,1,1_CPU_1_L3_1_MemBW,56,100,100.00506176786864,0.297,0.287,0.0,0.411,0.457,0.515,2.517,0
1replicas_scenario57_100rps,1,2_CPU_1_L3,57,100,100.005179807179,0.273,0.286,0.0,0.367,0.397,0.464,2.423,0
1replicas_scenario58_100rps,1,1_L3_3_MemBW,58,100,100.00498755930063,0.408,0.358,0.0,0.602,0.692,0.832,3.958,0
1replicas_scenario51_500rps,1,1_CPU_1_L3,51,500,500.00494180162013,0.134,0.129,0.0,0.179,0.207,0.302,3.797,0
1replicas_scenario52_500rps,1,1_CPU_1_MemBW,52,500,500.0026547613177,0.107,0.099,0.0,0.138,0.162,0.233,2.865,0
1replicas_scenario53_500rps,1,1_CPU_2_MemBW,53,500,500.0025585380921,0.115,0.108,0.0,0.147,0.175,0.257,2.612,0
1replicas_scenario54_500rps,1,2_CPU_1_MemBW,54,500,500.0055326639978,0.111,0.101,0.0,0.154,0.179,0.238,3.72,0
1replicas_scenario55_500rps,1,1_CPU_2_L3,55,500,500.0030769356016,0.221,0.155,0.0,0.472,0.541,0.647,3.075,0
1replicas_scenario56_500rps,1,1_CPU_1_L3_1_MemBW,56,500,500.0039588785674,0.154,0.138,0.0,0.251,0.298,0.377,3.552,0
1replicas_scenario57_500rps,1,2_CPU_1_L3,57,500,500.00507936271043,0.132,0.128,0.0,0.177,0.202,0.288,3.534,0
1replicas_scenario58_500rps,1,1_L3_3_MemBW,58,500,500.00452189645034,0.211,0.169,0.0,0.373,0.509,0.652,3.91,0
1replicas_scenario51_1000rps,1,1_CPU_1_L3,51,1000,1000.0042095621648,0.126,0.119,0.0,0.171,0.199,0.273,3.474,0
1replicas_scenario52_1000rps,1,1_CPU_1_MemBW,52,1000,1000.0028066412106,0.1,0.094,0.0,0.123,0.138,0.19,3.703,0
1replicas_scenario53_1000rps,1,1_CPU_2_MemBW,53,1000,1000.0050381587163,0.107,0.099,0.0,0.145,0.172,0.231,2.954,0
1replicas_scenario54_1000rps,1,2_CPU_1_MemBW,54,1000,1000.0056772044527,0.117,0.101,0.0,0.18,0.205,0.255,3.472,0
1replicas_scenario55_1000rps,1,1_CPU_2_L3,55,1000,1000.000737689433,0.183,0.141,0.0,0.374,0.458,0.56,3.058,0
1replicas_scenario56_1000rps,1,1_CPU_1_L3_1_MemBW,56,1000,1000.0009344619842,0.144,0.129,0.0,0.229,0.282,0.368,3.633,0
