System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-24,02:16:08.142,1.13,85.23,0.00,1.13,85.23,0.00,1.82,0.01,0.02,1.08,86.99,0.00,3.64,72.75,1.49,0.01,0.03,2.46,87.35,0.00,2.98,59.53,3.66,0.00,0.03,2.19,89.02,0.00,7.33,146.54,0.52,0.01,0.07,0.42,75.95,0.00,1.04,20.88,0.60,0.01,0.06,0.40,87.65,0.00,1.20,24.04,0.67,0.01,0.10,0.76,89.04,0.00,1.34,26.76,0.61,0.01,0.17,0.88,90.33,0.00,1.21,24.23,0.62,0.01,0.12,0.84,75.54,0.00,1.24,24.87
2025-07-24,02:16:10.143,1.42,98.58,0.00,1.42,98.58,0.00,1.85,0.01,0.02,1.16,98.84,0.00,3.71,74.19,2.58,0.01,0.04,2.91,97.09,0.00,5.16,103.26,2.90,0.00,0.03,1.93,98.07,0.00,5.80,116.04,0.58,0.01,0.10,0.62,99.38,0.00,1.17,23.39,0.71,0.01,0.09,0.60,99.40,0.00,1.41,28.23,0.69,0.01,0.17,1.15,98.85,0.00,1.38,27.57,0.64,0.02,0.25,1.51,98.49,0.00,1.27,25.48,0.69,0.02,0.20,1.49,98.51,0.00,1.37,27.41
2025-07-24,02:16:12.144,1.49,98.51,0.00,1.49,98.51,0.00,1.81,0.01,0.02,1.20,98.80,0.00,3.63,72.57,3.74,0.01,0.07,4.18,95.82,0.00,7.48,149.61,1.40,0.01,0.02,1.04,98.96,0.00,2.81,56.15,0.60,0.01,0.09,0.65,99.35,0.00,1.19,23.82,0.72,0.01,0.09,0.65,99.35,0.00,1.44,28.81,0.59,0.02,0.25,1.28,98.72,0.00,1.19,23.79,0.80,0.02,0.16,1.38,98.62,0.00,1.59,31.81,0.65,0.02,0.21,1.51,98.49,0.00,1.30,25.97
2025-07-24,02:16:14.144,1.51,98.49,0.00,1.51,98.49,0.00,1.89,0.01,0.02,1.14,98.85,0.00,3.77,75.46,3.66,0.01,0.08,4.21,95.79,0.00,7.32,146.32,1.44,0.01,0.01,1.04,98.96,0.00,2.89,57.80,0.64,0.01,0.11,0.71,99.29,0.00,1.28,25.59,0.70,0.01,0.11,0.71,99.28,0.00,1.40,28.00,0.57,0.02,0.28,1.40,98.60,0.00,1.14,22.75,0.78,0.02,0.17,1.40,98.60,0.00,1.57,31.31,0.65,0.02,0.21,1.48,98.52,0.00,1.29,25.87
2025-07-24,02:16:16.144,1.48,98.52,0.00,1.48,98.52,0.00,1.77,0.01,0.02,1.25,98.75,0.00,3.53,70.65,2.20,0.03,0.07,2.99,97.01,0.00,4.40,87.94,3.22,0.00,0.03,1.95,98.05,0.00,6.43,128.62,0.66,0.01,0.10,0.69,99.31,0.00,1.32,26.48,0.72,0.01,0.09,0.64,99.36,0.00,1.43,28.68,0.70,0.02,0.17,1.29,98.71,0.00,1.41,28.17,0.71,0.02,0.27,1.47,98.53,0.00,1.41,28.23,0.67,0.03,0.21,1.55,98.45,0.00,1.34,26.75
2025-07-24,02:16:18.144,1.41,98.59,0.00,1.41,98.59,0.00,1.86,0.01,0.03,1.19,98.81,0.00,3.73,74.53,1.60,0.01,0.02,2.30,97.69,0.00,3.20,64.04,3.63,0.01,0.04,2.04,97.96,0.00,7.26,145.11,0.62,0.01,0.11,0.68,99.32,0.00,1.23,24.61,0.78,0.01,0.10,0.72,99.28,0.00,1.55,31.00,0.76,0.02,0.16,1.28,98.71,0.00,1.53,30.55,0.66,0.02,0.31,1.51,98.49,0.00,1.33,26.58,0.67,0.03,0.22,1.54,98.46,0.00,1.34,26.80
2025-07-24,02:16:20.144,1.36,98.64,0.00,1.36,98.64,0.00,1.87,0.01,0.02,1.19,98.81,0.00,3.74,74.81,1.44,0.01,0.03,2.19,97.81,0.00,2.88,57.67,3.65,0.00,0.03,2.04,97.96,0.00,7.29,145.89,0.62,0.01,0.10,0.65,99.35,0.00,1.24,24.83,0.75,0.01,0.09,0.63,99.37,0.00,1.50,30.01,0.78,0.01,0.13,1.22,98.78,0.00,1.56,31.15,0.67,0.02,0.32,1.48,98.52,0.00,1.35,26.93,0.69,0.03,0.20,1.49,98.51,0.00,1.38,27.55
2025-07-24,02:16:22.142,1.36,98.64,0.00,1.36,98.64,0.00,2.04,0.01,0.03,1.45,98.54,0.00,4.09,81.72,1.47,0.01,0.03,2.31,97.69,0.00,2.94,58.70,3.52,0.01,0.04,2.02,97.98,0.00,7.04,140.82,0.59,0.01,0.09,0.61,99.39,0.00,1.19,23.78,0.70,0.01,0.09,0.60,99.39,0.00,1.40,28.02,0.79,0.01,0.12,1.10,98.90,0.00,1.58,31.53,0.66,0.02,0.28,1.36,98.64,0.00,1.33,26.51,0.67,0.02,0.19,1.40,98.60,0.00,1.34,26.82
2025-07-24,02:16:24.146,1.40,98.60,0.00,1.40,98.60,0.00,1.88,0.01,0.02,1.20,98.80,0.00,3.76,75.24,2.57,0.01,0.04,2.73,97.27,0.00,5.13,102.62,3.06,0.00,0.03,1.79,98.21,0.00,6.11,122.27,0.58,0.01,0.09,0.61,99.39,0.00,1.17,23.30,0.69,0.01,0.10,0.63,99.37,0.00,1.39,27.76,0.70,0.01,0.17,1.19,98.81,0.00,1.40,28.01,0.70,0.02,0.26,1.52,98.48,0.00,1.41,28.10,0.68,0.03,0.22,1.55,98.45,0.00,1.36,27.24
2025-07-24,02:16:26.145,1.50,98.50,0.00,1.50,98.50,0.00,1.65,0.02,0.03,1.24,98.76,0.00,3.31,66.18,3.18,0.01,0.07,3.80,96.20,0.00,6.35,127.09,2.26,0.01,0.03,1.45,98.55,0.00,4.52,90.49,0.54,0.01,0.10,0.63,99.37,0.00,1.09,21.78,0.64,0.01,0.09,0.64,99.36,0.00,1.29,25.70,0.58,0.02,0.22,1.28,98.72,0.00,1.16,23.19,0.73,0.02,0.21,1.43,98.57,0.00,1.47,29.32,0.65,0.02,0.21,1.54,98.46,0.00,1.30,25.93
