System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-23,21:30:24.628,2.02,0.05,0.35,5.13,3.50,4.04,80.83,0.95,84.93,0.00,99.62,0.00
2025-07-23,21:30:26.627,1.86,0.07,0.55,5.60,3.88,3.72,74.38,0.99,99.01,0.00,100.00,0.00
2025-07-23,21:30:28.627,1.87,0.07,0.56,5.87,4.04,3.75,74.94,1.13,98.87,0.00,100.00,0.00
2025-07-23,21:30:30.628,1.83,0.07,0.56,5.74,3.99,3.65,73.01,1.14,98.86,0.00,100.00,0.00
2025-07-23,21:30:32.629,1.81,0.08,0.61,5.84,3.94,3.61,72.28,1.22,98.78,0.00,100.00,0.00
2025-07-23,21:30:34.629,1.95,0.06,0.58,5.58,3.85,3.90,78.02,1.21,98.79,0.00,100.00,0.00
2025-07-23,21:30:36.629,1.80,0.07,0.60,5.94,4.02,3.60,71.93,1.21,98.79,0.00,100.00,0.00
2025-07-23,21:30:38.629,1.92,0.05,0.53,5.61,3.92,3.83,76.65,1.09,98.91,0.00,100.00,0.00
2025-07-23,21:30:40.629,1.90,0.06,0.53,5.60,3.93,3.80,76.07,1.09,98.91,0.00,100.00,0.00
2025-07-23,21:30:42.629,1.86,0.07,0.56,5.59,3.93,3.72,74.40,1.12,98.88,0.00,100.00,0.00
2025-07-23,21:30:44.629,1.86,0.07,0.51,5.61,3.91,3.72,74.49,0.97,99.03,0.00,100.00,0.00
2025-07-23,21:30:46.629,1.89,0.06,0.54,5.53,3.89,3.77,75.43,0.97,99.03,0.00,100.00,0.00
2025-07-23,21:30:48.629,1.83,0.06,0.55,5.60,3.89,3.66,73.11,1.00,99.00,0.00,100.00,0.00
2025-07-23,21:30:50.629,1.86,0.06,0.53,5.50,3.85,3.72,74.35,0.98,99.02,0.00,100.00,0.00
2025-07-23,21:30:52.629,1.84,0.07,0.57,5.61,3.90,3.69,73.72,1.06,98.94,0.00,100.00,0.00
2025-07-23,21:30:54.629,1.85,0.06,0.57,5.59,3.92,3.70,74.00,1.13,98.87,0.00,100.00,0.00
2025-07-23,21:30:56.629,1.89,0.06,0.55,5.69,3.89,3.78,75.60,1.03,98.97,0.00,100.00,0.00
2025-07-23,21:30:58.629,1.93,0.06,0.53,5.53,3.86,3.86,77.13,1.01,98.99,0.00,100.00,0.00
2025-07-23,21:31:00.629,1.86,0.06,0.58,5.36,3.79,3.73,74.52,1.06,98.94,0.00,100.00,0.00
2025-07-23,21:31:02.630,2.24,0.07,0.56,6.07,4.07,4.48,89.51,1.25,98.75,0.00,100.00,0.00
2025-07-23,21:31:04.629,1.95,0.06,0.53,5.54,3.90,3.90,77.98,1.12,98.87,0.00,100.00,0.00
2025-07-23,21:31:06.630,1.83,0.08,0.63,5.82,3.99,3.67,73.31,1.25,98.75,0.00,100.00,0.00
2025-07-23,21:31:08.630,1.91,0.06,0.56,5.77,3.98,3.82,76.38,1.12,98.88,0.00,100.00,0.00
2025-07-23,21:31:10.630,1.93,0.06,0.54,5.53,3.86,3.86,77.24,1.13,98.87,0.00,100.00,0.00
2025-07-23,21:31:12.634,1.85,0.07,0.57,5.62,3.90,3.70,73.95,1.16,98.83,0.00,100.00,0.00
2025-07-23,21:31:14.632,1.92,0.06,0.53,5.49,3.83,3.84,76.87,1.00,99.00,0.00,100.00,0.00
2025-07-23,21:31:16.631,1.86,0.06,0.53,5.51,3.83,3.72,74.46,0.96,99.04,0.00,100.00,0.00
2025-07-23,21:31:18.632,1.83,0.07,0.54,5.83,3.95,3.65,73.07,0.98,99.02,0.00,100.00,0.00
2025-07-23,21:31:20.631,1.89,0.06,0.52,5.64,3.89,3.78,75.56,1.02,98.98,0.00,100.00,0.00
