timestamp_sec,job_name,job_type,duration_sec,node_selector
10,ibench-cpu-1,cpu,120,node1
90,ibench-membw-1,membw,120,node1
180,ibench-l3-1,l3,120,node2
270,ibench-cpu-2,cpu,120,node2
360,ibench-membw-2,membw,120,node1
450,ibench-l3-2,l3,120,node2
540,ibench-cpu-3,cpu,120,node1
630,ibench-membw-3,membw,120,node2
720,ibench-l3-3,l3,120,node2
810,ibench-cpu-4,cpu,120,node2
900,ibench-membw-4,membw,120,node1
990,ibench-l3-4,l3,120,node2
1080,ibench-cpu-5,cpu,120,node2
1170,ibench-membw-5,membw,120,node1
1260,ibench-l3-5,l3,120,node1
1350,ibench-cpu-6,cpu,120,node1
1440,ibench-membw-6,membw,120,node1
1530,ibench-l3-6,l3,120,node2
1620,ibench-cpu-7,cpu,120,node1
1710,ibench-membw-7,membw,120,node2
