timestamp_sec,action,deployment_name,replicas,type,description
0,create,ibench-cpu-node1,2,ibench-cpu,cpu pod for node1 created
14,create,ibench-membw-node2,2,ibench-membw,membw pod for node2 created
45,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
72,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
106,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
114,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
144,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
162,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
163,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
177,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
194,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
215,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
274,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
279,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
296,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
308,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
317,create,ibench-cpu-node1,2,ibench-cpu,cpu pod for node1 created
332,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
355,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
379,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
423,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created
427,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
434,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
436,create,ibench-membw-node1,2,ibench-membw,membw pod for node1 created
458,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
460,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
487,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
491,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
513,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
544,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
575,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
579,create,ibench-l3-node1,2,ibench-l3,l3 pod for node1 created
581,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
601,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
611,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
620,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
634,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
667,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
716,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
734,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
739,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
754,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
770,create,ibench-membw-node2,2,ibench-membw,membw pod for node2 created
799,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
800,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
843,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
884,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
900,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
903,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
918,create,ibench-l3-node1,2,ibench-l3,l3 pod for node1 created
939,create,ibench-membw-node2,2,ibench-membw,membw pod for node2 created
963,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
974,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
