timestamp_sec,action,deployment_name,replicas,type,description
5,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created
35,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
61,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created
101,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
134,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
141,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
162,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
164,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
203,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
214,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
241,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created
245,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
264,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
296,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created
330,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
337,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
366,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
376,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
395,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
405,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
437,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
450,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
463,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created
500,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
501,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
553,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created
562,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
589,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
592,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
634,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
643,create,ibench-membw-node1,2,ibench-membw,membw pod for node1 created
678,create,ibench-membw-node2,2,ibench-membw,membw pod for node2 created
681,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
709,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
729,create,ibench-cpu-node2,2,ibench-cpu,cpu pod for node2 created
759,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
781,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
787,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
807,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
832,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
871,create,ibench-membw-node1,2,ibench-membw,membw pod for node1 created
882,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
893,create,ibench-l3-node1,2,ibench-l3,l3 pod for node1 created
