timestamp_sec,action,deployment_name,replicas,type,description
300,create,ibench-cpu-node1,3,ibench-cpu,cpu pod on node1 created
312,create,ibench-cpu-node2,2,ibench-cpu,cpu pod on node2 created
444,delete,ibench-cpu-node2,,ibench-cpu,cpu pod on node2 deleted
489,create,ibench-cpu-node2,1,ibench-cpu,cpu pod on node2 created
494,delete,ibench-cpu-node1,,ibench-cpu,cpu pod on node1 deleted
539,create,ibench-cpu-node1,3,ibench-cpu,cpu pod on node1 created
656,delete,ibench-cpu-node2,,ibench-cpu,cpu pod on node2 deleted
694,delete,ibench-cpu-node1,,ibench-cpu,cpu pod on node1 deleted
701,create,ibench-cpu-node2,3,ibench-cpu,cpu pod on node2 created
739,create,ibench-cpu-node1,1,ibench-cpu,cpu pod on node1 created
850,delete,ibench-cpu-node2,,ibench-cpu,cpu pod on node2 deleted
895,create,ibench-cpu-node2,3,ibench-cpu,cpu pod on node2 created
928,delete,ibench-cpu-node1,,ibench-cpu,cpu pod on node1 deleted
973,create,ibench-cpu-node1,2,ibench-cpu,cpu pod on node1 created
1019,delete,ibench-cpu-node2,,ibench-cpu,cpu pod on node2 deleted
1064,create,ibench-cpu-node2,2,ibench-cpu,cpu pod on node2 created
1108,delete,ibench-cpu-node1,,ibench-cpu,cpu pod on node1 deleted
1153,create,ibench-cpu-node1,3,ibench-cpu,cpu pod on node1 created
1211,delete,ibench-cpu-node2,,ibench-cpu,cpu pod on node2 deleted
1333,delete,ibench-cpu-node1,,ibench-cpu,cpu pod on node1 deleted
1333,create,ibench-cpu-node2,3,ibench-cpu,cpu pod on node2 created
1517,delete,ibench-cpu-node2,,ibench-cpu,cpu pod on node2 deleted
1517,create,ibench-cpu-node1,1,ibench-cpu,cpu pod on node1 created
1562,create,ibench-cpu-node2,2,ibench-cpu,cpu pod on node2 created
1628,delete,ibench-cpu-node1,,ibench-cpu,cpu pod on node1 deleted
1662,delete,ibench-cpu-node2,,ibench-cpu,cpu pod on node2 deleted
1673,create,ibench-cpu-node1,3,ibench-cpu,cpu pod on node1 created
1784,delete,ibench-cpu-node1,,ibench-cpu,cpu pod on node1 deleted
1784,create,ibench-cpu-node2,1,ibench-cpu,cpu pod on node2 created
1946,delete,ibench-cpu-node2,,ibench-cpu,cpu pod on node2 deleted
