timestamp_sec,action,deployment_name,replicas,type,description
300,create,ibench-cpu-node2,2,ibench-cpu,cpu pod for node2 created
312,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
461,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
472,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
525,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created
544,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
707,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
717,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
769,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created
786,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
934,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
965,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
998,create,ibench-cpu-node2,2,ibench-cpu,cpu pod for node2 created
1026,create,ibench-cpu-node1,2,ibench-cpu,cpu pod for node1 created
1169,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
1208,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
1231,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created
1268,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
1412,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
1449,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
1473,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created
1513,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
1667,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
1689,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
