timestamp_sec,action,deployment_name,replicas,type,description
0,create,ibench-membw-node2,2,ibench-membw,membw pod for node2 created
12,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
17,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
23,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
102,create,ibench-membw-node1,2,ibench-membw,membw pod for node1 created
114,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
138,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
147,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
154,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
155,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
187,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
198,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
211,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
216,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
284,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
316,create,ibench-l3-node1,2,ibench-l3,l3 pod for node1 created
319,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
324,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
326,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
349,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
362,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
381,create,ibench-cpu-node1,2,ibench-cpu,cpu pod for node1 created
441,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
472,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
478,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
480,create,ibench-cpu-node2,2,ibench-cpu,cpu pod for node2 created
482,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
499,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
510,create,ibench-membw-node2,2,ibench-membw,membw pod for node2 created
532,create,ibench-cpu-node1,2,ibench-cpu,cpu pod for node1 created
543,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created
590,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
600,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
619,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
624,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
628,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
631,create,ibench-cpu-node2,2,ibench-cpu,cpu pod for node2 created
652,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
659,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
670,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
682,create,ibench-cpu-node1,2,ibench-cpu,cpu pod for node1 created
722,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
741,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
746,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
777,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
781,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
796,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
798,create,ibench-membw-node1,2,ibench-membw,membw pod for node1 created
810,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
837,create,ibench-membw-node2,2,ibench-membw,membw pod for node2 created
854,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
912,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
920,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
937,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
952,create,ibench-cpu-node2,2,ibench-cpu,cpu pod for node2 created
965,create,ibench-l3-node1,2,ibench-l3,l3 pod for node1 created
968,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
975,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
975,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
1004,create,ibench-cpu-node1,2,ibench-cpu,cpu pod for node1 created
1015,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
1081,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
1083,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
1085,create,ibench-membw-node1,2,ibench-membw,membw pod for node1 created
1111,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
1136,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
1139,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created
1140,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
1157,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
1169,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
1191,create,ibench-membw-node2,2,ibench-membw,membw pod for node2 created
1194,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
1201,create,ibench-cpu-node1,2,ibench-cpu,cpu pod for node1 created
1233,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created
1248,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
1274,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
1278,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
1302,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
1303,create,ibench-cpu-node2,2,ibench-cpu,cpu pod for node2 created
1313,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
1321,create,ibench-l3-node1,2,ibench-l3,l3 pod for node1 created
1331,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
1345,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
1361,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
1364,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
1430,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created
1431,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
1440,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
1455,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
1463,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
1472,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
1480,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
1485,create,ibench-l3-node1,2,ibench-l3,l3 pod for node1 created
1503,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
1523,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
1532,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
1536,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created
1579,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created
1590,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
1621,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
1624,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
1631,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
1648,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
1663,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
1665,create,ibench-l3-node1,2,ibench-l3,l3 pod for node1 created
1717,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
1759,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
1790,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
