timestamp_sec,action,deployment_name,replicas,type,description
0,create,ibench-l3-node1,2,ibench-l3,l3 pod for node1 created
9,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
32,create,ibench-membw-node2,2,ibench-membw,membw pod for node2 created
196,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
197,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
198,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created
207,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
220,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
243,create,ibench-cpu-node2,2,ibench-cpu,cpu pod for node2 created
257,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
381,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
383,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
407,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
407,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
410,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
438,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
445,create,ibench-membw-node1,2,ibench-membw,membw pod for node1 created
566,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
570,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
591,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
594,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
616,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created
640,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
640,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
661,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
732,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
736,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created
768,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
795,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
799,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
829,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
833,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
843,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
860,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created
897,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
931,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
935,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
962,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
994,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created
1025,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
1025,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
1035,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
1065,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
1088,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
1110,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created
1125,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
1128,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
1163,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
1185,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
1193,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
1224,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created
1282,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
1283,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
1291,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
1301,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
1343,create,ibench-cpu-node1,2,ibench-cpu,cpu pod for node1 created
1383,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
1387,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created
1409,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
1410,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
1453,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
1456,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
1541,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
1541,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
1551,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
1563,create,ibench-membw-node1,2,ibench-membw,membw pod for node1 created
1586,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
1601,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
1633,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
1739,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
1741,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
1787,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
