timestamp_sec,action,deployment_name,replicas,type,description
0,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
11,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
35,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created
44,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created
61,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
118,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
133,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
136,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
150,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
150,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
163,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
163,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
174,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
194,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
211,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created
253,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
261,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
264,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created
286,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
308,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
310,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
314,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
316,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
341,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
349,create,ibench-membw-node1,2,ibench-membw,membw pod for node1 created
390,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
411,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
412,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
421,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created
445,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
449,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
450,create,ibench-l3-node1,2,ibench-l3,l3 pod for node1 created
466,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
476,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
500,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
535,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
537,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
537,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created
568,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created
587,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
587,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
588,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
611,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
621,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
637,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
653,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
666,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
699,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created
701,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
714,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
732,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created
754,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
756,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
763,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
784,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
792,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
795,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
811,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
824,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
843,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created
859,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
869,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
893,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created
898,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
905,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
917,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
934,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
944,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
952,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
975,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
977,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
1006,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
1007,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created
1039,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created
1047,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
1071,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
1073,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
1079,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
1101,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
1106,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
1123,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
1141,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
1141,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
