timestamp_sec,action,deployment_name,replicas,type,description
9,create,ibench-membw-node1,2,ibench-membw,membw pod for node1 created
16,create,ibench-cpu-node2,2,ibench-cpu,cpu pod for node2 created
48,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
118,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
132,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
151,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
159,create,ibench-membw-node2,2,ibench-membw,membw pod for node2 created
162,create,ibench-cpu-node2,2,ibench-cpu,cpu pod for node2 created
176,create,ibench-membw-node1,2,ibench-membw,membw pod for node1 created
200,create,ibench-l3-node1,2,ibench-l3,l3 pod for node1 created
269,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
287,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
309,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
314,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
471,create,ibench-membw-node1,2,ibench-membw,membw pod for node1 created
472,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
483,create,ibench-cpu-node2,2,ibench-cpu,cpu pod for node2 created
585,create,ibench-l3-node1,2,ibench-l3,l3 pod for node1 created
594,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
610,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
622,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
653,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
698,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
703,create,ibench-membw-node2,2,ibench-membw,membw pod for node2 created
763,create,ibench-cpu-node2,2,ibench-cpu,cpu pod for node2 created
769,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
779,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
807,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
865,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
886,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
907,create,ibench-l3-node1,2,ibench-l3,l3 pod for node1 created
924,create,ibench-cpu-node2,2,ibench-cpu,cpu pod for node2 created
930,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
957,create,ibench-membw-node1,2,ibench-membw,membw pod for node1 created
1016,create,ibench-cpu-node1,2,ibench-cpu,cpu pod for node1 created
1032,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
1042,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
1047,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
1054,create,ibench-membw-node2,2,ibench-membw,membw pod for node2 created
1061,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
1133,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
1143,create,ibench-cpu-node1,2,ibench-cpu,cpu pod for node1 created
1171,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
1200,create,ibench-l3-node1,2,ibench-l3,l3 pod for node1 created
1224,create,ibench-cpu-node2,2,ibench-cpu,cpu pod for node2 created
1253,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
1315,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
1331,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
1359,create,ibench-l3-node1,2,ibench-l3,l3 pod for node1 created
1364,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
1463,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
1475,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
1505,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
1518,create,ibench-cpu-node2,2,ibench-cpu,cpu pod for node2 created
1539,create,ibench-cpu-node1,2,ibench-cpu,cpu pod for node1 created
1559,create,ibench-membw-node1,2,ibench-membw,membw pod for node1 created
1611,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
1622,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
1642,create,ibench-cpu-node2,2,ibench-cpu,cpu pod for node2 created
1661,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
1693,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
1776,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
