timestamp_sec,action,deployment_name,replicas,type,description
5,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
29,create,ibench-cpu-node1,2,ibench-cpu,cpu pod for node1 created
41,create,ibench-cpu-node2,2,ibench-cpu,cpu pod for node2 created
42,create,ibench-membw-node1,2,ibench-membw,membw pod for node1 created
46,create,ibench-l3-node1,2,ibench-l3,l3 pod for node1 created
59,create,ibench-membw-node2,2,ibench-membw,membw pod for node2 created
116,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
130,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
132,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
162,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
175,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
181,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
181,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
185,create,ibench-cpu-node1,2,ibench-cpu,cpu pod for node1 created
185,create,ibench-cpu-node2,2,ibench-cpu,cpu pod for node2 created
187,create,ibench-membw-node1,2,ibench-membw,membw pod for node1 created
195,create,ibench-membw-node2,2,ibench-membw,membw pod for node2 created
233,create,ibench-l3-node1,2,ibench-l3,l3 pod for node1 created
268,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
282,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
290,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
291,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
303,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
304,create,ibench-cpu-node1,2,ibench-cpu,cpu pod for node1 created
310,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
338,create,ibench-membw-node1,2,ibench-membw,membw pod for node1 created
343,create,ibench-membw-node2,2,ibench-membw,membw pod for node2 created
348,create,ibench-cpu-node2,2,ibench-cpu,cpu pod for node2 created
364,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
383,create,ibench-l3-node1,2,ibench-l3,l3 pod for node1 created
397,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
429,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
432,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
446,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
461,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
463,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
481,create,ibench-membw-node2,2,ibench-membw,membw pod for node2 created
483,create,ibench-cpu-node2,2,ibench-cpu,cpu pod for node2 created
485,create,ibench-cpu-node1,2,ibench-cpu,cpu pod for node1 created
495,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
498,create,ibench-membw-node1,2,ibench-membw,membw pod for node1 created
523,create,ibench-l3-node1,2,ibench-l3,l3 pod for node1 created
539,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
585,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
606,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
609,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
609,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
617,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
622,create,ibench-cpu-node1,2,ibench-cpu,cpu pod for node1 created
636,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
649,create,ibench-l3-node1,2,ibench-l3,l3 pod for node1 created
650,create,ibench-cpu-node2,2,ibench-cpu,cpu pod for node2 created
653,create,ibench-membw-node2,2,ibench-membw,membw pod for node2 created
656,create,ibench-membw-node1,2,ibench-membw,membw pod for node1 created
700,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
