timestamp_sec,action,deployment_name,replicas,type,description
300,create,ibench-membw-node2,1,ibench-membw,membw pod on node2 created
315,create,ibench-membw-node1,3,ibench-membw,membw pod on node1 created
441,delete,ibench-membw-node2,,ibench-membw,membw pod on node2 deleted
486,create,ibench-membw-node2,1,ibench-membw,membw pod on node2 created
515,delete,ibench-membw-node1,,ibench-membw,membw pod on node1 deleted
560,create,ibench-membw-node1,3,ibench-membw,membw pod on node1 created
663,delete,ibench-membw-node2,,ibench-membw,membw pod on node2 deleted
699,delete,ibench-membw-node1,,ibench-membw,membw pod on node1 deleted
708,create,ibench-membw-node2,2,ibench-membw,membw pod on node2 created
744,create,ibench-membw-node1,2,ibench-membw,membw pod on node1 created
819,delete,ibench-membw-node2,,ibench-membw,membw pod on node2 deleted
864,create,ibench-membw-node2,2,ibench-membw,membw pod on node2 created
921,delete,ibench-membw-node1,,ibench-membw,membw pod on node1 deleted
966,create,ibench-membw-node1,1,ibench-membw,membw pod on node1 created
995,delete,ibench-membw-node2,,ibench-membw,membw pod on node2 deleted
1040,create,ibench-membw-node2,3,ibench-membw,membw pod on node2 created
1096,delete,ibench-membw-node1,,ibench-membw,membw pod on node1 deleted
1141,delete,ibench-membw-node2,,ibench-membw,membw pod on node2 deleted
1141,create,ibench-membw-node1,3,ibench-membw,membw pod on node1 created
1186,create,ibench-membw-node2,1,ibench-membw,membw pod on node2 created
1261,delete,ibench-membw-node1,,ibench-membw,membw pod on node1 deleted
1306,create,ibench-membw-node1,1,ibench-membw,membw pod on node1 created
1313,delete,ibench-membw-node2,,ibench-membw,membw pod on node2 deleted
1358,create,ibench-membw-node2,2,ibench-membw,membw pod on node2 created
1463,delete,ibench-membw-node1,,ibench-membw,membw pod on node1 deleted
1478,delete,ibench-membw-node2,,ibench-membw,membw pod on node2 deleted
1508,create,ibench-membw-node1,3,ibench-membw,membw pod on node1 created
1668,delete,ibench-membw-node1,,ibench-membw,membw pod on node1 deleted
1668,create,ibench-membw-node2,1,ibench-membw,membw pod on node2 created
1713,create,ibench-membw-node1,1,ibench-membw,membw pod on node1 created
1801,delete,ibench-membw-node2,,ibench-membw,membw pod on node2 deleted
1889,delete,ibench-membw-node1,,ibench-membw,membw pod on node1 deleted
