timestamp_sec,action,deployment_name,replicas,type,description
0,create,ibench-cpu-node1,2,ibench-cpu,cpu pod for node1 created (r=2)
0,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created (r=2)
200,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
200,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
201,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created (r=1)
201,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created (r=1)
218,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created (r=1)
218,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created (r=1)
327,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
327,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
330,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created (r=1)
330,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created (r=1)
412,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
412,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
415,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created (r=1)
415,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created (r=1)
486,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
486,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
488,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created (r=1)
488,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created (r=1)
543,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
543,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
545,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created (r=1)
545,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created (r=1)
648,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
648,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
650,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created (r=1)
650,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created (r=1)
710,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
710,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
713,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created (r=1)
713,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created (r=1)
835,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
835,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
836,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created (r=1)
836,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created (r=1)
859,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
859,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
886,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created (r=1)
886,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created (r=1)
958,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
958,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
959,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created (r=1)
959,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created (r=1)
1079,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
1079,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
1079,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created (r=1)
1079,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created (r=1)
1128,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
1128,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
1132,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created (r=1)
1132,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created (r=1)
1257,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
1257,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
1261,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created (r=1)
1261,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created (r=1)
1274,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
1274,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
1309,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created (r=1)
1309,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created (r=1)
1450,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
1450,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
1450,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created (r=1)
1450,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created (r=1)
1461,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
1461,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
1504,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created (r=1)
1504,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created (r=1)
1628,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
1628,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
1631,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created (r=1)
1631,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created (r=1)
1684,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
1684,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
1800,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
1800,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
