timestamp_sec,action,deployment_name,replicas,type,description
1,create,ibench-cpu-node1,2,ibench-cpu,cpu pod for node1 created
12,create,ibench-cpu-node2,2,ibench-cpu,cpu pod for node2 created
18,create,ibench-l3-node1,2,ibench-l3,l3 pod for node1 created
34,create,ibench-membw-node1,2,ibench-membw,membw pod for node1 created
43,create,ibench-membw-node2,2,ibench-membw,membw pod for node2 created
46,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
66,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
99,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
107,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
108,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
110,create,ibench-cpu-node1,2,ibench-cpu,cpu pod for node1 created
110,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
118,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
155,create,ibench-cpu-node2,2,ibench-cpu,cpu pod for node2 created
167,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
167,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
167,create,ibench-membw-node1,2,ibench-membw,membw pod for node1 created
193,create,ibench-l3-node1,2,ibench-l3,l3 pod for node1 created
197,create,ibench-membw-node2,2,ibench-membw,membw pod for node2 created
226,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
237,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
240,create,ibench-cpu-node1,2,ibench-cpu,cpu pod for node1 created
247,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
272,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
277,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
293,create,ibench-cpu-node2,2,ibench-cpu,cpu pod for node2 created
300,create,ibench-membw-node1,2,ibench-membw,membw pod for node1 created
309,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
314,create,ibench-l3-node1,2,ibench-l3,l3 pod for node1 created
314,create,ibench-membw-node2,2,ibench-membw,membw pod for node2 created
326,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
351,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
361,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
367,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
376,create,ibench-cpu-node1,2,ibench-cpu,cpu pod for node1 created
386,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
413,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
423,create,ibench-membw-node1,2,ibench-membw,membw pod for node1 created
426,create,ibench-membw-node2,2,ibench-membw,membw pod for node2 created
429,create,ibench-cpu-node2,2,ibench-cpu,cpu pod for node2 created
439,create,ibench-l3-node1,2,ibench-l3,l3 pod for node1 created
440,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
457,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
471,create,ibench-cpu-node1,2,ibench-cpu,cpu pod for node1 created
490,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
490,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
497,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
505,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
518,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
529,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
540,create,ibench-l3-node1,2,ibench-l3,l3 pod for node1 created
548,create,ibench-cpu-node2,2,ibench-cpu,cpu pod for node2 created
562,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
