System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-01,06:18:09.825,1.43,91.72,0.00,1.43,91.72,0.00,0.62,0.02,0.09,0.38,96.17,0.00,1.23,24.65,0.93,0.02,0.11,0.46,92.87,0.00,1.86,37.13,0.89,0.02,0.12,0.47,92.87,0.00,1.77,35.43,1.19,0.01,0.17,1.02,88.37,0.00,2.38,47.52,1.55,0.01,0.13,6.59,89.96,0.00,3.11,62.11,0.91,0.01,0.27,1.04,92.28,0.00,1.82,36.32,0.94,0.01,0.14,0.49,92.85,0.00,1.87,37.47,0.70,0.01,0.33,1.01,88.37,0.00,1.40,27.91
2025-07-01,06:18:14.824,1.55,98.43,0.00,1.55,98.43,0.00,0.74,0.02,0.07,0.33,99.56,0.00,1.49,29.78,0.79,0.02,0.09,0.41,99.59,0.00,1.57,31.45,0.91,0.02,0.12,0.43,99.57,0.00,1.82,36.33,0.85,0.01,0.23,0.72,99.28,0.00,1.71,34.16,1.56,0.00,0.10,7.34,92.55,0.00,3.12,62.49,0.88,0.00,0.31,1.27,98.73,0.00,1.77,35.38,0.96,0.00,0.17,0.59,99.41,0.00,1.92,38.38,0.70,0.01,0.43,1.27,98.73,0.00,1.40,27.93
2025-07-01,06:18:19.828,1.50,98.50,0.00,1.50,98.50,0.00,0.87,0.02,0.08,0.40,99.60,0.00,1.74,34.78,1.02,0.02,0.10,0.42,99.58,0.00,2.03,40.65,0.75,0.02,0.11,0.40,99.60,0.00,1.50,30.01,1.13,0.00,0.22,1.04,98.96,0.00,2.26,45.28,1.54,0.00,0.14,6.31,93.69,0.00,3.09,61.71,1.16,0.01,0.32,1.61,98.39,0.00,2.31,46.30,0.95,0.00,0.15,0.54,99.46,0.00,1.90,37.96,0.70,0.01,0.44,1.28,98.72,0.00,1.41,28.11
2025-07-01,06:18:24.825,1.52,98.48,0.00,1.52,98.48,0.00,1.01,0.02,0.10,0.45,99.54,0.00,2.03,40.57,0.81,0.02,0.09,0.38,99.62,0.00,1.63,32.51,0.83,0.02,0.10,0.39,99.61,0.00,1.66,33.13,0.98,0.00,0.19,0.78,99.22,0.00,1.96,39.14,1.50,0.01,0.19,4.32,95.67,0.00,3.00,59.97,1.49,0.01,0.20,3.97,96.03,0.00,2.97,59.45,0.97,0.00,0.16,0.57,99.43,0.00,1.95,38.95,0.70,0.01,0.42,1.29,98.71,0.00,1.40,28.08
2025-07-01,06:18:29.825,1.55,98.45,0.00,1.55,98.45,0.00,0.86,0.02,0.08,0.35,99.65,0.00,1.71,34.26,0.76,0.02,0.09,0.36,99.64,0.00,1.51,30.24,0.66,0.02,0.11,0.39,99.61,0.00,1.31,26.24,0.69,0.01,0.24,0.63,99.37,0.00,1.39,27.71,1.54,0.00,0.16,6.24,93.76,0.00,3.09,61.76,1.37,0.01,0.28,2.58,97.42,0.00,2.73,54.62,0.98,0.00,0.16,0.58,99.42,0.00,1.96,39.20,0.70,0.01,0.45,1.31,98.69,0.00,1.41,28.15
2025-07-01,06:18:34.827,1.53,98.45,0.00,1.53,98.45,0.00,0.73,0.02,0.09,0.39,99.55,0.00,1.46,29.14,1.03,0.03,0.12,0.51,99.49,0.00,2.06,41.24,0.87,0.03,0.13,0.45,99.55,0.00,1.75,34.95,1.09,0.01,0.21,1.03,98.97,0.00,2.19,43.72,1.55,0.01,0.12,6.78,93.17,0.00,3.11,62.19,0.99,0.01,0.31,1.24,98.76,0.00,1.98,39.70,0.98,0.01,0.17,0.59,99.41,0.00,1.97,39.32,0.70,0.01,0.42,1.28,98.72,0.00,1.41,28.14
2025-07-01,06:18:39.829,1.35,98.64,0.00,1.35,98.64,0.00,1.02,0.02,0.08,0.41,99.56,0.00,2.04,40.81,0.64,0.02,0.09,0.38,99.62,0.00,1.28,25.66,0.73,0.02,0.10,0.40,99.60,0.00,1.47,29.40,1.42,0.00,0.15,2.19,97.81,0.00,2.84,56.90,1.50,0.00,0.19,4.33,95.65,0.00,3.00,60.00,0.85,0.00,0.33,1.33,98.67,0.00,1.70,33.97,0.96,0.00,0.16,0.59,99.41,0.00,1.92,38.46,0.72,0.01,0.38,1.19,98.81,0.00,1.44,28.78
2025-07-01,06:18:44.826,1.58,98.39,0.00,1.58,98.39,0.00,0.74,0.03,0.09,0.40,99.47,0.00,1.49,29.70,0.87,0.04,0.12,0.48,99.52,0.00,1.73,34.62,0.91,0.03,0.13,0.47,99.53,0.00,1.82,36.50,0.71,0.00,0.20,0.64,99.36,0.00,1.42,28.32,1.56,0.00,0.10,7.58,92.29,0.00,3.13,62.54,0.98,0.01,0.27,1.18,98.82,0.00,1.97,39.39,0.97,0.00,0.17,0.61,99.39,0.00,1.94,38.86,0.71,0.01,0.42,1.27,98.73,0.00,1.41,28.24
2025-07-01,06:18:49.826,1.56,98.43,0.00,1.56,98.43,0.00,0.71,0.02,0.08,0.36,99.60,0.00,1.42,28.43,0.76,0.02,0.10,0.36,99.64,0.00,1.51,30.26,0.96,0.02,0.11,0.43,99.57,0.00,1.91,38.22,0.70,0.01,0.22,0.62,99.38,0.00,1.40,28.07,1.56,0.00,0.10,7.55,92.41,0.00,3.13,62.58,0.93,0.01,0.31,1.27,98.73,0.00,1.86,37.12,0.98,0.00,0.17,0.60,99.40,0.00,1.96,39.20,0.71,0.01,0.44,1.32,98.68,0.00,1.43,28.53
2025-07-01,06:18:54.828,1.54,98.45,0.00,1.54,98.45,0.00,0.73,0.02,0.07,0.33,99.65,0.00,1.46,29.10,1.14,0.02,0.09,0.42,99.58,0.00,2.28,45.52,0.96,0.02,0.11,0.42,99.58,0.00,1.91,38.20,0.69,0.01,0.22,0.60,99.40,0.00,1.38,27.67,1.56,0.00,0.10,7.49,92.49,0.00,3.13,62.53,0.94,0.01,0.31,1.19,98.81,0.00,1.88,37.62,0.96,0.01,0.16,0.59,99.41,0.00,1.91,38.21,0.70,0.01,0.44,1.30,98.70,0.00,1.40,28.02
2025-07-01,06:18:59.826,1.54,98.44,0.00,1.54,98.44,0.00,0.87,0.02,0.06,0.35,99.57,0.00,1.75,34.97,0.79,0.01,0.08,0.34,99.66,0.00,1.58,31.55,1.06,0.01,0.09,0.35,99.65,0.00,2.11,42.23,0.71,0.01,0.21,0.61,99.39,0.00,1.43,28.54,1.56,0.00,0.10,7.53,92.39,0.00,3.12,62.47,0.88,0.01,0.30,1.31,98.69,0.00,1.76,35.21,1.00,0.01,0.16,0.59,99.41,0.00,1.99,39.80,0.70,0.01,0.42,1.28,98.72,0.00,1.41,28.15
2025-07-01,06:19:04.827,1.54,98.45,0.00,1.54,98.45,0.00,0.84,0.02,0.08,0.40,99.56,0.00,1.68,33.67,0.93,0.02,0.10,0.44,99.56,0.00,1.86,37.29,0.98,0.02,0.10,0.43,99.57,0.00,1.96,39.20,0.70,0.00,0.19,0.57,99.43,0.00,1.41,28.18,1.56,0.00,0.10,7.51,92.45,0.00,3.12,62.44,0.95,0.01,0.29,1.18,98.82,0.00,1.90,38.05,0.95,0.00,0.15,0.53,99.47,0.00,1.90,38.05,0.70,0.01,0.42,1.27,98.73,0.00,1.40,27.93
2025-07-01,06:19:09.826,1.48,98.50,0.00,1.48,98.50,0.00,0.70,0.02,0.09,0.39,99.56,0.00,1.39,27.83,0.95,0.03,0.10,0.46,99.54,0.00,1.91,38.14,0.71,0.03,0.11,0.42,99.58,0.00,1.42,28.40,1.01,0.01,0.17,0.75,99.25,0.00,2.02,40.42,1.51,0.00,0.18,4.61,95.34,0.00,3.02,60.34,1.46,0.00,0.21,3.41,96.59,0.00,2.91,58.26,0.95,0.00,0.15,0.55,99.45,0.00,1.90,38.07,0.73,0.01,0.42,1.29,98.71,0.00,1.47,29.35
