Test_ID,Replicas,Interference_Name,Interference_ID,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Errors
1replicas_scenario0_500rps,1,Baseline0,0,500,500.00412921465613,0.087,0.083,0.0,0.1,0.109,0.155,2.878,0
1replicas_scenario0_1000rps,1,Baseline0,0,1000,1000.0008499340557,0.087,0.084,0.0,0.099,0.107,0.143,3.788,0
1replicas_scenario0_1500rps,1,Baseline0,0,1500,1500.0053947360689,0.085,0.083,0.0,0.101,0.109,0.135,3.133,0
1replicas_scenario0_2000rps,1,Baseline0,0,2000,2000.0024133584675,0.088,0.084,0.0,0.108,0.118,0.157,3.098,0
1replicas_scenario0_2500rps,1,Baseline0,0,2500,2500.004163946744,0.092,0.087,0.0,0.117,0.13,0.16,3.454,0
1replicas_scenario0_3000rps,1,Baseline0,0,3000,3000.0062674964274,0.093,0.087,0.0,0.117,0.133,0.186,3.265,0
1replicas_scenario0_3500rps,1,Baseline0,0,3500,3500.008063792489,0.097,0.089,0.0,0.129,0.147,0.203,3.551,0
1replicas_scenario0_4000rps,1,Baseline0,0,4000,4000.0026705462437,0.099,0.09,0.0,0.137,0.157,0.21,3.752,0
2replicas_scenario0_500rps,2,Baseline0,0,500,500.00265205017774,0.088,0.084,0.0,0.101,0.11,0.157,3.392,0
2replicas_scenario0_1000rps,2,Baseline0,0,1000,1000.0019132758828,0.087,0.084,0.0,0.1,0.107,0.14,3.87,0
2replicas_scenario0_1500rps,2,Baseline0,0,1500,1500.005532203737,0.085,0.083,0.0,0.101,0.108,0.135,3.39,0
2replicas_scenario0_2000rps,2,Baseline0,0,2000,2000.0039875968391,0.091,0.084,0.0,0.112,0.138,0.215,3.515,0
2replicas_scenario0_2500rps,2,Baseline0,0,2500,2500.0009372802124,0.089,0.086,0.0,0.11,0.121,0.154,2.701,0
2replicas_scenario0_3000rps,2,Baseline0,0,3000,3000.0066976482863,0.09,0.085,0.0,0.113,0.126,0.168,3.648,0
2replicas_scenario0_3500rps,2,Baseline0,0,3500,3499.9874217974602,0.095,0.086,0.0,0.127,0.153,0.269,3.594,0
2replicas_scenario0_4000rps,2,Baseline0,0,4000,4000.0035701809643,0.097,0.089,0.0,0.131,0.148,0.211,3.355,0
3replicas_scenario0_500rps,3,Baseline0,0,500,500.00348686598295,0.088,0.084,0.0,0.101,0.11,0.156,1.412,0
3replicas_scenario0_1000rps,3,Baseline0,0,1000,1000.00161419705,0.087,0.084,0.0,0.1,0.108,0.14,3.571,0
3replicas_scenario0_1500rps,3,Baseline0,0,1500,1500.0061876088575,0.085,0.083,0.0,0.101,0.108,0.134,2.657,0
3replicas_scenario0_2000rps,3,Baseline0,0,2000,2000.0006204036392,0.087,0.084,0.0,0.105,0.114,0.154,3.153,0
3replicas_scenario0_2500rps,3,Baseline0,0,2500,2500.005033632432,0.088,0.086,0.0,0.107,0.117,0.149,3.543,0
3replicas_scenario0_3000rps,3,Baseline0,0,3000,3000.008247475442,0.09,0.085,0.0,0.112,0.125,0.177,2.887,0
3replicas_scenario0_3500rps,3,Baseline0,0,3500,3500.0045481603515,0.091,0.084,0.0,0.117,0.131,0.19,3.286,0
3replicas_scenario0_4000rps,3,Baseline0,0,4000,3999.982768094746,0.097,0.089,0.0,0.13,0.146,0.215,2.858,0
4replicas_scenario0_500rps,4,Baseline0,0,500,500.0050305950577,0.087,0.084,0.0,0.1,0.109,0.156,1.874,0
4replicas_scenario0_1000rps,4,Baseline0,0,1000,1000.0047582893079,0.087,0.084,0.0,0.1,0.107,0.141,3.445,0
4replicas_scenario0_1500rps,4,Baseline0,0,1500,1500.0028412603494,0.086,0.083,0.0,0.101,0.109,0.145,3.981,0
4replicas_scenario0_2000rps,4,Baseline0,0,2000,2000.0004084234401,0.086,0.083,0.0,0.104,0.112,0.144,3.265,0
4replicas_scenario0_2500rps,4,Baseline0,0,2500,2500.004967715355,0.09,0.087,0.0,0.11,0.121,0.182,3.181,0
4replicas_scenario0_3000rps,4,Baseline0,0,3000,3000.0054481265606,0.09,0.085,0.0,0.112,0.125,0.168,2.72,0
4replicas_scenario0_3500rps,4,Baseline0,0,3500,3500.0045590509676,0.091,0.084,0.0,0.117,0.131,0.189,2.908,0
4replicas_scenario0_4000rps,4,Baseline0,0,4000,4000.0002584003755,0.094,0.086,0.0,0.125,0.141,0.206,3.615,0
